"","iso3c","undisc_exwelf_low","undisc_exwelf_med","undisc_exwelf_high"
"1","AFG",4.55607500099531,4.905849630627,4.55607500099531
"2","AGO",6.05473491497677,6.6234534359033,6.05473491497677
"3","ALB",8.06117944620126,9.78353276246587,8.06117944620126
"4","ARE",4.4143189157447,4.88102127495042,4.4143189157447
"5","ARG",4.97421435426913,5.77405645849299,4.97421435426913
"6","ARM",7.90305995605284,8.97802494122982,7.90305995605284
"7","ATG",9.15438908174532,10.5849449700697,9.15438908174532
"8","AUS",9.57072124534999,11.7910615249096,9.57072124534999
"9","AUT",10.6480968784222,11.3347738281101,10.6480968784222
"10","AZE",9.56875255548066,10.5767896119906,9.56875255548066
"11","BDI",0.0810659357374167,0.171485582896551,0.0810659357374167
"12","BEL",18.1151616429701,27.6361653727841,18.1151616429701
"13","BEN",1.84917865903796,2.21854757741793,1.84917865903796
"14","BFA",3.89439589738695,4.41406799632929,3.89439589738695
"15","BGD",3.41483624917908,4.02843332283322,3.41483624917908
"16","BGR",13.2840949912129,15.7472370569111,13.2840949912129
"17","BHR",4.51788272976091,5.07106012552356,4.51788272976091
"18","BHS",10.6399828971321,12.4892144852244,10.6399828971321
"19","BIH",10.1312747065647,11.9988398530497,10.1312747065647
"20","BLR",8.11921595424801,9.35246678080803,8.11921595424801
"21","BLZ",4.96644268030811,6.09097387709064,4.96644268030811
"22","BOL",3.44793107133134,3.93444253397732,3.44793107133134
"23","BRA",9.0418907005622,10.1714938654976,9.0418907005622
"24","BRB",5.5042040115383,7.9414994106261,5.5042040115383
"25","BRN",7.6487836263683,9.14904529715072,7.6487836263683
"26","BTN",5.50836437554238,5.97063437103313,5.50836437554238
"27","BWA",2.79895699679927,3.6311788543658,2.79895699679927
"28","CAF",2.90024631951288,3.52134586417962,2.90024631951288
"29","CAN",16.1247881711413,17.6764115073115,16.1247881711413
"30","CHE",9.39200901153999,11.8205221283633,9.39200901153999
"31","CHL",14.0349095573832,14.9126114268528,14.0349095573832
"32","CIV",8.16772684255168,9.13093534797028,8.16772684255168
"33","CMR",8.21006344478178,9.68026614168837,8.21006344478178
"34","COD",6.67736797884491,7.69715801477972,6.67736797884491
"35","COG",15.1663206737267,16.8043102191316,15.1663206737267
"36","COL",5.23740249392036,6.27179283035595,5.23740249392036
"37","COM",4.54490260416212,5.2928651541306,4.54490260416212
"38","CPV",4.35456217843523,4.89541863659574,4.35456217843523
"39","CRI",8.45310837790051,9.69088338038311,8.45310837790051
"40","CYP",9.92593109663574,12.5718828312556,9.92593109663574
"41","CZE",11.1932114163304,13.3076833497793,11.1932114163304
"42","DEU",17.0071449979745,18.2571822092685,17.0071449979745
"43","DJI",4.61816479766165,5.63398465173234,4.61816479766165
"44","DNK",12.2731188748462,13.3610534621322,12.2731188748462
"45","DOM",3.82000139312846,4.71602444180974,3.82000139312846
"46","DZA",2.84267739317649,3.53470103847394,2.84267739317649
"47","ECU",4.93627139557607,6.01603404545709,4.93627139557607
"48","EGY",4.75533095646762,5.50292143416658,4.75533095646762
"49","ESP",16.8519045357013,18.7356940910795,16.8519045357013
"50","EST",14.0546159039614,15.9509022787573,14.0546159039614
"51","ETH",13.5537411861744,15.9298466262401,13.5537411861744
"52","FIN",14.0591850195186,15.1071595795923,14.0591850195186
"53","FJI",7.2911054651484,8.42580665693202,7.2911054651484
"54","FRA",16.8003871705387,19.863266349283,16.8003871705387
"55","FSM",NA,NA,NA
"56","GAB",8.2558602121017,9.5476720419929,8.2558602121017
"57","GBR",12.3422965724359,16.5912149201942,12.3422965724359
"58","GEO",12.0905772176735,12.9870869826375,12.0905772176735
"59","GHA",7.47198599646851,8.2913369087394,7.47198599646851
"60","GIN",5.81556386476717,6.69480130891314,5.81556386476717
"61","GMB",4.0529572060024,4.52229780815118,4.0529572060024
"62","GNB",24.652729324309,29.1683840469117,24.652729324309
"63","GNQ",6.18090702185061,10.9646482484499,6.18090702185061
"64","GRC",17.833448705156,19.3455374396564,17.833448705156
"65","GRD",1.00113609986615,1.39633158007828,1.00113609986615
"66","GTM",9.14544943908058,10.3807378396257,9.14544943908058
"67","GUY",9.44962984011295,10.5642826357988,9.44962984011295
"68","HND",2.77802977707451,3.51686248677031,2.77802977707451
"69","HRV",14.1291131268264,16.4816215905277,14.1291131268264
"70","HTI",1.80700977690468,2.23537188272514,1.80700977690468
"71","HUN",9.62397495151365,11.4539528538174,9.62397495151365
"72","IDN",4.59058567616016,5.57485707140123,4.59058567616016
"73","IND",6.32259878463528,7.06729722767838,6.32259878463528
"74","IRL",14.4356491108287,15.2780255714261,14.4356491108287
"75","IRN",2.98482502335949,3.42285076634701,2.98482502335949
"76","IRQ",3.23359235916017,4.14409724982572,3.23359235916017
"77","ISL",15.2131329140353,23.2493934770361,15.2131329140353
"78","ISR",10.9188222986365,12.0923200246413,10.9188222986365
"79","ITA",14.9949286543226,16.4736303260279,14.9949286543226
"80","JAM",4.63497277346592,5.66020990166143,4.63497277346592
"81","JOR",8.69677654384642,9.71351852750844,8.69677654384642
"82","JPN",4.33954800512759,5.42463621494354,4.33954800512759
"83","KAZ",7.53620225908978,8.24119562609565,7.53620225908978
"84","KEN",5.59219243239615,6.37696316232281,5.59219243239615
"85","KGZ",2.9081444277059,3.8686406911263,2.9081444277059
"86","KHM",4.16210392534852,4.4154923373469,4.16210392534852
"87","KOR",15.4362616956329,17.6018621941843,15.4362616956329
"88","KWT",6.05853786649828,6.79315464387865,6.05853786649828
"89","LAO",5.73737984589029,6.06668110374236,5.73737984589029
"90","LBN",9.76307762323979,11.4742825964851,9.76307762323979
"91","LBR",1.9025581980322,2.18316644780724,1.9025581980322
"92","LBY",13.9997002797168,16.0027856140985,13.9997002797168
"93","LCA",9.17820051319268,10.1719172661375,9.17820051319268
"94","LKA",6.28281193074264,6.71755274968375,6.28281193074264
