"","iso3c","vsl_pp_gdppc_low","vsl_pp_gdppc_med","vsl_pp_gdppc_high"
"1","AFG",82.4826919557328,90.7826214068407,96.5759401228506
"2","AGO",74.2406077850441,78.9461230547414,85.0959133520414
"3","ALB",106.501127582997,129.384965193654,143.575901119843
"4","ARE",22.6763156433985,25.2685183743684,29.5812879389009
"5","ARG",52.2796773037849,61.4378960309244,72.685634252711
"6","ARM",113.084084557209,128.139414330021,136.565055159642
"7","ATG",90.0027904087143,104.564751836762,157.091687614917
"8","AUS",65.8216452180906,84.8456912279055,135.602111251387
"9","AUT",106.408480992612,113.90443823547,124.146184334336
"10","AZE",111.594321057723,124.00088060587,129.566152298103
"11","BDI",0.328052217473532,1.2347658103919,2.06827128241526
"12","BEL",186.254257084294,280.431740389593,379.743640162271
"13","BEN",28.5616392936894,33.6519063347401,39.5396555239288
"14","BFA",70.8318945236565,82.1564573603909,102.720182681243
"15","BGD",59.7621588996837,68.6091277418871,84.8829660334216
"16","BGR",222.854311951473,268.201299767105,293.474010224958
"17","BHR",36.0817394242593,40.2583417104265,49.5072217451447
"18","BHS",101.23317574342,118.743024337192,129.791368196301
"19","BIH",142.664611961417,172.338204467545,198.68172891994
"20","BLR",114.916271362626,131.979847572626,160.802953236561
"21","BLZ",73.6132704049001,91.8025988311276,100.070264732244
"22","BOL",58.5149828371615,67.3328286936642,75.1375302794175
"23","BRA",101.319805621703,116.074472789088,123.630582261192
"24","BRB",66.0628762428126,93.9602443772031,124.644920058928
"25","BRN",63.7466678208309,73.1122203264453,91.52197296847
"26","BTN",77.2332210603988,82.767953310275,88.387850461229
"27","BWA",40.8043111789238,52.8322363897576,60.5110255808626
"28","CAF",49.6075044055822,60.3120391119915,69.0140616163301
"29","CAN",133.433843649949,146.579140899499,209.268283227051
"30","CHE",82.7462694885518,104.256381154708,153.857580718294
"31","CHL",111.297404736936,118.534073638586,132.843178695036
"32","CIV",105.318556171553,121.502361881924,132.506442436104
"33","CMR",129.215513217226,159.206795115081,186.752660424263
"34","COD",100.236466028567,115.849396649366,134.317334922389
"35","COG",186.66602806841,215.395283932759,243.359647687687
"36","COL",54.224046654064,64.9809530377335,80.3024678167295
"37","COM",61.6218606572954,71.3883006454043,80.2600851764383
"38","CPV",74.2208592661793,84.4240188016778,91.3679941466026
"39","CRI",81.9617800641486,94.4150274581199,103.958935207333
"40","CUB",NA,NA,NA
"41","CYP",103.907736766964,134.404733692658,163.172155432762
"42","CZE",110.114499688159,132.641280063852,151.357340443057
"43","DEU",170.452382963032,183.898850270533,202.795093211949
"44","DJI",120.345017351936,145.205665785517,162.273225810881
"45","DNK",121.399564712051,133.017191423845,147.622114684854
"46","DOM",33.9056554406805,42.1691885812949,52.3413897163595
"47","DZA",44.53582667086,58.9643890081669,75.265577564757
"48","ECU",44.1151388447674,52.9093110257798,66.6485302618264
"49","EGY",71.9541321655586,85.1758094345115,96.5127637887477
"50","ERI",NA,NA,NA
"51","ESP",155.388009012509,173.449318243389,200.166250234568
"52","EST",147.443412899435,169.10833140084,186.613544824377
"53","ETH",281.330450166821,344.999746883412,384.480561227774
"54","FIN",129.674043092633,139.715622389402,148.823812707448
"55","FJI",83.641527431963,94.9011600980469,109.082861087978
"56","FRA",162.910346126475,194.236911328111,250.366353916221
"57","FSM",NA,NA,NA
"58","GAB",77.0417804645818,90.4454259055462,102.370140236449
"59","GBR",119.09776073144,158.042042751754,246.139890203128
"60","GEO",201.078598474112,219.536547355932,255.533136367854
"61","GHA",117.74923024632,129.251407309526,143.765860389916
"62","GIN",91.8314838203947,106.17720547478,124.702973826177
"63","GMB",66.8278086744494,74.7396907008988,83.1335245208967
"64","GNB",487.235532419928,588.520196223739,690.007785235221
"65","GNQ",26.9082358945009,51.5719491002813,62.5342211195054
"66","GRC",184.154609140095,200.868584537636,215.026569513817
"67","GRD",16.3514961976984,22.972664360068,98.1530802784448
"68","GTM",110.682793711296,126.760874396218,146.555283933477
"69","GUY",97.8919069403877,111.393767181183,119.107926486078
"70","HND",42.6157571304952,55.2429948836029,60.7799719630474
"71","HRV",178.791343875185,209.113969403611,228.836163059683
"72","HTI",39.9687622207783,48.1632136586786,58.8414658051827
"73","HUN",111.463282099139,128.824110457952,167.055282014937
"74","IDN",80.2465719728322,93.5629183454263,108.017318445663
"75","IND",105.215683030355,120.876715940422,125.444220780704
"76","IRL",96.4910175154089,103.18367790886,107.520092255367
"77","IRN",45.4558502076049,51.3238968004873,61.8327530733187
"78","IRQ",37.316404189554,46.1378300709552,57.4401595822567
"79","ISL",123.448783688529,199.765367586487,255.17060932115
"80","ISR",81.4362601778274,90.4046995742463,100.003030447009
"81","ITA",150.799280634808,166.588240872615,184.586687124593
"82","JAM",62.555772774855,76.2115995286959,87.6727358057105
"83","JOR",76.0240785887305,84.6767780221659,91.2348769642491
"84","JPN",43.8372236240558,54.6822462852891,66.4109714694009
"85","KAZ",77.1782498084774,85.9272520070408,96.1239586008201
"86","KEN",109.572574325135,128.130777764943,139.131101832108
"87","KGZ",40.2975166411336,54.4780976346899,72.1220865703511
"88","KHM",80.0768677506111,84.8484658584726,89.919034147761
"89","KOR",128.205495072591,147.733836280217,170.002566904463
"90","KWT",43.7225008271061,49.1473819174565,55.6759886698936
"91","LAO",81.0710537766614,85.5681575806276,90.9266757281317
"92","LBN",146.539405292479,169.499719243134,190.974472708945
"93","LBR",31.9438876176128,36.4510341715543,41.6427591049677
"94","LBY",163.190029978616,186.843222536059,214.220066661904
"95","LCA",114.03299887498,127.428977885423,145.690230310451
"96","LKA",97.4468940405856,103.879520969437,115.738849995854
"97","LSO",37.3481797966721,43.6565600012494,49.4169873837981
"98","LTU",172.766132335573,190.669001422108,198.21483678797
"99","LUX",71.8783517470352,85.6367495065982,113.131767725242
"100","LVA",148.617865005481,176.36003476948,190.271056024395
"101","MAR",70.1646754359032,80.1465738836187,91.7417983064448
"102","MDA",195.916031418271,228.898401688451,249.78122598276
"103","MDG",93.3184629584926,118.284378550776,135.625308336151
"104","MDV",69.2774307531275,76.2775989280006,87.2805648450262
"105","MEX",60.8305503265276,72.6303139457739,81.5764896568311
"106","MKD",146.57330014459,174.330128656496,201.36070420878
"107","MLI",90.7437608893504,126.832711606044,155.223073970404
"108","MLT",111.850082881817,128.018854981375,148.681867545666
"109","MMR",70.801573317331,81.1955175680009,94.7163898743082
"110","MNE",124.355717922604,147.477349443948,181.221766187982
"111","MNG",59.3479322700756,63.5788791351661,68.7657816409481
"112","MOZ",34.1739275851135,42.4791096214527,52.9069307767586
"113","MRT",69.0572690748194,88.5067328801309,104.625908460708
"114","MUS",94.0388057295239,105.354802631016,115.804307881724
"115","MWI",189.966558127907,205.514927783142,217.738500662
"116","MYS",79.141182138441,87.8033276169123,103.538333601882
"117","NAM",55.5303959617016,73.5731977387946,86.8672456014815
"118","NER",179.145594320686,224.007855536504,303.148525663809
"119","NGA",260.219380264361,287.222643811926,305.563940776334
"120","NIC",18.063330791803,21.8725591490161,24.8455906724978
"121","NLD",114.806514842456,128.143450473605,145.971201139518
"122","NOR",113.291629805738,126.694077303395,136.310150588467
"123","NPL",69.3267465110805,79.267533225098,104.375753836061
"124","NZL",81.7240847782735,121.31275852033,154.627106672126
"125","OMN",21.0380827869917,26.8778405964149,44.5755570042612
"126","PAK",59.4181012851424,67.3281073141511,82.4574936112825
