"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"111","MNG",84612096.1820472,93139567.9507745,103833648.565182
"112","MOZ",9444659.37613112,12620746.7314697,17345039.5742028
"113","MRT",14110817.9593354,18024532.4914461,21416194.1318531
"114","MUS",49497868.5748443,58635652.3353682,69251615.2619291
"115","MWI",6074456.16367808,7305058.26807103,8474467.27828133
"116","MYS",2408690224.06989,2538512900.16848,2671523653.31175
"117","NAM",6191968.25869968,7237910.48462628,8750724.04380741
"118","NER",7090798.95052227,8159571.01518181,9202477.60521811
"119","NGA",230348646.417466,250216216.700487,277196431.404439
"120","NIC",9474957.92082281,11923536.2246486,14926552.6108765
"121","NLD",6298493369.52907,6669400372.63151,7261271303.21599
"122","NOR",3696942430.184,4036048888.77156,4381946779.48906
"123","NPL",73308926.824776,82587369.0827634,97693363.6148187
"124","NZL",2525215654.24747,2837126962.27121,3018632119.449
"125","OMN",158949667.450879,356146422.935729,844913730.49431
"126","PAK",555183423.130681,689822077.79837,849532519.820911
"127","PAN",335957152.41367,404806881.062865,480715790.549799
"128","PER",447520398.991638,662368055.715568,858870005.168303
"129","PHL",848274845.281072,955964945.510207,1067064299.26285
"130","PNG",4913405.18753142,5917130.16179016,7392653.04303025
"131","POL",2615730582.52403,2864018854.03242,3086203502.92689
"132","PRK",0,0,0
"133","PRT",2449956877.41088,2661993915.23537,2906126461.45022
"134","PRY",19379182.3959958,23005481.6100008,26171296.7307985
"135","QAT",1261255280.84741,1734855355.73045,2245528807.42156
"136","ROU",548298981.452075,640203470.787063,732234199.010132
"137","RUS",4008025608.81959,4286913244.7146,4773055368.32365
"138","RWA",23218794.5947274,27683122.8787376,34302921.06117
"139","SAU",4433460916.01087,5427761807.56625,6375782530.65343
"140","SDN",2908411.22747123,3912559.55416465,4585077.67550868
"141","SEN",23320490.1207928,26723264.4902815,33115587.934547
"142","SGP",5734595165.46458,6290938300.26338,6399756842.7782
"143","SLB",216051.803712598,3560882.80912473,11681265.8406761
"144","SLE",2047160.91510249,2567707.78870216,3159374.12934477
"145","SLV",119435701.733964,131539447.194759,141742213.183909
"146","SOM",2912323.96853904,3470937.8230638,4321167.92781468
"147","SRB",228501879.359576,282485693.247609,325842585.543831
"148","SSD",0,0,0
"149","STP",1778676.27322617,2102454.03427701,2503512.12168931
"150","SUR",6800274.73470103,7370982.06555225,7930502.53715381
"151","SVK",351933770.93742,410931613.976676,447889871.994258
"152","SVN",262666034.290066,302453756.727191,343416665.798512
"153","SWE",2908153828.59087,3199218168.87743,3518625816.77356
"154","SWZ",4940913.08024765,5658142.07268009,6650562.86911323
"155","SYC",7913537.36815133,9930537.49612661,13119343.3918876
"156","SYR",1527777.51686615,1853154.04965114,2221422.15962233
"157","TCD",721501.151923538,969227.308211181,1315505.99821827
"158","TGO",8771833.8360856,9782146.41759415,11068873.1865369
"159","THA",2897995791.78386,3392033446.35421,3795146839.67587
"160","TJK",19126995.9103837,25538407.0573301,34473242.3141253
"161","TKM",184947489.999865,222778570.141071,242677400.531492
"162","TLS",10065803.2638311,11239614.5118928,12342160.5714446
"163","TTO",79762311.0650499,86947352.8723329,99132440.9958255
"164","TUN",108953847.968172,129711135.234335,162980379.829345
"165","TUR",3197428285.62293,3569865139.70591,3864838340.71902
"166","TZA",9040438.78594334,11809233.5888508,15202886.1567903
"167","UGA",27780193.9709003,31392127.4181364,36656744.9789211
"168","UKR",306589309.891829,356499967.535329,419436945.548012
"169","URY",471262076.258641,545502969.217274,597724292.771713
"170","USA",141961709176.458,159513723583.135,181399942588.978
"171","UZB",111689369.381763,138172962.086627,169338035.717737
"172","VCT",1027823.38677463,1230031.40060846,1494020.12053872
"173","VEN",0,0,0
"174","VNM",2195848008.12691,2441696879.01866,2693364636.32958
"175","VUT",3256.63403204071,46073.4992204923,4482521.33667695
"176","YEM",4562126.91072331,5049841.27753885,5612210.80338094
"177","ZAF",582330092.879447,795633872.983265,1063232559.01639
"178","ZMB",6157579.76221194,7730454.23111172,9115188.98917961
"179","ZWE",38195767.0701419,46025850.6125593,55190143.0383567
