"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"160","TJK",24154563.6674837,34542443.0992677,43641920.8278748
"161","TKM",565062328.107722,825372331.179783,994215785.17463
"162","TLS",33226073.9269204,36245535.6110103,38098421.540584
"163","TTO",664090650.448406,787654169.385748,952833367.4388
"164","TUN",405676772.881412,467879400.200443,527894520.023008
"165","TUR",25511921955.5743,29670743479.8575,32592615926.9008
"166","TZA",19773170.3490011,27053657.7697995,31996377.4710909
"167","UGA",49546390.7905498,55921203.6233818,61062920.0165122
"168","UKR",1720015867.34327,2032200080.16519,2317176585.87515
"169","URY",5181086247.75971,7002331945.12577,8570991270.73131
"170","USA",1117618560660.75,1222724360557.68,1331031182577.88
"171","UZB",271282128.837425,376895470.272108,468318684.936555
"172","VCT",6640671.07848864,9080496.82312556,16551123.2587953
"173","VEN",0,0,0
"174","VNM",6717010110.96695,8243166525.57813,10164830620.8201
"175","VUT",5135.81434096264,41885.0218049926,2122395.04770585
"176","YEM",8000919.42530657,9248852.14388508,10344478.4195807
"177","ZAF",3894922238.36251,4892471361.11862,5980205630.97105
"178","ZMB",19430982.473815,22569628.2676769,25004024.7448378
"179","ZWE",75202009.290064,86220688.9514581,98119801.7441704
