"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"150","SUR",48105384.2048256,55302978.2577876,58649430.849672
"151","SVK",2933726294.28602,3462422645.33697,3733982495.34765
"152","SVN",1973827932.71351,2200230974.66355,2463127185.46769
"153","SWE",15719505726.6793,17776378165.7738,20418639947.2516
"154","SWZ",9582296.7814478,11566900.1581572,13518681.2386342
"155","SYC",28629392.1315798,36723523.6674803,48448836.3182125
"156","SYR",2193067.77985632,2811027.93159982,3528369.43015635
"157","TCD",779560.641988757,1069355.65349916,1309231.12997086
"158","TGO",10284128.3229987,11135969.2992661,12121995.0494168
"159","THA",13483282395.195,16661824461.4884,19456315198.4707
"160","TJK",16171522.912572,23107611.7360465,29070877.0061128
"161","TKM",380079447.091335,560096454.486235,681138032.813199
"162","TLS",22965897.2526572,25276186.9767524,26586454.3379327
"163","TTO",462638116.355858,549835338.978131,670490222.947713
"164","TUN",290761352.655061,335550983.492347,375803945.482358
"165","TUR",17587487894.5586,20508154369.8683,22612938280.2792
"166","TZA",14368497.126885,19518457.2441895,23183355.524555
"167","UGA",34404079.6322793,39765234.3608465,42799114.2825173
"168","UKR",1306834924.31793,1547666929.593,1765103696.31134
"169","URY",3565317623.69838,4827243790.44486,5946307891.95559
"170","USA",796021102501.738,871582048955.733,948270535662.049
"171","UZB",186181203.503678,259395363.148185,321651657.848402
"172","VCT",4727743.38570173,6540770.96626312,11987667.3432052
"173","VEN",0,0,0
"174","VNM",4681204856.60174,5708804701.66193,6999294483.5438
"175","VUT",4198.99685520064,26410.6707909582,1394521.15657182
"176","YEM",5741609.14364041,6706228.6044825,7547128.83625524
"177","ZAF",2929716652.54113,3613570695.58414,4375040318.76285
"178","ZMB",14221833.329988,16742702.6306126,18624980.9209497
"179","ZWE",54309113.0984353,62154927.6054749,70659502.3810304
