"","iso3c","monqaly_pp_low","monqaly_pp_med","monqaly_pp_high"
"1","AFG",6.64665793090998,7.1424681204725,7.52635125222316
"2","AGO",78.386735115148,84.6218982704029,92.3292481907731
"3","ALB",442.140923754463,538.171676369014,596.513654714972
"4","ARE",1474.43764162733,1625.66891954834,1900.92469310187
"5","ARG",434.221946178601,504.865054971915,592.695483873968
"6","ARM",314.939562042369,357.544634268796,388.127679149297
"7","ATG",1378.41160110146,1599.4361452187,2522.38790761715
"8","AUS",4944.16190533632,6164.46665242316,9778.27368813488
"9","AUT",4990.60050459296,5311.35868185097,5784.42779049687
"10","AZE",432.803425109742,480.051952461746,505.486111812568
"11","BDI",0.0334055110649701,0.116595928576103,0.204617066019756
"12","BEL",8407.0360367118,13142.0173840283,17533.5936719318
"13","BEN",16.1512554558148,19.1881517700289,22.5304571104079
"14","BFA",17.9049839843637,20.1806346162788,25.1624013420298
"15","BGD",64.4037632936366,75.4001772569456,93.6380624172908
"16","BGR",1415.32627650865,1680.00434887986,1828.39219635225
"17","BHR",1023.1399332066,1150.27077293568,1388.3581714031
"18","BHS",2662.91966756485,3136.32590924751,3452.51821964964
"19","BIH",635.699146196546,755.084733504998,854.927374155375
"20","BLR",512.859509899134,593.957077083576,717.529217141857
"21","BLZ",238.427291970314,295.99738862756,327.085542389408
"22","BOL",85.506364007787,97.9413986468387,106.481454850832
"23","BRA",602.359793801969,682.366516952202,728.753935428825
"24","BRB",833.104900475679,1233.16105964237,1685.97998580658
"25","BRN",2024.76969088351,2385.89396073304,3080.07978452112
"26","BTN",141.947098878983,152.750466996567,164.766951753276
"27","BWA",176.356737741143,229.783229543748,269.97531251998
"28","CAF",6.09493841109828,7.3769638597007,8.49841333852971
"29","CAN",7520.13941998127,8245.15656588966,12088.1888522877
"30","CHE",7839.97612366805,9940.99988620412,14812.1055046652
"31","CHL",1954.49348363888,2082.03116492163,2370.09613202504
"32","CIV",136.810847300686,153.336743485861,166.224296102751
"33","CMR",92.9670340062756,110.865586984867,126.990132054824
"34","COD",17.260974960335,19.7929405900148,22.63784458341
"35","COG",261.677030644398,291.64541453082,327.920702428951
"36","COL",270.986864096588,325.768973316663,400.940558058388
"37","COM",48.2734159188486,56.4251034252641,63.6170264981425
"38","CPV",128.766078891153,146.805357783773,159.824553291897
"39","CRI",945.879627075626,1091.41655683488,1206.47740948474
"40","CUB",0,0,0
"41","CYP",2918.35318715583,3728.34831211685,4515.95925729563
"42","CZE",2715.12114811056,3247.38241367771,3680.66929984531
"43","DEU",7933.94047982944,8526.52339160456,9275.80481336229
"44","DJI",118.210330083636,144.126789798648,165.275883669219
"45","DNK",7539.20149531317,8240.0966433302,9088.2024020225
"46","DOM",248.881321914562,311.761117891432,389.039282110518
"47","DZA",74.0805387268387,93.2192977660553,123.261790285514
"48","ECU",237.220517168252,287.767328849576,369.659888894873
"49","EGY",135.778120280295,158.113031032521,178.769870646419
"50","ERI",NA,NA,NA
"51","ESP",4592.11913973311,5103.1415994194,5863.13298602155
"52","EST",3499.39962865161,3981.31451789299,4366.95493405518
"53","ETH",66.082530050074,79.5966034594289,89.738019312074
"54","FIN",6723.63592926426,7200.9904442914,7861.06421222683
"55","FJI",291.105935019891,338.735387408305,398.851102396199
"56","FRA",6529.94888869865,7794.80982514138,10312.6268084762
"57","FSM",NA,NA,NA
"58","GAB",539.580110869609,630.707670866851,699.940166596492
"59","GBR",5180.26272030171,7051.73877160635,11053.7672828905
"60","GEO",519.993827048243,557.950488148373,643.395230825979
"61","GHA",128.597141772658,143.820435929272,159.859929532311
"62","GIN",38.5363943953113,44.0967333709458,51.1865736622578
"63","GMB",16.691539903887,18.6108176080186,20.6523752137631
"64","GNB",113.588991191467,133.264411416124,160.049727476481
"65","GNQ",280.920270083048,555.319074395952,675.620388058091
"66","GRC",3215.7552412099,3490.3774186674,3731.81410192989
"67","GRD",81.9187216118993,113.354882011215,522.122142815762
"68","GTM",388.297869434915,441.705810748219,528.546250917481
"69","GUY",798.544355853651,895.041781918406,959.863606311396
"70","HND",56.720337872343,72.7408086753517,80.6878420181309
"71","HRV",2230.02150724469,2600.22569735581,2850.17960277302
"72","HTI",22.1760159693078,27.2041326026441,32.718645037549
"73","HUN",1503.34671913165,1816.5424248864,2438.16094255585
"74","IDN",149.599322864182,180.877896947591,207.118314772701
"75","IND",105.930569002988,119.382804481716,125.092844566282
"76","IRL",13499.1312228526,14307.9483640041,14879.9960151977
"77","IRN",106.561200003591,121.904468893979,148.000468441631
"78","IRQ",124.86268515815,161.658593688004,198.133618905061
"79","ISL",9348.40620150059,14506.4088877204,18184.6225413277
"80","ISR",4972.928195241,5502.77488881124,6055.90109573784
"81","ITA",4895.15110167341,5356.41994057928,5836.37934337986
"82","JAM",195.928032440833,242.807871210469,284.784257302902
"83","JOR",308.720907203071,344.238017579301,369.774936381265
"84","JPN",1493.92584654656,1880.638145895,2294.18123203323
"85","KAZ",645.999187881967,706.870868127113,787.962992779197
"86","KEN",84.6077625410053,96.6096790865955,106.637951136182
"87","KGZ",25.2589179505521,35.3323528495347,48.5434844768625
"88","KHM",64.0098634734125,67.6207863159222,71.5068666027773
"89","KOR",4759.31637525558,5449.33296218204,6178.80348729851
"90","KWT",1799.07859707503,2018.80656417494,2319.52364343434
"91","LAO",104.447877337563,110.437553747696,117.217745988089
"92","LBN",316.110986848583,373.52081282045,427.736890383605
"93","LBR",6.59399009507672,7.50986479578599,8.53510786462963
"94","LBY",560.627892885339,649.535461242524,743.030076612192
"95","LCA",829.091931815325,920.991251821698,1053.62702649116
"96","LKA",183.480449365805,195.373100238258,216.695409176222
"97","LSO",10.8672086129883,12.7221585039048,14.6329045279146
"98","LTU",3138.03149460313,3447.4590287131,3572.36976160933
"99","LUX",15537.7032817309,18286.5802902198,24799.763385638
"100","LVA",2166.28028294645,2525.75011552001,2693.18633040485
"101","MAR",130.000207392868,151.028925294729,175.000745006809
"102","MDA",424.064222039177,482.083140104205,518.379821080313
"103","MDG",11.8082409209674,15.1072796675715,17.3612823450501
"104","MDV",731.364134294637,808.183579306844,958.559700792765
"105","MEX",525.067657264412,621.291724312201,697.346744024932
"106","MKD",579.821708663338,691.273298958114,801.603123331652
"107","MLI",26.9506729479998,38.0707393256644,46.0714691477663
"108","MLT",4775.2586135725,5416.75317248755,6376.03158391985
"109","MMR",32.9116870119804,39.6900750166836,47.4560739860125
"110","MNE",714.31686769422,840.788192015801,1018.91323515237
"111","MNG",159.173767179286,170.53524202587,184.953441275216
"112","MOZ",4.49055018050958,5.6563204664042,7.17338886946248
"113","MRT",69.3644433254031,90.9283371450151,108.674652449701
"114","MUS",544.236065094006,611.525814725402,676.507739068763
"115","MWI",32.9986022859023,35.3108643748836,37.1168761541983
"116","MYS",745.339962282456,850.585910142853,1029.61526024872
"117","NAM",139.916418215231,187.045167228404,220.35745723339
"118","NER",30.7007823594035,40.0058755463444,60.5086200931722
"119","NGA",227.15165599158,247.311992405636,261.485797943163
"120","NIC",16.8629059508971,20.3435365475022,23.9365885322927
"121","NLD",6471.72351119453,7235.34907329145,8250.45421736778
"122","NOR",11630.3495348063,12855.1675966758,13837.0486630974
"123","NPL",35.6729083666346,40.3999397421006,53.2661427623714
"124","NZL",5473.05374160734,7810.59629662716,9842.00417077791
"125","OMN",336.40524978054,460.819167269664,900.922852079266
"126","PAK",39.3170246462202,45.7664230912039,55.4334215642872
"127","PAN",876.209198398184,1096.46596678901,1364.93554335488
"128","PER",151.203985773037,210.569771637758,286.674259836228
"129","PHL",143.043304075697,172.93383690943,216.354821215093
"130","PNG",78.5142528442787,100.865323145553,126.882272761542
"131","POL",1735.15022273238,1905.58647273396,2046.91939331006
"132","PRK",NA,NA,NA
"133","PRT",4208.31471437358,4498.33860782102,6040.68385736589
"134","PRY",89.0823931540693,109.331109690508,121.405200951351
"135","QAT",3601.53183792917,4920.36777098608,6362.96393944619
"136","ROU",1219.22552975771,1437.23892407798,1624.3872925878
"137","RUS",1299.67945106542,1392.45265550653,1495.54131254961
"138","RWA",13.0266104211968,15.108468392829,17.3750803012824
