"","income_group","vsl_pp_low","vsl_pp_med","vsl_pp_high"
"1","HIC",63946.5581572206,66358.3401967768,69932.8449068633
"2","UMIC",9237.99708780885,9585.42141520012,9853.99630411111
"3","LMIC",2719.81984534333,2890.82594984297,3000.55264518063
"4","LIC",760.163222663704,807.793328890631,843.770689387162
