"","iso3c","friction_total_low","friction_total_med","friction_total_high"
"159","THA",3464090443.26267,4079164731.02963,4568457469.30679
"160","TJK",19958586.4971347,26765561.4851111,35817097.0425967
"161","TKM",178231010.838734,218414553.643233,240783543.722189
"162","TLS",11900539.8213605,13113808.7911293,14203354.6902612
"163","TTO",101704504.776985,111876735.706845,128467812.987817
"164","TUN",139501249.304798,160908825.993986,198622005.732215
"165","TUR",3930636656.4078,4436845940.43345,4812462174.50165
"166","TZA",10539787.8065557,13917345.0727986,17684461.2545614
"167","UGA",32353427.9181402,35775215.9544326,41518177.1157512
"168","UKR",439622662.66146,511490840.85973,597226589.281115
"169","URY",560840349.433903,668351223.734546,749763610.379434
"170","USA",164712578162.648,183878184425.876,207817712775.35
"171","UZB",142408608.961756,181582961.11985,222358238.348401
"172","VCT",1277330.0402294,1571825.53791825,2078160.94463123
"173","VEN",0,0,0
"174","VNM",2571498435.0984,2885680064.38428,3215716749.28547
"175","VUT",4011.17030416708,51768.8860600785,4711817.3124613
"176","YEM",5097588.50564617,5697168.37675193,6319638.80341063
"177","ZAF",708732097.306977,944766055.173583,1204807726.10969
"178","ZMB",8060694.79307835,9446290.58185302,10837313.2029625
"179","ZWE",42862726.7578372,50451157.6651962,59364347.4948631
