"","iso3c","vsly_undisc_pgdp_low","vsly_undisc_pgdp_med","vsly_undisc_pgdp_high"
"1","AFG",2.03363874465522,2.18942803556722,2.30837419732626
"2","AGO",2.50943895754805,2.6996263798756,2.94675147064382
"3","ALB",13.0701529121297,15.9317021632738,17.6842451161323
"4","ARE",12.68439206528,14.0341248299309,16.5364530726177
"5","ARG",13.0406543858175,15.1857801362938,17.8156989164233
"6","ARM",6.76415682720528,7.68123604028525,8.32761870037669
"7","ATG",21.6424444103385,25.1552143046927,39.9874862635801
"8","AUS",24.3051384307216,30.6865471785769,49.1429659503976
"9","AUT",28.8104833913041,30.701040850833,33.4865074055577
"10","AZE",18.5693378735245,20.6262054899537,21.7038707179446
"11","BDI",1.29991759519205e-05,5.41442960927804e-05,9.17961287392835e-05
"12","BEL",58.2583854839238,91.7060240715764,122.63725288564
"13","BEN",0.58224200286105,0.689755698179807,0.80584057449805
"14","BFA",0.310779520006358,0.350238322093971,0.43421437688374
"15","BGD",5.09350465354794,5.94991998629547,7.3897316316147
"16","BGR",18.7468343065699,22.2673542876385,24.2392805051314
"17","BHR",11.2651966540594,12.6909072223675,15.3621649574682
"18","BHS",15.2069918503135,17.9375245144094,19.7330961695224
"19","BIH",12.5842682042483,14.9652769056995,16.9669946921929
"20","BLR",12.8487826928562,14.8969440325193,18.0288438224133
"21","BLZ",15.0384090211005,18.7225357988332,20.7373904806729
"22","BOL",7.30820844592364,8.38099840868518,9.13342471945899
"23","BRA",26.2611203275782,29.8348690069068,31.823342339389
"24","BRB",10.8286267459068,16.0735462578158,22.1136508513566
"25","BRN",22.5729070722735,26.7197799495025,34.3770445158973
"26","BTN",21.6358379202176,23.2943779750787,25.1773197066991
"27","BWA",3.70142503090781,4.82393687208459,5.6584835347514
"28","CAF",1.14448967952523,1.38311294361225,1.58252259621042
"29","CAN",46.780026684234,51.3422043389586,75.7687316487533
"30","CHE",25.0413210424877,31.8882474564902,47.6368473885986
"31","CHL",39.6528004253584,42.2909331778216,48.3203356951191
"32","CIV",1.96309253530378,2.20311219861059,2.39177009736995
"33","CMR",0.966937785281899,1.15696166141125,1.32732123955278
"34","COD",0.0214322555059602,0.0245513539164255,0.0281054399238332
"35","COG",1.53927343813975,1.72238217809807,1.93477052409947
"36","COL",10.5686771312822,12.7177753133783,15.6913589104276
"37","COM",6.82096771632214,8.00060807051927,9.01129374157138
"38","CPV",12.4448055890883,14.270530839372,15.5525220378017
"39","CRI",22.9834353179505,26.5800357186509,29.4028079849246
"40","CUB",NA,NA,NA
"41","CYP",29.9754084777204,38.3853849376123,46.5772710044085
"42","CZE",27.1868589184465,32.6001427711833,36.9749463819099
"43","DEU",52.6745990657781,56.68919814775,61.6733668224555
"44","DJI",2.03380495306726,2.477458359149,2.83503155674351
"45","DNK",39.8756499212652,43.6428874372901,48.1931322495154
"46","DOM",6.9321006427957,8.71771129757752,10.9335992748851
"47","DZA",1.60189265896495,2.04654683585527,2.6971711947406
"48","ECU",11.7560542240785,14.3203082934426,18.3514634246772
"49","EGY",3.98305789167674,4.64540933658923,5.25643493323277
"50","ERI",NA,NA,NA
"51","ESP",56.1546674055455,62.474336426521,71.8880970983199
"52","EST",36.2017005303662,41.2143626358061,45.225030713124
"53","ETH",0.95377340330436,1.15673884995039,1.30422460780976
"54","FIN",45.7634549361486,49.0392809627614,53.6836628743554
"55","FJI",21.3809766107351,24.9810084984542,29.5836616043538
"56","FRA",47.7818423779255,57.1656134905116,75.9231750040797
"57","FSM",5.30613906851626e-05,0.00718661547875275,1.69004466360694
"58","GAB",1.68253962885929,1.97876146732209,2.2018295872935
"59","GBR",34.9754318882159,47.8220385780036,75.1101208702483
"60","GEO",16.6315870638923,17.8480219855986,20.5960683567225
"61","GHA",1.62741820468916,1.82316202864497,2.02487325193726
"62","GIN",1.8609154962496,2.13543354486659,2.48311594780179
"63","GMB",2.02840521522476,2.26399052771281,2.51201001206662
"64","GNB",1.48693055097166,1.75198965269006,2.08481159037839
"65","GNQ",1.43633312606551,2.9424806719198,3.6271698649204
"66","GRC",49.6013760516004,53.8752858209438,57.6439754005412
"67","GRD",1.30621055981501,1.79833712873973,8.35750091251291
"68","GTM",8.8304573889764,10.0803891642033,12.1198338120606
"69","GUY",12.7932558236374,14.3862080415672,15.4322991032195
"70","HND",5.66486079179367,7.31924742388683,8.13491898739544
"71","HRV",32.829096593924,38.2741052480324,41.9591032411351
"72","HTI",0.0508138347647751,0.0623553819453878,0.0749639919576019
"73","HUN",24.9024340283067,30.2001188871248,40.6597937274583
"74","IDN",10.7430177640774,12.9634182052001,14.9068908609382
"75","IND",13.758631777102,15.5363379659134,16.2820231628706
"76","IRL",30.5657374736152,32.4264126069347,33.7350354032235
"77","IRN",9.74189275679384,11.1394934686875,13.5268459256764
"78","IRQ",1.30501759630081,1.69183504912754,2.07820229477938
"79","ISL",40.2635816745656,62.832068104062,79.0686819298251
"80","ISR",20.4108828339425,22.6131132121062,24.9973617830243
"81","ITA",49.9431351355755,54.6207847096327,59.5863203718671
"82","JAM",3.62414954146515,4.50808418410209,5.28973838766773
"83","JOR",11.3261770936884,12.6446326308423,13.5620160172147
"84","JPN",16.0383994993707,20.2355895810636,24.7183544545999
"85","KAZ",12.0894863356414,13.2668296302559,14.7994649104723
"86","KEN",1.94737529593198,2.2284317723209,2.45348531424569
"87","KGZ",1.8415202009599,2.59563327337103,3.59187716318355
"88","KHM",18.9695978551139,20.0262450582088,21.1744199217518
"89","KOR",51.2032800000191,58.7152853418407,66.6690810921195
