"","iso3c","friction_costs_total_low","friction_costs_total_med","friction_costs_total_high"
"114","MUS",7603142.92378064,8518053.96608553,9362908.18650635
"115","MWI",1360894.50090444,1472280.89949145,1559848.9076513
"116","MYS",276907619.586149,307215659.220388,362270978.508517
"117","NAM",1118674.63708845,1482151.69106028,1749963.83089239
"118","NER",1049609.29258522,1312456.09290461,1776139.18319788
"119","NGA",34710265.5431361,38312189.6093416,40758707.1876762
"120","NIC",1646312.40153614,1993489.7829972,2264455.23912929
"121","NLD",950538039.458539,1060960907.57376,1208565380.97135
"122","NOR",518991603.174499,580388528.306551,624439984.702937
"123","NPL",12783160.9974851,14616142.9763327,19245848.5745755
"124","NZL",189043302.947478,280619411.31031,357681814.973128
"125","OMN",12556644.3546042,16042121.7468355,26605058.164187
"126","PAK",90259395.7235517,102275134.175405,125257512.19341
"127","PAN",26780074.6058878,33345081.6702928,40612685.05573
"128","PER",40476408.065988,55489722.3040614,73128286.7397976
"129","PHL",237360871.276756,277964868.215179,328721137.5273
"130","PNG",747790.014517334,948614.982980786,1169583.4722759
"131","POL",339617070.922927,377261624.02084,405877952.145746
"132","PRK",0,0,0
"133","PRT",310549256.221788,333027784.796952,439536472.141025
"134","PRY",4432163.32307743,5609125.81463461,6201269.74727922
"135","QAT",64177175.0665002,85101745.2880704,105820443.842616
"136","ROU",183201553.80694,217784793.916773,244291178.657506
"137","RUS",1558231044.21913,1687143984.55614,1803501182.42718
"138","RWA",2802543.95961147,3174283.03804813,3598092.64675689
"139","SAU",357086092.986142,398355649.68241,446921652.906104
"140","SDN",1906481.91726908,2590735.99517954,3361839.00230612
"141","SEN",3010021.08400179,3460058.1744552,3880654.49498017
"142","SGP",1080870384.26225,1272815455.74359,1324760052.65047
"143","SLB",10293.411274674,116886.248623817,484280.847291255
"144","SLE",197501.758024798,285060.419870189,344841.005490017
"145","SLV",21526624.442814,25313573.0301209,26888840.7036286
"146","SOM",439118.988307999,499199.44237451,562875.609482125
"147","SRB",59549887.6378338,69673171.6843605,82092181.3731593
"148","SSD",0,0,0
"149","STP",178748.461239011,218656.373562401,292343.625982229
"150","SUR",1540860.91808021,1787536.70284977,1892077.4045245
"151","SVK",78736139.594765,92607164.4232294,99921797.6486624
"152","SVN",48085135.2187786,53812113.400287,60541065.7048126
"153","SWE",437468605.795849,494669847.239566,570568564.050529
"154","SWZ",1056420.6062855,1248765.77997916,1458652.48187552
"155","SYC",737658.442743277,942837.964365124,1236226.84140187
"156","SYR",290222.758775527,367337.951862684,464431.476271329
"157","TCD",116030.97250219,161621.830480963,205486.44998949
"158","TGO",1156543.17728748,1245620.94606148,1340597.68486547
"159","THA",368935292.046916,451202734.858577,527263145.577882
"160","TJK",1344137.87869924,1876187.56222459,2338459.52465066
"161","TKM",9815212.78903261,14489018.6124366,17779015.3285176
"162","TLS",1916480.33167811,2134051.78717183,2251058.51002399
"163","TTO",11046927.9667474,13122371.03726,16248151.7488882
"164","TUN",24986139.6191447,28863843.4383226,31702828.1129551
"165","TUR",488242614.307463,571503620.182106,635008613.359129
"166","TZA",1416306.91138731,1891467.65050312,2263560.76787626
"167","UGA",3822235.06709104,4645116.56976321,4925077.48037795
"168","UKR",136640852.110914,162985952.884087,186731520.142393
"169","URY",91298866.8823378,123394974.430768,153660003.537818
"170","USA",23846060850.2217,26105315273.324,28396906120.8125
"171","UZB",15090097.7131967,20875585.2296721,25590488.0030436
"172","VCT",144282.751395587,206652.746134805,381274.642688304
"173","VEN",0,0,0
"174","VNM",393397633.592011,474784225.990821,573903862.858166
"175","VUT",576.468663444513,2826.19898379129,108672.779951377
"176","YEM",729285.915509176,868807.726069387,985612.762926268
"177","ZAF",97743837.6781561,115585793.029508,133729220.960671
"178","ZMB",1529853.85013557,1836900.21081892,2039484.30160943
"179","ZWE",5094268.95237729,5854307.59930993,6796035.77813937
