"","income_group","vsly_pp_low","vsly_pp_med","vsly_pp_high"
"1","HIC",6996.49615223555,7260.87966978675,7656.42519227368
"2","UMIC",5197.11754431268,5396.09890662475,5554.96416676814
"3","LMIC",4954.7036069338,5285.03889199274,5472.81697590366
"4","LIC",4610.70116454432,4840.26053928614,5041.58092820329
