"","iso3c","monqalys_averted_sum_low","monqalys_averted_sum_med","monqalys_averted_sum_high"
"128","PER",91617214579121024,127749135230800864,173863446858849216
"129","PHL",612304849971823744,745197645284130048,937961258830950656
"130","PNG",153144112704571,197306294314308,248133617114396
"131","POL",1277485684441953792,1404629912566941184,1508832735200670976
"132","PRK",0,0,0
"133","PRT",385278158272863872,411954643764603136,556250603050774336
"134","PRY",1581722957276002,1944841231951127,2161654659098057
"135","QAT",18561920708454680,25310678812040720,32915874483295480
"136","ROU",188980359671828736,222738104444673728,251739911427549184
"137","RUS",11210355150501548032,12015685161154129920,12900805511684495360
"138","RWA",674220634616059,780372980761914,898224260041044
"139","SAU",1230428749086991360,1370404971315596800,1547321088787563520
"140","SDN",896711491076066,1214951800957896,1541628411850178
"141","SEN",1149845278177042,1323422279449805,1484694393134425
"142","SGP",555620914227294080,675626280064230912,706831090902528256
"143","SLB",151792705239.717,2091088315600.04,9465415952701.7
"144","SLE",25402919894461.4,38109779513688,46507722292816.4
"145","SLV",6092716174937896,7126474854706674,7565855534435566
"146","SOM",94019706102444.8,106892479222425,120506848036796
"147","SRB",20675587428837976,24401544339222696,28345687916092024
"148","SSD",0,0,0
"149","STP",1125966176039.03,1347263704280.1,1942360066037.46
"150","SUR",53130562269754.1,60900549895177.4,64605978934129.6
"151","SVK",29422287384322392,34696315933934088,37399431328795456
"152","SVN",8032102667638796,8941934627478159,9978810094772212
"153","SWE",324142304551550208,365794327735025536,418961990606268672
"154","SWZ",22471599749298.3,27074687434269.6,31706049349853.6
"155","SYC",5472425554212.74,7032636571617.47,9283235042364.2
"156","SYR",85186015933035,109899937547220,136675968394844
"157","TCD",23940369793509.3,32573736358435.8,39852785234167.1
"158","TGO",164431789821350,177376943496037,194524962761622
"159","THA",1829483151588610048,2256462967500798976,2636281379435957248
"160","TJK",350542689391477,502393551825877,633553747452606
"161","TKM",4640612457505277,6806903217770339,8209914308865572
"162","TLS",66201829278841.8,72348694468499.2,76039490878839.1
"163","TTO",1369474103246212,1625605355490888,1968037857153025
"164","TUN",7525220386049946,8678163724323222,9789334032873784
"165","TUR",2815005725179057664,3274741580028007424,3598436715730979328
"166","TZA",1834442165427763,2511800209410832,2965923167692434
"167","UGA",2988931091718276,3379938779276996,3689056160830608
"168","UKR",108083401408505952,127682075167529152,145576583430521792
"169","URY",24042852810169392,32521481785220424,39831057182002984
"170","USA",5.01447330042224e+20,5.48513367158699e+20,5.97203638006861e+20
"171","UZB",14263232343687200,19845734778403256,24661515874110200
"172","VCT",906797514957.965,1241738448513.8,2270504140060.64
"173","VEN",0,0,0
"174","VNM",988089138088450560,1214138050658696192,1498863636590202880
"175","VUT",2458373565.34932,17252868808.2092,967762379084.905
"176","YEM",0,0,0
"177","ZAF",302192585734532224,379779302978280192,465390512500050176
"178","ZMB",570549707454973,664560765418952,736018382830514
"179","ZWE",1804635123417476,2067619227760669,2356242869417740
