"","iso3c","discqaly_pp_low","discqaly_pp_med","discqaly_pp_high"
"99","LUX",0.117293827856367,0.137825212258569,0.184902875764264
"100","LVA",0.118177796877576,0.138107490947114,0.147765986618059
"101","MAR",0.0708318838296396,0.0815083286988866,0.0936790820084309
"102","MDA",0.103116332717276,0.117784347188471,0.127312110597843
"103","MDG",0.0752618451817814,0.0956933944631079,0.11010526417491
"104","MDV",0.0822042899102532,0.0907899715170423,0.105850166806646
"105","MEX",0.0624725324933324,0.0741167492977888,0.0831495345292598
"106","MKD",0.100697732422115,0.120056089788314,0.138690884320007
"107","MLI",0.0959271696010437,0.134149585030193,0.162463898517358
"108","MLT",0.132234993173888,0.150392614499671,0.175727879705356
"109","MMR",0.0571073867897553,0.0681691092382103,0.081515647023697
"110","MNE",0.0986893366591662,0.116332424323618,0.141488575054771
"111","MNG",0.0723549237670648,0.0775245650195524,0.0839853610889284
"112","MOZ",0.0280674743427991,0.0353550445046492,0.0447540504071902
"113","MRT",0.0719091074953484,0.0942046395343942,0.112114540610349
"114","MUS",0.0754949349404939,0.0848263290899801,0.0938030892625439
"115","MWI",0.16854629719328,0.180399327419201,0.189680251685771
"116","MYS",0.0843380835418706,0.095276270959327,0.113793623798001
"117","NAM",0.0428827397017813,0.0572983776369135,0.0672713410662071
"118","NER",0.158156689459061,0.198311000445665,0.288182916088071
"119","NGA",0.235099020800146,0.25618101476485,0.270666184259075
"120","NIC",0.0164033706895379,0.0198234530063476,0.0232477932023611
"121","NLD",0.113226981292525,0.126240902218588,0.143985918728731
"122","NOR",0.128182586706646,0.14207537654122,0.153075373121446
"123","NPL",0.0598996417358314,0.0677643310693981,0.0886918081656209
"124","NZL",0.109436845433559,0.156513588508722,0.197316959397727
"125","OMN",0.0184286222896016,0.0253432210150633,0.0483896679685715
"126","PAK",0.057469893238277,0.0661340034001364,0.0801747588921281
"127","PAN",0.0676138172430121,0.0843616399968517,0.104507534835166
"128","PER",0.0272000383882011,0.037941761601722,0.0510639073852933
"129","PHL",0.0861676188507222,0.10271750638011,0.125785958550108
"130","PNG",0.0644351439957579,0.0824764343992972,0.103419474524483
"131","POL",0.099575098690274,0.109719421309422,0.11782246291919
"132","PRK",NA,NA,NA
"133","PRT",0.182782595946577,0.195283419060349,0.260453655355792
"134","PRY",0.0195985611931436,0.0240994242612233,0.0267933032252826
"135","QAT",0.048802763921026,0.0664138730120769,0.0846261181131168
"136","ROU",0.108175212644599,0.12761954809739,0.143616553408008
"137","RUS",0.139366139242206,0.149578768739,0.160517840445474
"138","RWA",0.0474345992474662,0.0546872118714963,0.0625637214715373
"139","SAU",0.0659263176893698,0.0736951528781198,0.0834184387764842
"140","SDN",0.0754177382553286,0.101799056728248,0.129755358513896
"141","SEN",0.103748099584004,0.118651698688554,0.13220933983408
"142","SGP",0.268387822001878,0.321296073302895,0.335267694170627
"143","SLB",NA,NA,NA
"144","SLE",0.0558209944421854,0.0818289815616274,0.0992421750858616
"145","SLV",0.0643688665872007,0.075321714183191,0.0799848557552645
"146","SOM",0.0509542275739446,0.0583625043805031,0.0658155471042047
"147","SRB",0.110882305938555,0.130875668757486,0.152298846079347
"148","SSD",0.0453905882296143,0.0662745308673747,0.080446123592537
"149","STP",0.0967198547298243,0.114984362140628,0.160074248574366
"150","SUR",0.101613064642478,0.116326767329125,0.123389776494188
"151","SVK",0.107269942069921,0.126514782471698,0.136369454089706
"152","SVN",0.11986790828509,0.133627696463028,0.149552556761132
"153","SWE",0.0748213460986421,0.0843437469875815,0.0967559868304777
"154","SWZ",0.0389415184811321,0.0467806663394493,0.0546116970407472
"155","SYC",0.0610906629595493,0.0781416068248195,0.102892421124564
"156","SYR",0.0424957506317726,0.0543480164220184,0.0679686838269478
"157","TCD",0.0906096786556077,0.124229572799724,0.152293197958766
"158","TGO",0.0847590684737701,0.0914447423051921,0.099987931219358
"159","THA",0.10584862834511,0.130124362627397,0.151618744604238
"160","TJK",0.0337421742231585,0.0479814993662478,0.060760695127314
"161","TKM",NA,NA,NA
"162","TLS",0.07976243412186,0.0870508967207221,0.0914494051620708
"163","TTO",0.0926992733078188,0.109716246441148,0.133271176669444
"164","TUN",0.0661937855618137,0.0764723209412424,0.0859423148640142
"165","TUR",0.0847801783069622,0.0986645757666041,0.108720450637558
"166","TZA",0.0546408126609587,0.0739554818494323,0.0885211262180013
"167","UGA",0.190534364957646,0.216316743993715,0.234819756333698
"168","UKR",0.0986549194306978,0.116861088039274,0.133279536312199
"169","URY",0.154969377734585,0.208944348338684,0.256554305189153
"170","USA",0.117459094662699,0.128479383853756,0.139928467737779
"171","UZB",0.0410279862292215,0.0567295361674455,0.0702613082060768
"172","VCT",0.0563394045102181,0.0774651235094027,0.139571219140035
"173","VEN",0.0376587274569595,0.0482309862447564,0.0678863038357064
"174","VNM",0.103097705152426,0.125040280305718,0.152442530344138
"175","VUT",0.000145153950230839,0.00134209310671771,0.0597086337324177
"176","YEM",0.251493255091414,0.292446226435062,0.328535840833646
"177","ZAF",0.0664349764502476,0.0817545793063269,0.0977826258800912
"178","ZMB",0.0755359120430212,0.0879697765248521,0.0974652880950822
"179","ZWE",0.0501268891410194,0.0574568999008566,0.0649012935776985
