"","iso3c","discvsly_pp_gdppc_low","discvsly_pp_gdppc_med","discvsly_pp_gdppc_high"
"1","AFG",35.6454905658788,38.4575025880559,40.5841963701844
"2","AGO",38.8399432974183,41.547404009789,45.2399580333905
"3","ALB",53.5494924967948,65.2713616128398,72.616680285454
"4","ARE",16.6787755185573,18.4665232650006,21.7348435493263
"5","ARG",28.1811591146443,32.9437903093361,38.6921233049024
"6","ARM",54.780681682583,62.1781011067333,67.1644495980453
"7","ATG",48.6010388164001,56.4284318424589,88.3526526213251
"8","AUS",44.4165852579116,56.3511341310345,90.0224401294078
"9","AUT",62.5160597190788,66.371216438671,72.2328112998079
"10","AZE",57.8335960512084,64.3541530665815,67.5432235822879
"11","BDI",0.194892964760312,0.79295240673306,1.34358527145725
"12","BEL",109.08374960369,169.146386824259,226.768583307769
"13","BEN",14.0790022736521,16.6324947672477,19.4478492753602
"14","BFA",31.2929754904878,35.4337337759186,44.1156379007583
"15","BGD",31.8190084063583,36.9924676249435,45.8206420363249
"16","BGR",103.127624251235,123.056400575554,134.248373535309
"17","BHR",19.4622925048872,21.8597929498616,26.6167011678126
"18","BHS",59.3180328245135,69.9188411097439,76.7670939150004
"19","BIH",74.6742906164971,89.2504770398215,101.92693839769
"20","BLR",57.6962340052784,66.9114593662468,81.1604107799301
"21","BLZ",43.3149751989657,54.0498979632203,59.482770712641
"22","BOL",30.0780038827433,34.5206550295526,37.89485766656
"23","BRA",55.5236429595328,63.3041431425869,67.5185366790956
"24","BRB",31.5741110789198,46.511223292886,63.0746476457697
"25","BRN",38.556437205117,45.2486231714689,57.5830986256049
"26","BTN",41.6974792850014,44.8097181370358,48.249020449937
"27","BWA",18.0391001977524,23.3985917672711,27.3165562049467
"28","CAF",23.6682765296974,28.6665071203308,32.7542050290406
"29","CAN",85.1606206703543,93.442780231728,136.404183149537
"30","CHE",51.7427046626958,65.8111107518626,98.0302755980173
"31","CHL",66.5550905313966,71.0268140088461,80.591946304326
"32","CIV",58.8032243430837,66.5159895264841,72.2988784549171
"33","CMR",62.4399167793798,75.3770432000017,87.0826570246015
"34","COD",48.6652102129646,55.7892791650078,64.0286852333625
"35","COG",97.8988667795204,110.518624095012,123.97718798829
"36","COL",30.4694491368128,36.5667786954554,45.2576397413523
"37","COM",32.6861245966034,38.2611475536951,43.028977460331
"38","CPV",36.10720310918,41.4270005302116,45.0117114185514
"39","CRI",49.6694196559399,57.5396985784196,63.4352817288887
"40","CYP",46.416607613639,59.6995859750753,72.5864325230022
"41","CZE",60.7378272188087,73.0840794392674,83.1506987927629
"42","DEU",104.185056273782,112.277300593083,122.568845010316
"43","DJI",54.2575148251956,65.7058666929504,74.527381898901
"44","DNK",72.5689125294116,79.5117476069287,87.9890349909663
"45","DOM",19.3217989263986,24.2541392195888,30.3704047208119
"46","DZA",19.6802437337579,25.152697024825,33.1724522264786
"47","ECU",25.0275255536406,30.4753008844603,38.9109226863888
"48","EGY",38.8876462004356,45.4601481130244,51.4277410651017
"49","ESP",96.9094897458723,107.732223556304,124.309656753144
"50","EST",85.2580005860125,97.3702175878961,107.027363438853
"51","ETH",125.820488904051,153.122010869545,171.786534004827
"52","FIN",84.9175674839472,91.2590414287382,98.7722948589488
"53","FJI",46.5005100957917,53.7718545147269,63.0775115710791
"54","FRA",99.792023921693,119.408902617846,156.739578979485
"55","FSM",NA,NA,NA
"56","GAB",37.8944532043881,44.6526794574954,49.9240247243326
"57","GBR",70.3321607019456,94.9932044881258,149.257592528964
"58","GEO",86.5228689637075,93.2395133153223,107.733631938413
"59","GHA",59.3884844914642,66.1675504917401,73.4320770607781
"60","GIN",45.1167157394247,52.0251167564133,60.4769251085073
"61","GMB",34.1799638674945,38.1785977492985,42.3698642135176
"62","GNB",215.453557408446,255.847800296721,302.936000847323
"63","GNQ",17.8190696182718,35.9826018124428,44.1886108432506
"64","GRC",107.761535656677,117.317817409934,125.628280813128
"65","GRD",6.7206894562793,9.17346384344988,41.6157617049757
"66","GTM",54.71159264528,62.4475050019637,74.1966618996357
"67","GUY",52.1369322084773,58.8724974225843,63.1178529589988
"68","HND",21.9908436996366,28.4801062898758,31.6702515389391
"69","HRV",93.3392280214289,108.843344618978,119.522337091234
"70","HTI",12.5544406331498,15.3498410956852,18.5168854136449
"71","HUN",58.4905363725821,70.1632672060906,93.8551384529308
"72","IDN",42.1434202935206,50.5454958514678,58.1762191510663
"73","IND",56.7124373794235,64.1952712604113,67.1208684038797
"74","IRL",57.1974849681536,60.8639023100027,63.3332525199969
"75","IRN",25.5355413566159,29.1307242385506,35.2270233744451
"76","IRQ",17.5818584471431,22.3519303006977,27.6867751701156
"77","ISL",80.3411343122851,126.742384636029,160.317080948899
"78","ISR",51.0891752103276,56.720705820589,62.6996089994394
"79","ITA",90.8130771310946,99.6314569933937,109.020962305489
"80","JAM",29.3082820546565,36.1392751808567,42.2638662749408
"81","JOR",47.5741068036993,53.0307026450395,57.049353167665
"82","JPN",27.5838948437564,34.7160401570585,42.3608514189316
"83","KAZ",42.291029638668,46.7655083837093,52.0803647260327
"84","KEN",49.4095195874576,56.7912024670635,62.238624585483
"85","KGZ",20.3289944634684,28.3563543454578,38.9477391221615
"86","KHM",33.4487972989231,35.3168315488844,37.3931224652564
"87","KOR",85.1096368190502,97.8044758970223,111.595829613465
"88","KWT",29.7581808456239,33.4918223593597,38.1476824932118
"89","LAO",46.63499860769,49.3341361128436,52.3754539104721
"90","LBN",66.4538141681271,78.3308744472933,89.2343235067179
"91","LBR",15.6038484996526,17.670727571951,20.1316398665272
"92","LBY",109.047845038001,126.283110184553,144.822637637775
"93","LCA",59.6821250913722,66.4738447952678,76.0492118761608
"94","LKA",57.8217050738249,61.6581914453261,68.4329491716291
"95","LSO",17.1911753185926,19.964820557597,22.7822893321786
"96","LTU",94.5524325979182,104.009939748255,107.820679424017
"97","LUX",46.4162719071215,54.7675712914195,74.0904065558776
"98","LVA",81.1931380230569,95.0819168642266,101.866828011112
"99","MAR",40.2993992292846,46.5968850509008,53.8625274830165
"100","MDA",67.650282423874,77.5044237385324,83.8795083367469
"101","MDG",40.9355153296916,52.122319307548,60.0984567414876
"102","MDV",40.3639821708581,44.8089096918029,52.4681071614863
"103","MEX",34.8356900568504,41.4903703890192,46.5933688896399
"104","MKD",62.6565947257621,74.8313148056919,86.4900961007909
"105","MLI",46.3745957757074,65.8555623411232,79.9940678228384
"106","MLT",72.3779330890229,82.5432235026238,96.8046576143017
"107","MMR",34.3221605942518,40.7733997115715,48.658218382106
"108","MNE",64.8638482889917,76.4465057481965,93.0002382712754
"109","MNG",35.2862546523864,37.8387421721359,40.9988881901079
"110","MOZ",15.3330827706107,19.2762684455487,24.3600896360425
"111","MRT",35.9199318216293,47.1810570916374,56.0769150694475
"112","MUS",54.6256681419525,61.3462760160183,67.5823264111568
"113","MWI",91.336204738325,97.970711452634,102.857139325707
"114","MYS",47.6820246608718,54.091632627931,65.0050993547778
"115","NAM",23.5635575672862,31.5427393471238,37.2864307017514
"116","NER",83.0510071806176,106.21373109706,156.184473744992
"117","NGA",133.635092218399,145.854749255157,154.05626567124
"118","NIC",8.80559677811571,10.6542120214071,12.4389572292611
"119","NLD",69.6782495176061,77.9336961428732,89.1085370656651
"120","NOR",69.2026921887244,76.8569749696584,82.8312672482576
"121","NPL",34.3512916853132,38.946167363357,51.1486377947414
"122","NZL",59.1861236063714,86.0530583941575,109.28336743694
"123","OMN",9.32077683891719,12.3692340980279,22.7373518354161
"124","PAK",31.9127431871227,36.7363082551236,44.4463729019175
"125","PAN",35.8369274131275,44.9256207823986,55.7517413231255
"126","PER",14.468547783849,20.2195533694127,27.1841873815161
"127","PHL",51.9596636165824,62.3860235600389,77.1559185957159
"128","PNG",33.5697426892966,43.1042264471273,54.0697375970917
"129","POL",61.248127610812,67.590296801436,72.599293428246
"130","PRT",117.30711254824,125.423167158417,168.430007057931
"131","PRY",10.7453522415982,13.2954177498155,14.7787125635335
"132","QAT",24.8729793003824,33.6996751230255,43.315714504069
"133","ROU",70.7772028747886,83.4858357450705,93.9453527050163
"134","RUS",89.0015729014488,95.677278257116,102.591407407642
"135","RWA",26.126595278036,30.0581413399839,34.4346501942534
"136","SAU",37.378491849901,41.5895790206037,46.8742516249348
"137","SDN",37.2661289810946,50.4878626100975,64.4526290078453
"138","SEN",53.0347559132749,60.9469995668396,68.24641195315
"139","SGP",134.121706342828,161.383363854791,168.536772667908
"140","SLB",NA,NA,NA
"141","SLE",30.3526262645206,44.9560806843203,54.7835642836397
"142","SLV",35.0621102882947,41.0820289855264,43.6082538684909
"143","SOM",28.1822730505283,32.0817578118596,36.0852124123266
"144","SRB",69.3265583989469,81.7815203799239,95.193577570931
"145","STP",47.8823494820297,57.8487572481945,81.2438485822913
"146","SUR",55.426907101147,63.7205378182318,67.5765318509832
"147","SVK",65.288992267859,77.0551712981954,83.0990079108765
"148","SVN",75.824354699225,84.5221151793322,94.6201502830047
"149","SWE",46.2719387837975,52.3268904695703,60.1052602599643
"150","SWZ",21.5190010718274,25.9755138720153,30.3593735890355
"151","SYC",36.4773729674042,46.791381960112,61.7320586503181
"152","SYR",25.2440302332465,32.358822628527,40.6155584887174
"153","TCD",46.8704028709565,64.2923242441347,78.7142338298294
"154","TGO",45.8025719029292,49.5969201050675,53.988443078279
"155","THA",65.2154247850305,80.5909521535766,94.1086519390971
"156","TJK",22.5361032768774,32.2039479118814,40.5135539224975
"157","TKM",NA,NA,NA
"158","TLS",33.9751412660128,37.3941932912656,39.3325478369172
"159","TTO",51.3372354984524,61.0142459587654,74.4033988157856
"160","TUN",36.5652627728045,42.1978063577414,47.2599672403012
"161","TUR",51.0431780672791,59.5198464781774,65.6283620475723
"162","TZA",28.804684058889,39.1301590379011,46.4755847928493
"163","UGA",98.307280667526,113.628395623158,122.298235557717
"164","UKR",58.0789599745974,68.781699839688,78.4455566505658
"165","URY",88.3108455596091,119.570389636784,147.289891560877
"166","USA",73.400902441435,80.3679471004668,87.4398931266647
"167","UZB",23.3470459602765,32.5291960055762,40.3370678555229
"168","VCT",34.8286320890872,48.1861308954428,88.3171773065935
"169","VNM",59.1853510744082,72.1800999083696,88.4996894035417
"170","VUT",0.0931266467933074,0.583533161610645,30.9142407892777
"171","ZAF",36.8391216635982,45.4406952230143,55.0212312658026
"172","ZMB",39.0999448191211,46.0318644351133,51.2071807490465
"173","ZWE",28.8556886002558,33.0236144444443,37.5446103279885
