"","iso3c","undiscqalys_averted_sum_low","undiscqalys_averted_sum_med","undiscqalys_averted_sum_high"
"136","ROU",973822.673607823,1147815.42767525,1297349.20447903
"137","RUS",10531020.4802854,11286180.8375915,12118780.5999082
"138","RWA",257449.535039267,298183.740238087,342994.043655208
"139","SAU",2090578.95226403,2330490.26950392,2633526.9449026
"140","SDN",109244.102209872,147974.6659338,187572.87894859
"141","SEN",120883.851724121,139037.548775314,155752.370188636
"142","SGP",1935562.29351506,2351607.80135803,2459639.43922944
"143","SLB",294.077845602776,4045.80013793385,17747.7286173946
"144","SLE",25360.6657558265,37966.4112292073,46276.4525757558
"145","SLV",359322.008764088,420111.628541597,446121.407509155
"146","SOM",40367.4953387532,45949.7675121753,51795.2516712261
"147","SRB",566502.614914176,668669.231760563,776701.417747504
"148","SSD",9788.94739258923,14489.6400998763,17530.7843817079
"149","STP",6247.46944573245,7440.34073957708,10708.3984705791
"150","SUR",29839.2638319069,34165.691073333,36254.0542750976
"151","SVK",366069.804944761,431625.945722406,465212.564644574
"152","SVN",191852.439725028,213548.496777391,238307.325577744
"153","SWE",749921.685914736,845715.776992482,968469.713847342
"154","SWZ",13360.478733156,16087.2274947773,18828.3634747231
"155","SYC",6330.02380019902,8127.81032291281,10724.7747290353
"156","SYR",39939.7598098637,51505.2819951181,64003.6851833903
"157","TCD",8580.74665002667,11677.2585485167,14291.9962506335
"158","TGO",82213.6161237124,88633.6347678848,97253.8039624231
"159","THA",6284163.2400896,7743489.69747785,9042451.00808302
"160","TJK",114563.938380275,163833.152906667,206991.539874185
"161","TKM",162864.137169043,237891.549080885,286556.169041658
"162","TLS",52685.5514449419,57473.4178730683,60411.4814305887
"163","TTO",82720.2488834604,98111.5287223069,118686.527578401
"164","TUN",463285.20121645,534320.958351389,602858.569379846
"165","TUR",5950977.36532552,6921074.90640984,7602638.48390126
"166","TZA",75015.6254061873,102636.401816514,121388.134748335
"167","UGA",311565.822939324,351652.977112505,383985.969965979
"168","UKR",1548999.35044884,1830143.93292787,2086785.99688728
"169","URY",578117.339618801,781336.059980526,956370.620827573
"170","USA",31832154.8615037,34825791.7040982,37910600.4684284
"171","UZB",591689.090658622,822040.652048629,1021442.35603007
"172","VCT",1805.30123188356,2468.5806460142,4499.50959097347
"173","VEN",545496.437815579,704490.995453758,998789.776065477
"174","VNM",7774385.21887778,9540785.39923133,11764953.1004686
"175","VUT",7.33423796226614,59.8142176835274,3030.9020724632
"176","YEM",81763.2140691498,94516.1221524756,105712.576079526
"177","ZAF",1251425.02199781,1571934.09932763,1921419.35199088
"178","ZMB",74452.7459307342,86478.9416298901,95806.6996397068
"179","ZWE",184317.884700684,211324.340333391,240488.711345182
