"","income_group","friction_costs_pp_low","friction_costs_pp_med","friction_costs_pp_high"
"1","HIC",557.623187015538,584.660997779603,612.05078476588
"2","UMIC",81.1324594178268,83.5001736176729,85.7026077917744
"3","LMIC",28.7526282934482,29.9387870696526,31.0989114433644
"4","LIC",10.3167160477156,10.711466540898,11.1881615732549
