"","iso3c","averted_deaths_discqalys_low","averted_deaths_discqalys_med","averted_deaths_discqalys_high"
"119","NGA",826984.305082936,902616.46861172,953364.046644643
"120","NIC",38334.1964200345,46383.4652337293,54142.465465828
"121","NLD",1317875.87969633,1473970.27457968,1685324.09039205
"122","NOR",473588.812186771,525983.349150285,566871.418866902
"123","NPL",492318.240378474,558189.620271451,733041.298716401
"124","NZL",357838.586537879,520316.347520056,660775.500786894
"125","OMN",47145.0515030749,62553.215762605,114940.539164784
"126","PAK",2886920.17916282,3322876.69286302,4020337.44868536
"127","PAN",151852.307891067,190359.63487278,236218.157391982
"128","PER",492979.825786635,688937.302618951,926140.481132776
"129","PHL",3223093.5314235,3869381.68703213,4784767.78804247
"130","PNG",12316.6079422639,15813.0699854652,19835.2676541925
"131","POL",1985918.83542331,2191648.80171014,2354047.4822719
"132","PRK",0,0,0
"133","PRT",1605337.45620959,1716397.31750066,2304818.26163441
"134","PRY",51547.0053303161,63788.2618272966,70899.2862620799
"135","QAT",97198.4003344183,131683.911278648,169243.20589708
"136","ROU",746215.566238745,880239.153727796,990413.072420039
"137","RUS",8157359.16844706,8769625.70862637,9403092.69608413
"138","RWA",180048.662558211,207129.93741773,237270.00591669
"139","SAU",1387946.68609645,1544330.3862107,1740537.03719894
"140","SDN",89226.4589556353,120894.616116706,154335.755769607
"141","SEN",87040.3626285124,100024.225976926,112003.222096241
"142","SGP",1300287.04769706,1564472.10781649,1633806.25438812
"143","SLB",204.822562271474,2712.40213995434,11953.6643491328
"144","SLE",18252.3789493094,27029.443746374,32938.243193951
"145","SLV",250387.087253222,293380.402833728,311420.645973424
"146","SOM",30273.8460383745,34461.658457227,38757.9722495766
"147","SRB",433605.649253734,511507.125709603,595402.049291014
"148","SSD",7189.92819348341,10674.8638144334,12946.1565091081
"149","STP",4154.32036227894,5019.25537970113,7047.90254344622
"150","SUR",21814.4965478111,25079.194609097,26596.7845593982
"151","SVK",270321.177671117,319037.175543455,344057.505466588
"152","SVN",134938.230154019,150416.425408189,168392.637481604
"153","SWE",513164.393094233,580319.310156535,666586.750677029
"154","SWZ",10275.35783053,12404.3203415472,14496.9612467003
"155","SYC",4428.45507856331,5680.46027637219,7494.07494544154
"156","SYR",29061.3152797866,37244.9782066689,46756.736893114
"157","TCD",6339.1937881509,8696.1688915483,10648.9558396787
"158","TGO",58656.4767717368,63516.9607892204,69135.0891313784
"159","THA",4350589.91520217,5376352.5428894,6278016.13302243
"160","TJK",76878.7540675597,109852.610042212,138189.895374288
"161","TKM",109780.129751168,161790.028517994,196765.148279968
"162","TLS",36511.6763348663,40187.9650136325,42270.7462707041
"163","TTO",57769.9210283107,68659.3620525881,83730.5890103417
"164","TUN",332962.731111545,384271.698038222,430329.394650386
"165","TUR",4113069.61616212,4796226.68394214,5288560.98972764
"166","TZA",54679.7943293908,74274.7809213845,88220.5831887124
"167","UGA",216913.147693558,250776.148061041,269869.5764823
"168","UKR",1181009.15977272,1398678.61534473,1595175.29541348
"169","URY",398904.194116904,540098.279222352,665337.518991503
"170","USA",22732854.919363,24890795.662055,27080720.4479587
"171","UZB",407093.000594096,567191.355212132,703294.791316494
"172","VCT",1288.86905083371,1783.2090410473,3268.70512666019
"173","VEN",375112.467801866,484494.389874466,682126.7987338
"174","VNM",5432505.42168577,6624966.21209625,8122419.91055663
"175","VUT",6.02264915654083,37.6826028370046,1994.00432153603
"176","YEM",58856.047657981,68753.029073902,77374.9217383156
"177","ZAF",944176.441011783,1164393.833555,1409645.4792154
"178","ZMB",54679.4222523182,64380.4477549818,71619.6995819741
"179","ZWE",133494.820225588,152776.747151262,173687.285042134
