"","income_group","friction_pgdp_low","friction_pgdp_med","friction_pgdp_high"
"1","HIC",0.778495313596309,0.816084062819408,0.854379507337635
"2","UMIC",0.472880932866456,0.486613513147935,0.499343401805167
"3","LMIC",0.325232055950726,0.338472966792743,0.351825091738067
"4","LIC",0.0533390525904935,0.0555409092922342,0.0580508474717489
