"","iso3c","disc_welf_total_low","disc_welf_total_med","disc_welf_total_high"
"141","SEN",87291283.4641927,99712205.5999006,114967164.184671
"142","SGP",77060777906.3204,92097621926.4678,96520182719.1202
"143","SLB",448374.192494833,6240322.61835652,22376751.6084559
"144","SLE",6706488.13552117,8892454.21583813,10653879.5093292
"145","SLV",842207311.369425,978367176.800355,1040694328.85371
"146","SOM",7544923.19704884,8743947.19506858,10253797.0049417
"147","SRB",2784996434.92187,3292516951.62115,3830158424.73905
"148","SSD",3236229.00821119,4249762.11177634,5169930.81828218
"149","STP",5768932.52357671,6913338.0413446,9109867.51627407
"150","SUR",74329119.9770093,85001391.7586262,90245210.8075216
"151","SVK",4769033036.20983,5616576696.12282,6061817319.54941
"152","SVN",3168540755.97162,3543932287.15764,3975035894.05044
"153","SWE",25897760098.7777,29160579777.7952,33267291304.7209
"154","SWZ",22515932.4263749,26738600.4881883,31220277.5859007
"155","SYC",52404216.1768282,67308538.8646696,88871911.9831766
"156","SYR",8724260.98933434,10791984.4495686,13366312.2358392
"157","TCD",2734083.14843235,3770939.55642247,4761123.46629351
"158","TGO",34677519.9971955,37811608.9555236,41435293.5868079
"159","THA",21606197966.4665,26476745534.7291,30737059256.3473
"160","TJK",58165810.8404623,79324727.62119,101241449.777865
"161","TKM",706905841.130306,988320338.351674,1171453032.25891
"162","TLS",50122295.824014,55355147.0083809,58704819.1862654
"163","TTO",791190961.509304,929838667.288894,1127241084.97511
"164","TUN",741836113.662106,858362434.242073,976757847.712419
"165","TUR",28311750270.1463,32833610467.8048,36149505014.1301
"166","TZA",58708748.0330314,76150741.0667999,91412329.3320123
"167","UGA",103984418.181904,120535085.951438,132125358.104922
"168","UKR",2576970488.52434,3049506847.29678,3495004015.19795
"169","URY",5507249382.76522,7344397194.78404,8968825292.05606
"170","USA",1315424146126.24,1444736222496.19,1581881638033.18
"171","UZB",765095082.774254,1014488747.14279,1237327061.50061
"172","VCT",7785723.76489983,10599468.1328453,18415113.4111053
"173","VEN",0,0,0
"174","VNM",10272771155.2697,12229707656.3848,14584268024.2725
"175","VUT",11894.786601984,103955.723364566,7090376.49881648
"176","YEM",19287905.2914324,22357578.7078761,25134838.024294
"177","ZAF",4873621499.48855,6058618885.97889,7396271429.51515
"178","ZMB",35696679.7700833,42400972.7608656,47582688.4300301
"179","ZWE",141046852.215485,163894021.493232,189208902.069795
