"","income_group","y_gained_total_low","y_gained_total_med","y_gained_total_high"
"1","H",14945747682.6533,14945747682.6533,14945747682.6533
"2","L",259443745.260342,259443745.260342,259443745.260342
"3","LM",11630770184.5145,11630770184.5145,11630770184.5145
"4","UM",8396744335.43031,8396744335.43031,8396744335.43031
"5",NA,72213373.2572505,72213373.2572505,72213373.2572505
