"","iso3c","averted_deaths_discmonqalys_low","averted_deaths_discmonqalys_med","averted_deaths_discmonqalys_high"
"126","PAK",1470486652.21121,1692546215.53678,2047806031.61362
"127","PAN",1366015985.05243,1712415884.59426,2124944845.67566
"128","PER",1952024492.98343,2727946294.14345,3667186380.76093
"129","PHL",3930675623.34086,4718846700.0216,5835192160.71236
"130","PNG",11240783.2350985,14431838.1181974,18102706.9430251
"131","POL",25165855677.0774,27772896079.5723,29830836053.8885
"132","PRK",0,0,0
"133","PRT",26975748174.4761,28841974393.0769,38729674420.3459
"134","PRY",178693902.445256,221129692.463737,245780915.138891
"135","QAT",4742434416.96739,6425026655.37799,8257592735.29933
"136","ROU",6486356119.901,7651334118.55422,8609002792.45356
"137","RUS",59242682504.3581,63689257860.2879,68289801104.738
"138","RWA",35815266.9695294,41202272.2112666,47197732.4631369
"139","SAU",26800332750.4283,29819998593.3522,33608619285.3481
"140","SDN",15249630.0562106,20662012.0662194,26377413.2413167
"141","SEN",48684927.4729583,55947287.4442074,62647587.6228359
"142","SGP",70383186650.1858,84683249416.7172,88436234719.4821
"143","SLB",143151.393841471,1895709.84117667,8354468.83446093
"144","SLE",3877612.49970827,5742249.22801457,6997539.54714642
"145","SLV",406857133.167889,476717513.406973,506031331.807063
"146","SOM",3989715.64850892,4541617.13863795,5107817.75769753
"147","SRB",2434568339.78586,2871962244.88937,3343007594.90171
"148","SSD",0,0,0
"149","STP",3435231.99811785,4150451.86298917,5827952.16197075
"150","SUR",63639693.9337456,73163836.970967,77591120.4401235
"151","SVK",4069407598.18436,4802776894.67365,5179432255.43918
"152","SVN",2678174537.5524,2985376643.06146,3342157915.51264
"153","SWE",21347114428.8489,24140690363.3458,27729327745.5516
"154","SWZ",14121120.1765302,17046890.3506918,19922744.8168194
"155","SYC",45118781.3022386,57874685.4961525,76352480.1601144
"156","SYR",4628520.67642691,5931911.54849557,7446824.80433213
"157","TCD",1005265.07972834,1379032.60355184,1688704.24204538
"158","TGO",13227458.4083311,14323532.5969636,15590461.0432075
"159","THA",17809924272.7477,22009068544.4447,25700191029.6163
"160","TJK",24129305.5702655,34478539.9756919,43372531.886755
"161","TKM",448967491.935427,661672230.562402,804709880.775304
"162","TLS",34309637.6159684,37764207.3591742,39721374.9651769
"163","TTO",703666940.2766,836305855.311999,1019881044.10929
"164","TUN",452778898.010604,522551323.968213,585182817.430993
"165","TUR",23243217215.7767,27103781125.6384,29885993507.1611
"166","TZA",22197251.4873037,30151832.344954,35813127.9645992
"167","UGA",45957391.2481745,53131945.5491617,57177270.4617138
"168","UKR",1974152508.14567,2338004640.96646,2666464763.89613
"169","URY",4852264165.68071,6569746733.3432,8093154820.37589
"170","USA",1102462739330.41,1207115202513.75,1313318778217.67
"171","UZB",321799638.144387,448354485.583203,555941784.860454
"172","VCT",6340149.36418655,8771885.4452239,16079274.0869234
"173","VEN",0,0,0
"174","VNM",7043068057.28435,8589055010.00385,10530455430.662
"175","VUT",6549.7580064255,40980.6255054018,2168521.76349069
"176","YEM",7375936.59580957,8616242.56806831,9696752.32295613
"177","ZAF",3747598374.55504,4621679008.74175,5595124891.00601
"178","ZMB",21571375.0634175,25398490.4753559,28254420.7303974
"179","ZWE",80568890.5521692,92206221.9294038,104826478.175075
