"","iso3c","new_welf_low","new_welf_med","new_welf_high"
"1","AFG",85.1009929187132,93.6058778826077,99.5737026535862
"2","AGO",76.129401181586,81.0680583312757,87.5013803347094
"3","ALB",107.702372204852,130.817785081357,145.132345601481
"4","ARE",23.7235599029864,26.4375668874103,30.862730196549
"5","ARG",53.2051714719955,62.504600240114,73.9383999657918
"6","ARM",114.26547922526,129.486467913443,138.072099192134
"7","ATG",91.2808475350973,106.008161574782,158.775845258487
"8","AUS",67.2224591519897,86.4516029889819,137.379318236979
"9","AUT",107.765124452987,115.350592698241,125.725063222183
"10","AZE",113.160338907173,125.701283335124,131.373460230561
"11","BDI",0.388088622687016,1.34209048379485,2.28095305293236
"12","BEL",188.087943844497,282.618794186949,382.292687365806
"13","BEN",29.1261640693565,34.3421667422406,40.374363654866
"14","BFA",72.6378781100357,84.2155231564811,105.369420129843
"15","BGD",60.5685230650359,69.5831733238627,86.1167419094006
"16","BGR",224.633342304982,270.291614729454,295.749738634998
"17","BHR",36.9625136777055,41.2389220125045,50.6452467938838
"18","BHS",102.559768648801,120.264052545707,131.486724316274
"19","BIH",144.099209916133,174.006690808575,200.547686056967
"20","BLR",116.208033327406,133.424448575478,162.505261755509
"21","BLZ",74.6898838733624,93.0642094822492,101.440457722714
"22","BOL",59.416349706566,68.3506950986847,76.2275182173256
"23","BRA",102.846826686528,117.731008473177,125.406390047642
"24","BRB",67.2069920015877,95.4291402275183,126.503831949517
"25","BRN",64.8301412492955,74.5207219184212,93.3451215398497
"26","BTN",78.7590273641958,84.4527232410562,90.1959024728966
"27","BWA",41.3338434598714,53.5067928625557,61.3065725485669
"28","CAF",51.1778082586408,62.2230883926042,71.3753969940054
"29","CAN",135.210271791134,148.523904657893,211.421577152941
"30","CHE",83.742722090647,105.431941249463,155.445580014438
"31","CHL",113.238652952444,120.564661755399,134.946003379176
"32","CIV",107.661636070195,124.107359116046,135.451470930582
"33","CMR",131.831072573786,162.21694401301,190.176376034788
"34","COD",103.474073115829,119.598327145666,138.70759131426
"35","COG",191.129876647467,220.277709398746,248.86757618927
"36","COL",55.1013539723983,66.0113679390283,81.6168104871721
"37","COM",63.2135591599993,73.2280427535619,82.3459501955959
"38","CPV",75.4501514350832,85.7490578636678,92.7771082620565
"39","CRI",83.0544650869201,95.6125585608707,105.221805491841
"40","CYP",105.669005041571,136.504250667418,165.560630186851
"41","CZE",111.577635024069,134.307248966703,153.213837188503
"42","DEU",172.322428684374,185.887874116733,204.919460832243
"43","DJI",120.964931296407,145.964426148204,163.213608096147
"44","DNK",122.853865120769,134.553872535954,149.258986519303
"45","DOM",34.7662681869488,43.1798475251432,53.5087413547582
"46","DZA",45.7212345666902,60.4087446431931,77.1697037742432
"47","ECU",45.1570706945565,54.2014729382746,68.2747891421304
"48","EGY",73.0680346580445,86.44099524311,97.9575934835405
"49","ESP",157.332545356488,175.618687092764,202.467741819471
"50","EST",148.97498400999,170.811710804914,188.46699609883
"51","ETH",287.259862909799,351.769311509161,391.844884480056
"52","FIN",131.060147180363,141.249576599868,150.454700702904
"53","FJI",84.7096903276981,96.0871416512574,110.360962899946
"54","FRA",164.710249265982,196.200885025234,252.578129974063
"55","FSM",NA,NA,NA
"56","GAB",78.5374805557831,92.1014216697291,104.200128977542
"57","GBR",120.411366597811,159.617410301574,248.171924374459
"58","GEO",203.105236847522,221.726320741102,258.02755657415
"59","GHA",119.86428992448,131.554564255858,146.329272867578
"60","GIN",94.5952912403025,109.380561932456,128.532511298832
"61","GMB",68.6059316390396,76.7253405391286,85.3444398287503
"62","GNB",500.253618445157,604.058624172617,710.206904968039
"63","GNQ",28.6280112909129,53.9623550716178,65.1770732143836
"64","GRC",186.425446132463,203.322448046304,217.658471908424
"65","GRD",16.4959330108652,23.1831464507809,98.6381096294341
"66","GTM",111.954944524574,128.18486960713,148.129406634911
"67","GUY",99.1954915601189,112.828589663093,120.639629389827
"68","HND",43.2854650360335,56.0582953676704,61.6762920617215
"69","HRV",180.476315221689,211.086003844472,231.014092536405
"70","HTI",40.5690332993354,48.9182807096694,59.7929126849931
"71","HUN",113.063559121615,130.583643582782,169.216489165634
"72","IDN",81.3348256462984,94.9028818204369,109.549684316017
"73","IND",106.778273759343,122.58062860263,127.237846310417
"74","IRL",98.1638774826015,104.93387130719,109.339953526042
"75","IRN",45.9897227837904,51.943008293545,62.5849942596834
"76","IRQ",37.9470633921935,46.9143565659916,58.36770044526
"77","ISL",125.046295383131,201.913776011313,257.513715687158
"78","ISR",82.7345543813051,91.8507088028459,101.626333467472
"79","ITA",152.568963240504,168.592634186509,186.772655336341
"80","JAM",63.4342464277077,77.2128446751522,88.8034385504757
"81","JOR",77.2386132204466,86.0459878828004,92.7512912432413
"82","JPN",44.4512738868479,55.4167739425763,67.2664248245649
"83","KAZ",78.1916651936091,87.0312782525273,97.332172234252
"84","KEN",111.075726060921,129.838566867947,141.052603631174
"85","KGZ",41.2851214849608,55.6697869105458,73.5700271506832
"86","KHM",81.7015524084727,86.5897958362537,91.8009351194614
"87","KOR",130.074069202261,149.80163600885,172.261733746612
"88","KWT",44.5414697970669,50.060729525081,56.8532243442608
"89","LAO",82.6354102745816,87.22250200956,92.693271292655
"90","LBN",148.865762347417,172.174690895031,194.067239649167
"91","LBR",32.8251909045772,37.4704893393206,42.8944342249587
"92","LBY",165.440952736821,189.266128952906,216.865283293717
"93","LCA",115.258385545333,128.767052890139,147.237080594827
"94","LKA",99.0862447497871,105.651733541394,117.722144636676
"95","LSO",38.0387440949412,44.4732162273194,50.3610905109155
"96","LTU",174.376891218798,192.444568808695,200.056616864609
"97","LUX",73.4768420314078,87.4154846087165,115.150382402486
"98","LVA",150.011597151509,177.954119615002,191.971415915711
"99","MAR",71.1552063714145,81.2023283323512,92.8797129234923
"100","MDA",197.756354047498,230.943714255901,251.995270074277
"101","MDG",96.1506243646472,121.628534644459,139.438971949511
"102","MDV",70.8757930745739,77.9883698912211,89.1859378037943
"103","MEX",61.6390282791995,73.5413451195322,82.5547273317919
"104","MKD",148.070189449809,176.043232227675,203.340931253919
"105","MLI",93.791153184159,130.603885316829,159.746236850928
"106","MLT",113.368020207605,129.70902808911,150.575085781604
"107","MMR",71.8985754879781,82.5430481352008,96.377463414059
"108","MNE",125.551274599576,148.871974151061,182.929439957349
"109","MNG",60.4937844764882,64.8298440602966,70.1522348986028
"110","MOZ",35.1940141441512,43.7916844312131,54.6158383620867
"111","MRT",70.5048923175223,90.3530543246493,106.801596933417
"112","MUS",95.156040044983,106.639089414736,117.278123727707
"113","MWI",193.94226902173,209.956379595115,222.603650345647
"114","MYS",80.3957190650308,89.1485361957719,104.97488180762
"115","NAM",56.333585572086,74.5649564030563,88.0159472600036
"116","NER",183.011607396042,228.597813535806,308.565275452418
"117","NGA",264.52134925583,291.900949021605,310.662970171813
"118","NIC",18.3578391985449,22.2400317443623,25.2893164078258
"119","NLD",116.284902551575,129.714238885551,147.675921552552
"120","NOR",114.913177404007,128.464177399092,138.234982766872
"121","NPL",70.6256423853896,80.729098960336,106.154971737747
"122","NZL",83.3300613356885,123.153732176503,156.657489303265
"123","OMN",21.547991237116,27.8587493597913,46.7369483861188
"124","PAK",60.4474248771837,68.5807735408816,83.9726088007532
"125","PAN",61.5179768797205,76.5660773422866,93.2140841560199
"126","PER",27.3454499042113,37.5136880446368,49.421469824396
"127","PHL",103.778550893484,121.473934903768,143.574620869145
"128","PNG",67.7559576684624,85.8705173318186,105.875003606427
"129","POL",112.586038756993,125.041971365964,134.516283074187
"130","PRT",198.8076339907,213.334235585557,281.093140952198
"131","PRY",25.0257977294138,31.6554293178807,35.0009144721314
"132","QAT",42.9688853846624,57.0213341351507,70.9219296665712
"133","ROU",149.007135012854,177.126107405715,198.678307156455
"134","RUS",173.869512505514,188.24137831881,201.257964133176
"135","RWA",49.5664287107962,56.1843807542325,63.7693031506339
"136","SAU",66.1326168545571,73.8825118314819,82.9505147267846
"137","SDN",100.295585400957,136.239348167656,176.720857036463
"138","SEN",113.390468118071,130.279520361552,146.28399288776
"139","SGP",222.599776195048,261.963098045117,272.748754156394
"140","SLB",NA,NA,NA
"141","SLE",110.026768886106,158.194242156294,191.297771672604
"142","SLV",65.1834363824591,76.6026282511204,81.3830021741695
"143","SOM",61.7435268566848,70.2273338649498,79.2667839090839
"144","SRB",177.311182107924,207.484665593616,244.419716729728
"145","SSD",NA,NA,NA
"146","STP",89.8639367114688,109.84011455178,146.471759080137
"147","SUR",104.906960697195,121.630597629863,128.75530701107
"148","SVK",119.273732698441,140.274953565838,151.354206596556
"149","SVN",120.653701708604,135.045311916374,151.949303413528
"150","SWE",73.3245111157879,82.8784675417449,95.5267420078089
"151","SWZ",47.3559476376401,55.9510363249521,65.3527948182893
"152","SYC",75.1736230627483,96.093233809309,126.012276649186
"153","SYR",78.436681744855,99.1859437190271,125.313209126986
"154","TCD",118.936966166984,165.635930176043,210.612778418373
"155","TGO",87.0446161382082,93.7868120512365,101.006037664382
"156","THA",105.893796892946,129.449322231835,151.202678518799
"157","TJK",41.7982892571202,58.2351348377874,72.6570451084275
"158","TKM",NA,NA,NA
"159","TLS",64.6043702299575,71.9259025638582,75.8931197019573
"160","TTO",88.7940939736955,105.375291508498,130.374358480896
"161","TUN",69.29893274731,80.0431431513951,88.0334503188665
"162","TUR",91.959169726192,107.60162200275,119.534051159109
"163","TZA",67.9366177161696,90.5194078649352,108.36633523919
"164","UGA",205.688890215673,249.580593918588,264.960104663706
"165","UKR",122.010004971934,145.514440352611,166.739178463836
"166","URY",156.093766284636,210.737661926258,262.235037422146
"167","USA",130.095072130309,142.448341840249,155.023251006128
"168","UZB",47.8617290721061,66.0035362370234,80.8560685233474
"169","VCT",70.4311586608483,100.737920320697,185.288204767482
"170","VNM",106.097327227468,127.91887325748,154.450493798054
"171","VUT",0.27908374036095,1.39522838393859,55.4390050703707
"172","YEM",NA,NA,NA
"173","ZAF",73.4588223123411,86.960658336637,100.705088771795
"174","ZMB",91.1692576684965,109.410949977752,121.506512204518
"175","ZWE",54.5099274296773,62.6652908823441,72.7509082668116
