"","iso3c","vsly_disc_pgdp_low","vsly_disc_pgdp_med","vsly_disc_pgdp_high"
"1","AFG",3.04926312903421,3.28981430231034,3.47174051046858
"2","AGO",3.60048336595219,3.8514664115301,4.19376813009984
"3","ALB",18.7446935341401,22.8478667666543,25.4190535512347
"4","ARE",15.4878743922153,17.1479730314154,20.1829280843714
"5","ARG",18.8890507524957,22.0813105877274,25.9342590506979
"6","ARM",9.97322758869164,11.319982415759,12.2277839766913
"7","ATG",30.0976846159768,34.9450379318923,54.7150912478905
"8","AUS",32.7630570615049,41.5663521248911,66.4033564410569
"9","AUT",39.9848744899221,42.4506082272138,46.1996470483826
"10","AZE",26.028776411916,28.9634395181841,30.3987229707583
"11","BDI",1.787384180051e-05,7.27225115114395e-05,0.000123221639206202
"12","BEL",82.1643215593401,127.404844150671,170.807172160364
"13","BEN",0.870373686212251,1.02823236335199,1.2022795318652
"14","BFA",0.457987065568351,0.518588964449738,0.645652617916944
"15","BGD",7.43879071296891,8.6482652477393,10.7121555168883
"16","BGR",27.5055681928985,32.82084933284,35.8059037999889
"17","BHR",14.6611535380489,16.4672163193211,20.0506462637778
"18","BHS",21.1861332582222,24.9723366483479,27.4182707026242
"19","BIH",17.818149405589,21.2961960707841,24.3209463636081
"20","BLR",18.226564258248,21.1377056887365,25.639029441174
"21","BLZ",21.1286511581297,26.3650488994082,29.0151548404076
"22","BOL",10.6765492884415,12.2535217539406,13.451235568449
"23","BRA",36.3832804517783,41.4816512561127,44.243239901957
"24","BRB",15.5326574893945,22.8808627110797,31.0291205252674
"25","BRN",30.6570917796954,35.9781995959023,45.7856188872694
"26","BTN",30.0398680690147,32.2819998745219,34.759756072273
"27","BWA",5.37012755990745,6.96561475544673,8.13196831936343
"28","CAF",1.5898743578323,1.92562160333241,2.20020543623076
"29","CAN",64.3840715640991,70.6456411687744,103.125794767716
"30","CHE",33.9028498359495,43.1207494834731,64.2313874901175
"31","CHL",55.3866969672644,59.1080350525918,67.068073566124
"32","CIV",2.80503310008014,3.17294764684646,3.44880318095289
"33","CMR",1.39174927832374,1.68011027058934,1.94102156632801
"34","COD",0.0307715587580337,0.0352761875348283,0.0404860564916078
"35","COG",2.18206323410724,2.4633444109722,2.76332170817162
"36","COL",15.2044218046231,18.2470226102738,22.5838098161683
"37","COM",9.55360949433219,11.1830957950583,12.5766530192797
"38","CPV",17.4465682981858,20.01703072802,21.749120116211
"39","CRI",32.1528320179867,37.2475514224428,41.0639780285555
"40","CUB",NA,NA,NA
"41","CYP",41.0186793558783,52.7569398257953,64.1451358537726
"42","CZE",37.271385232544,44.8475851685267,51.0249027495765
"43","DEU",72.1857653142035,77.7925660415866,84.9231760982808
"44","DJI",3.1458784159941,3.8096597033514,4.3211356596714
"45","DNK",55.1188821705764,60.392232634693,66.8310586851386
"46","DOM",9.70420803970286,12.1814337116009,15.2532756801474
"47","DZA",2.37145697284858,3.03088414718932,3.99725959714765
"48","ECU",16.4064668517753,19.9776846771033,25.5075461558511
"49","EGY",5.8819616432202,6.87608723134606,7.77871714794094
"50","ERI",NA,NA,NA
"51","ESP",77.0204095977342,85.6219551556831,98.7971426244012
"52","EST",51.0709305659476,58.3263457674668,64.111133374841
"53","ETH",1.4566775222066,1.77275889906003,1.9888460526762
"54","FIN",62.3261757480707,66.9805697833164,72.4950041648667
"55","FJI",29.829933039559,34.4944779376167,40.4640280846636
"56","FRA",67.977122236061,81.3399032341173,106.769109401749
"57","FSM",8.1868136510681e-05,0.0102107346650919,2.31125951564726
"58","GAB",2.42731114319584,2.86020610552522,3.19785961478195
"59","GBR",48.7242916524459,65.8088213739725,103.401778036402
"60","GEO",24.1978167317077,26.0762580157179,30.1298224701778
"61","GHA",2.36639917958316,2.636518485687,2.92598149960685
"62","GIN",2.61022399345196,3.0099089837132,3.49888768234254
"63","GMB",2.9340088629822,3.27725168484461,3.63703009189066
"64","GNB",2.10065961108464,2.49450112187892,2.9536083292284
"65","GNQ",1.94735719533646,3.93235898660703,4.82915276279575
"66","GRC",68.7575392951334,74.8549507152742,80.1574643675144
