"","income_group","mean_friction_costs_pgdp_low","mean_friction_costs_pgdp_med","mean_friction_costs_pgdp_high"
"1","H",0.00663687492961939,0.00683235314556044,0.00705455986031612
"2","UM",0.00277819321471482,0.00284255483972873,0.00292656482129727
"3","LM",0.00207749181781412,0.00213421921378285,0.00220161636490823
"4","L",0.000447572798253964,0.000467751464695828,0.000485475741565166
