"","income_group","vsly_pgdp_low","vsly_pgdp_med","vsly_pgdp_high"
"1","HIC",9.88246122192355,10.2558995549212,10.8146025403054
"2","UMIC",30.521775633701,31.6903588808557,32.623347173836
"3","LMIC",56.1875584950286,59.9336419391012,62.0630916319272
"4","LIC",24.1928111859661,25.3973322362142,26.453680497171
