"","iso3c","del_cost_total_low","del_cost_total_med","del_cost_total_high"
"113","MRT",128099062.932,128099062.932,128099062.932
"114","MUS",168707650.3287,168707650.3287,168707650.3287
"115","MWI",114431373.51945,114431373.51945,114431373.51945
"116","MYS",4757714317.8054,4757714317.8054,4757714317.8054
"117","NAM",57536501.9039999,57536501.9039999,57536501.9039999
"118","NER",107343117.0102,107343117.0102,107343117.0102
"119","NGA",707953429.217581,707953429.217581,707953429.217581
"120","NIC",466269895.7454,466269895.7454,466269895.7454
"121","NLD",2282745477.7806,2282745477.7806,2282745477.7806
"122","NOR",725298751.0686,725298751.0686,725298751.0686
"123","NPL",1643936585.2104,1643936585.2104,1643936585.2104
"124","NZL",660627596.5146,660627596.5146,660627596.5146
"125","OMN",527099905.5558,527099905.5558,527099905.5558
"126","PAK",10087136652.0474,10087136652.0474,10087136652.0474
"127","PAN",453507573.9312,453507573.9312,453507573.9312
"128","PER",3652189168.6974,3652189168.6974,3652189168.6974
"129","PHL",7361350463.262,7361350463.262,7361350463.262
"130","PNG",38662161.48321,38662161.48321,38662161.48321
"131","POL",3892201628.1075,3892201628.1075,3892201628.1075
"132","PRK",0,0,0
"133","PRT",1706693207.8683,1706693207.8683,1706693207.8683
"134","PRY",512791104.591,512791104.591,512791104.591
"135","QAT",411547608.654,411547608.654,411547608.654
"136","ROU",1328635117.1844,1328635117.1844,1328635117.1844
"137","RUS",11235435701.616,11235435701.616,11235435701.616
"138","RWA",772329860.902799,772329860.902799,772329860.902799
"139","SAU",4224109219.9647,4224109219.9647,4224109219.9647
"140","SDN",227544819.15825,227544819.15825,227544819.15825
"141","SEN",171565171.7913,171565171.7913,171565171.7913
"142","SGP",941677644.657299,941677644.657299,941677644.657299
"143","SLB",0,0,0
"144","SLE",68037619.5414,68037619.5414,68037619.5414
"145","SLV",769862114.952299,769862114.952299,769862114.952299
"146","SOM",121161637.18212,121161637.18212,121161637.18212
"147","SRB",756772449.021,756772449.021,756772449.021
"148","SSD",32317526.93319,32317526.93319,32317526.93319
