"","iso3c","lghat_total_low","lghat_total_med","lghat_total_high"
"138","RWA",179385.116271878,206379.098455376,236428.193690837
"139","SAU",1383725.69774823,1539617.20768283,1735252.10157217
"140","SDN",88737.8796394305,120221.391328833,153474.208127293
"141","SEN",86686.0568382282,99618.7307283921,111549.723265439
"142","SGP",1296289.46150218,1559774.02563015,1628911.89086546
"143","SLB",203.936723879318,2702.26444078702,11911.9877313752
"144","SLE",18176.5655414342,26921.793848189,32806.9485031324
"145","SLV",249500.35394963,292337.816765116,310314.316105101
"146","SOM",30127.881556582,34296.5735144822,38576.4130364318
"147","SRB",431739.704614213,509304.518602296,592829.761216997
"148","SSD",7155.86504993774,10624.2126783586,12884.7774269535
"149","STP",4139.70920467921,5001.36345543111,7024.00595288038
"150","SUR",21726.3984375457,24977.3596561543,26488.8432858556
"151","SVK",269274.7445901,317802.601172671,342729.506975522
"152","SVN",134463.798337501,149888.049764687,167795.490733639
"153","SWE",511394.733181699,578313.701419488,664279.784710988
"154","SWZ",10226.4499540361,12344.3133701176,14427.649945639
"155","SYC",4412.04626416058,5659.55618998389,7466.67527265355
"156","SYR",28928.7491481819,37082.0448994044,46543.966719149
"157","TCD",6306.66820540127,8650.88269623313,10591.4292474477
"158","TGO",58429.0804115746,63269.4259861006,68871.5709808152
"159","THA",4335709.74429244,5357919.19942034,6256614.91249272
"160","TJK",76597.0363093631,109456.676569376,137699.855325338
"161","TKM",109420.01547225,161258.43510255,196112.846855383
"162","TLS",36377.3879238255,40038.1874737241,42113.5953341064
"163","TTO",57572.1796213515,68424.4699523265,83439.7450402369
"164","TUN",331705.016298299,382801.133759595,428722.974072555
"165","TUR",4098572.14286664,4779216.2235983,5269706.68079493
"166","TZA",54442.2459017627,73957.8929649493,87841.1028757561
"167","UGA",216083.302442967,249759.720855127,268816.37293614
"168","UKR",1175540.86892016,1392168.51043334,1587768.75254422
"169","URY",397440.224065555,538122.833585285,662873.593085836
"170","USA",22649394.7071347,24799223.104007,26981421.027564
"171","UZB",405638.593130197,565172.027579377,700828.339643097
"172","VCT",1283.87846833975,1776.27234314045,3255.61228010465
"173","VEN",373779.87262558,482800.352853567,679797.261027411
"174","VNM",5412346.82412089,6600682.89554705,8093067.02053272
"175","VUT",5.98611781004934,37.5091165821179,1987.14646929764
"176","YEM",58599.857066019,68444.5118647141,77026.7251983326
"177","ZAF",940186.401064225,1159710.70357515,1404219.51094001
"178","ZMB",54421.3371444246,64069.5434584008,71272.817919593
"179","ZWE",132939.481253803,152141.30683858,172969.742293196
