"","iso3c","undiscmonqalys_averted_sum_low","undiscmonqalys_averted_sum_med","undiscmonqalys_averted_sum_high"
"119","NGA",852214063.654962,927850413.938537,981026853.977517
"120","NIC",41667543.1886025,50268037.4408934,59146320.2938668
"121","NLD",78289865281.5353,87527611961.9507,99807562556.0793
"122","NOR",44703116015.2957,49410900914.9259,53184918462.215
"123","NPL",310779009.882188,351960460.955669,464049606.995774
"124","NZL",19160839103.939,27344438043.3844,34456277478.684
"125","OMN",939688263.846305,1287216425.78772,2516567833.83171
"126","PAK",2101728671.7453,2446487354.51188,2963245884.52314
"127","PAN",2105816151.67865,2635164920.49079,3280384773.92336
"128","PER",2926473551.16142,4075467086.54215,5548429394.37317
"129","PHL",5580243204.68551,6746298783.50241,8440188995.1282
"130","PNG",16086543.3078913,20665985.222626,25996517.8530125
"131","POL",35789902077.0009,39305388297.1635,42220577611.2679
"132","PRK",0,0,0
"133","PRT",38062014518.2491,40685129563.6454,54634838952.0193
"134","PRY",242080862.666057,297106626.944119,329917896.655727
"135","QAT",7854805592.95704,10731137201.0998,13877385231.7473
"136","ROU",8584556728.16026,10119587208.873,11437297301.7501
"137","RUS",77384551696.646,82908385153.6201,89046413652.6843
"138","RWA",53316588.3128665,61837420.7328458,71114432.1794618
"139","SAU",41642057069.2539,46498297254.449,52680218236.8965
"140","SDN",18944802.8403291,25629556.0260446,32431645.6757685
"141","SEN",70697017.7472839,80879525.0947791,90596584.3569748
"142","SGP",106447107954.438,128989706923.138,134861292379.864
"143","SLB",237687.47733327,3239166.35840991,13649930.4991133
"144","SLE",5684596.04226952,8461013.16037087,10284330.1920583
"145","SLV",599169263.790002,700076650.716381,743592966.233204
"146","SOM",5564230.88388666,6376519.96271995,7160260.71186701
"147","SRB",3233277810.82376,3817519703.92561,4433798592.70467
"148","SSD",0,0,0
"149","STP",5412987.94210019,6417798.67065056,9183016.6695361
"150","SUR",88620637.2707174,101233965.93708,107449986.93337
"151","SVK",5601239479.6712,6601935286.06353,7113878645.61141
"152","SVN",3876894651.33477,4313684236.27334,4814962586.24612
"153","SWE",31923879181.4454,35949486679.1001,41143530473.2943
"154","SWZ",18999487.4147492,22802071.9673716,26704823.1728166
"155","SYC",66978983.0179624,85813749.9016528,113118545.491225
"156","SYR",6573979.6459303,8462534.7557821,10502941.3235031
"157","TCD",1423451.04364841,1931747.00009206,2372439.57215095
"158","TGO",19314935.6191399,20806564.7206549,22842607.984385
"159","THA",26380432718.2745,32428931955.7016,37820468556.2463
"160","TJK",38270275.1849477,54636297.6624959,69178369.7146048
"161","TKM",700973715.202278,1013502237.76661,1216954651.54044
"162","TLS",51003441.6859764,55429590.4499687,58237001.4859511
"163","TTO",1030537406.71185,1219758898.22985,1472851796.06915
"164","TUN",644660424.292291,743737230.456698,840059961.708946
"165","TUR",34320841681.0901,39890457728.8707,43786721105.0266
"166","TZA",31612773.3607434,43150444.4304628,51260836.4911617
"167","UGA",68815432.148958,77347410.1935766,84516166.2428171
"168","UKR",2628646776.07606,3106925584.09747,3543057664.67486
"169","URY",7158126130.52086,9653620759.91051,11799140177.6448
"170","USA",1581004570825.1,1730454288832.4,1882861089055.62
"171","UZB",483755845.263736,669557393.519283,832392892.72314
"172","VCT",9114822.95769269,12422907.5170762,22457699.7669678
"173","VEN",0,0,0
"174","VNM",10362276473.1532,12683133144.4356,15592972065.3277
"175","VUT",8387.99655699,78116.4215458922,3792416.93255371
"176","YEM",10643198.8341579,12289196.7953435,13710740.7141203
"177","ZAF",5119933904.06264,6430368625.52152,7806404055.19329
"178","ZMB",30360049.5172406,35075575.9887966,38834472.6924704
"179","ZWE",116270632.503722,133504483.700555,151416635.297938
