"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"117","NAM",5392129.80705743,6422525.6220361,7866501.7282222
"118","NER",6798982.81797379,7828378.36496974,8911125.98086658
"119","NGA",218169702.447095,237322481.260821,263370382.20321
"120","NIC",8908883.5015771,11204071.8338385,14136594.0224056
"121","NLD",5698783782.13182,6045766925.41753,6584099908.79871
"122","NOR",3385051286.48305,3693325050.23589,4008986482.83732
"123","NPL",68833815.5549093,77852292.8388495,91359754.6132196
"124","NZL",2445660863.16322,2759907996.40843,2947017553.23403
"125","OMN",149235790.417972,342197642.21455,821081123.809497
"126","PAK",522466704.925441,656341610.806937,811456534.716736
"127","PAN",317253359.388457,383306217.757537,457070162.724444
"128","PER",417942629.386552,623476168.737378,812886209.569014
"129","PHL",797314969.325708,891981394.862347,994642626.136765
"130","PNG",4598540.02205998,5560533.01404103,6953878.24091209
"131","POL",2307651172.16005,2540773644.82356,2747864314.71508
"132","PRK",0,0,0
"133","PRT",2215956994.33602,2388418873.37061,2602733239.61909
"134","PRY",16886556.4896978,20214412.04717,23202448.1657424
"135","QAT",1219441297.01779,1680507793.8603,2188458923.3237
"136","ROU",448512427.313144,523235256.331546,603114446.651557
"137","RUS",3218643961.62525,3442941263.54625,3860221630.30932
"138","RWA",22227500.5431157,26544229.3774648,33048873.179559
"139","SAU",4211395149.83517,5182007528.59908,6097762510.24305
"140","SDN",2196595.80282964,3008162.24207481,3621729.35064685
"141","SEN",21956849.6281322,25190819.5095059,31436743.0775737
"142","SGP",5489824835.94517,5977628589.31335,6081450452.40905
"143","SLB",206603.130451689,3495353.8495544,11567763.2381576
"144","SLE",1951187.54022047,2459299.40755596,3037484.03148773
"145","SLV",112053660.704056,122842086.605164,132753914.477303
"146","SOM",2754744.48434387,3295129.11880098,4139841.53719566
"147","SRB",195978489.048864,245945782.639149,282719888.98307
"148","SSD",0,0,0
"149","STP",1707219.95068914,2026828.09858394,2428245.92056699
"150","SUR",6021005.62013484,6532999.24467843,7017729.17257063
"151","SVK",305284321.51438,356677313.94821,389536531.208105
"152","SVN",236363530.966301,272583836.978934,310016385.358434
"153","SWE",2666735436.35271,2944866138.48318,3250070354.43969
"154","SWZ",4516444.70472009,5215235.57134238,6150953.80812687
"155","SYC",7511516.37449974,9403362.36370115,12426879.533763
"156","SYR",1420843.09897338,1721228.49217499,2067843.26145933
"157","TCD",675346.850633649,910716.108779936,1240622.11192185
"158","TGO",8355306.22634469,9359142.31229206,10613239.7717663
"159","THA",2655503368.23438,3104204627.41886,3468702177.16784
"160","TJK",18386703.4654349,24611586.5928852,33380378.7677448
"161","TKM",178719884.747108,213964660.059071,232869468.343371
"162","TLS",9397715.63611184,10540380.0807568,11630463.2876994
"163","TTO",73279989.1651626,79641566.4531064,90381290.2736269
"164","TUN",99367576.2133208,119690999.319381,151902083.327094
