"","iso3c","hccosts_pp_low","hccosts_pp_med","hccosts_pp_high"
"1","AFG",5.9848137702685,6.53288267409853,6.91294653312715
"2","AGO",9.64579563401622,10.3091386395354,11.1983756381166
"3","ALB",27.8145576366369,33.3804621569693,36.1596397862909
"4","ARE",70.1446986447699,85.4478176915602,93.0967362335092
"5","ARG",22.8813858418829,26.673892102701,31.0153847765221
"6","ARM",22.4114382211209,25.3475073985678,27.5777041552776
"7","ATG",67.7589601858572,75.9298995238165,83.5827163329906
"8","AUS",169.7879178346,194.014231428802,211.383025734513
"9","AUT",234.362568865156,252.395073795725,283.759558219243
"10","AZE",32.0209981109972,35.4611879955275,37.2343248981196
"11","BDI",0.0799162716891366,0.125510968045734,0.211173894902282
"12","BEL",217.625249259305,275.7969032731,329.204634807112
"13","BEN",2.86178950218395,3.37762282704083,4.01104630309792
"14","BFA",6.9307265682749,7.9712433067931,10.1398594570013
"15","BGD",4.70168206962608,5.39197416020875,6.71840315351182
"16","BGR",85.0277607452097,100.899199344814,110.449579975929
"17","BHR",31.3330889896663,36.3875281891269,44.3663654317888
"18","BHS",135.911159335812,157.861390363168,170.969710076782
"19","BIH",36.4439700267854,44.0049486430188,50.5125034950389
"20","BLR",39.0002068832955,43.8173883463955,52.8359140784596
"21","BLZ",13.8529209240067,17.0468381229237,18.2989198752641
"22","BOL",6.53298814387806,7.52138284206575,8.26992473494533
"23","BRA",30.0309043306296,33.5517120150472,35.8203293222728
"24","BRB",80.2656749645445,102.585409455024,124.725905527769
"25","BRN",127.487640750141,174.359017534266,207.174598070455
"26","BTN",9.15789114209804,10.3556413814956,11.0493292590456
"27","BWA",14.2591980386629,18.146311858131,20.5690917990222
"28","CAF",3.57929976498275,4.34853352329743,5.06422687447964
"29","CAN",230.122887806139,275.826945458299,285.862573269812
"30","CHE",227.364451015361,261.574398130795,333.222569203824
"31","CHL",93.3295556511544,100.03599121265,104.162694705023
"32","CIV",10.314910339339,11.8578410440331,12.8892249086243
"33","CMR",11.0016943232694,13.333844184272,15.540612959184
"34","COD",8.81897765019124,10.2572306426659,11.8840991793501
"35","COG",21.9759063849145,25.1659356085666,28.2849889547984
"36","COL",16.3341198596196,19.0395817387116,23.0877596434143
"37","COM",4.65598073855869,5.36007261231908,6.0353722411318
"38","CPV",7.71417840192245,8.58539334166996,9.1717806597193
"39","CRI",26.5520072864488,29.6404249333502,31.7963328867947
"40","CYP",128.981646053474,154.093390975784,175.309324526357
"41","CZE",135.581049158474,154.145029712313,171.026311081915
"42","DEU",290.764556500882,307.659076969301,333.141506856835
"43","DNK",253.902289374209,268.95079965847,290.676102025659
"44","DOM",15.1643720192129,17.8529730130049,20.5567125042077
"45","DZA",18.2099888952124,21.6013108767152,26.875674576855
"46","ECU",12.8065881184974,14.856799889114,17.3004565731279
"47","EGY",8.49089287430149,10.0282951082391,11.35630080486
"48","ESP",204.890044456272,241.112184602048,251.404362642972
"49","EST",128.257805702995,143.765258877334,157.280953719033
"50","ETH",26.5298157550171,30.9347735407124,33.523344081075
"51","FIN",180.717012452028,221.135645989504,236.920803664238
"52","FJI",13.3869024850013,15.7436788609765,17.8336531796309
"53","FRA",255.71683665294,273.214018517791,298.100602970817
"54","FSM",NA,NA,NA
"55","GAB",35.603830261556,40.4024196477793,44.6888912007432
"56","GBR",159.466389991754,193.066546207781,230.207609897317
"57","GEO",40.7639240056596,44.3668532235763,51.600785101054
"58","GHA",11.8808328554301,12.6020440272876,13.8840663332743
"59","GIN",9.0619142383104,10.4111589719665,12.1241154195785
"60","GMB",6.26607679533761,6.96024724663168,7.68048380382116
"61","GNB",38.0397930339449,45.5963577703182,54.4666427532574
"62","GNQ",34.325964042874,44.5032132933146,47.9448304005504
"63","GRC",220.584058814623,240.708301896742,259.588629787184
"64","GRD",5.3830897056385,7.49188708738734,11.4633315923224
"65","GTM",16.0048261672903,19.7068009212143,22.2853410255935
"66","GUY",22.6590467206145,25.7445009707746,27.3103841385585
"67","HND",4.8978202893019,6.04363000885341,6.50177381442205
"68","HRV",128.347535344613,149.252340750663,162.754460403389
"69","HTI",4.54709562489442,5.53816495205909,6.89066849316527
"70","HUN",113.431847013162,122.260049234816,152.345219457435
"71","IDN",9.64394133070696,11.2407321866165,12.8213096527893
"72","IND",10.8329580948341,12.3395226666296,12.7963118895686
"73","IRL",270.545677820925,283.651393179925,295.744121517124
"74","IRQ",12.0662838369154,14.1419888741973,17.3743826617907
"75","ISL",213.531399027026,287.930171152537,312.422840609011
"76","ISR",121.140871644056,131.717000128244,139.921706848565
"77","ITA",220.447328028397,254.648216288346,283.690769508691
"78","JAM",14.4269224537004,16.5279366371123,18.3661862160923
"79","JOR",15.9824086253376,17.6880799613029,19.1018326291941
"80","JPN",76.7907637343785,92.1457045868848,107.156207408467
"81","KAZ",37.0804378822329,40.7889337670992,45.2493770254449
"82","KEN",10.6037070263893,12.3351530368087,13.2978158177091
"83","KGZ",5.09758043228873,6.05798020366266,7.17943497032734
"84","KHM",4.88080770372942,5.22032659095915,5.55661380374412
"85","KOR",184.006633052857,204.058834907735,228.264815903595
"86","KWT",72.0457901695981,79.986736196095,92.8138909551419
"87","LAO",8.08245597134848,8.54032084778692,9.03994302770832
"88","LBN",30.4320727403187,34.5654923293042,39.3353968956609
"89","LBR",2.6785539965351,3.08582345499732,3.52044679765236
"90","LBY",48.7654611297849,52.0645777077205,58.035530823424
"91","LCA",36.678005200858,40.3947446894633,46.1311584605229
