"","iso3c","health_costs_total_low","health_costs_total_med","health_costs_total_high"
"122","PAK",241509603.638727,292724409.580286,347354855.259266
"123","PER",186824071.760115,247303838.883981,318640386.026414
"124","PHL",228829182.4458,315139557.472839,383530750.690357
"125","PNG",1908807.70787058,2245101.03624816,2684793.14719275
"126","POL",4527542791.14948,4983215318.44042,5307993900.67971
"127","PRT",3249364235.33497,4116745791.0054,4748471902.59243
"128","PRY",15506343.508606,19394539.3502433,21303495.4417053
"129","QAT",884162427.65473,1143040817.77009,1289879460.49338
"130","ROU",489564276.448236,579544562.353022,638436847.880948
"131","RUS",4483352934.73734,4835230964.33315,5235687267.02163
"132","RWA",16958996.793979,19358329.2155298,22007256.4387425
"133","SAU",2985728122.31857,3408289044.61205,3861900511.35453
"134","SDN",10910294.8934327,14567529.1272653,19014410.856029
"135","SEN",11138731.9003346,12278950.106291,13869672.0332716
"136","SGP",3135645895.64542,3820044808.79226,5063638957.90474
"137","SLB",61183.5919859662,436608.519652221,844538.127423213
"138","SLE",2248187.39478848,2761978.62992378,3155825.66091676
"139","SLV",30556043.3388511,35717923.6664658,37938678.2458544
"140","SRB",174121945.4407,200196420.805981,232646402.35904
"141","SSD",3236229.00821119,4249762.11177634,5169930.81828218
"142","STP",388783.835667767,458295.218661661,510027.287369603
"143","SUR",2359554.60091816,2695607.50233647,2849691.57901712
"144","SVK",719282082.52285,833645639.69879,899057234.449667
"145","SVN",342187254.499135,385845219.126645,436932725.091495
"146","SWE",2453319940.63162,2694581601.5762,2932669521.89953
"147","SWZ",1874845.00954685,2154237.41093991,2452310.36615935
"148","SYC",10093283.7801419,13627423.0001286,18118193.2987587
"149","SYR",3970147.61558602,4808635.13391615,5956950.93817423
"150","TCD",852194.216868619,1207384.1472197,1485975.38153598
"151","TGO",10985413.7947624,11880360.9169513,12803001.9662806
"152","THA",510540695.89475,602953450.825497,690040273.631861
"153","TJK",12984738.5825804,16607622.9646439,20014396.9837607
"154","TKM",19157781.3435247,24757057.587736,27954170.1138904
"155","TLS",3073010.49455095,3389747.6208424,3519201.06794998
"156","TTO",147759949.439931,170091520.545318,207433328.743624
"157","TUN",163948323.874935,187445809.855505,208285157.758355
"158","TUR",1370812879.26291,1575177773.13503,1749305264.52796
"159","TZA",26298753.6441709,32631216.2356733,38524297.1017383
"160","UGA",26336091.2110905,31276565.6699082,33264148.0860458
"161","UKR",137507924.970018,165861939.296075,192576308.785739
"162","URY",167122696.145063,186869332.385822,218551648.936013
"163","USA",136970155377.334,150745150499.623,168764201829.5
"164","UZB",354031049.216128,459398232.867713,551330398.068649
"165","VCT",360031.410605113,511547.115095541,685346.930204448
"166","VNM",535766349.23134,597282808.483917,631834700.467089
"167","VUT",1636.78060766749,14209.4117607517,364155.856319654
"168","YEM",7039232.68971454,8329436.72799063,9418468.28886977
"169","ZAF",316904576.112243,366742709.603361,412768844.216216
"170","ZMB",6275774.40882357,7249184.93717467,7967415.74532118
"171","ZWE",14779533.7194265,17043937.8579971,19276089.6598991
