"","iso3c","disc_exwelf_low","disc_exwelf_med","disc_exwelf_high"
"1","AFG",4.13086061808409,4.45139752446739,4.13086061808409
"2","AGO",4.93941299203215,5.40589559001547,4.93941299203215
"3","ALB",6.24775945528442,7.57365264652701,6.24775945528442
"4","ARE",3.23710711379264,3.5860143759036,3.23710711379264
"5","ARG",3.8958502065129,4.52949869702842,3.8958502065129
"6","ARM",6.30173849828658,7.15582507918135,6.30173849828658
"7","ATG",6.88093946534095,7.93995115830191,6.88093946534095
"8","AUS",6.93084500885138,8.48949563654537,6.93084500885138
"9","AUT",8.05350033752009,8.5458449072603,8.05350033752009
"10","AZE",7.46685231987821,8.2554382434056,7.46685231987821
"11","BDI",0.0774885754226269,0.156041571137169,0.0774885754226269
"12","BEL",13.6049083985026,20.280333626307,13.6049083985026
"13","BEN",1.54471357009217,1.85468456600687,1.54471357009217
"14","BFA",3.38738377787073,3.85082012738687,3.38738377787073
"15","BGD",2.70193207441723,3.18621217004823,2.70193207441723
"16","BGR",11.0684439396952,13.1632593029327,11.0684439396952
"17","BHR",3.31629757637329,3.71293226765962,3.31629757637329
"18","BHS",8.12730019055954,9.51706001798498,8.12730019055954
"19","BIH",8.0822030378101,9.60323036593037,8.0822030378101
"20","BLR",6.53230788862429,7.51852119538596,6.53230788862429
"21","BLZ",3.78269576245836,4.62319983040787,3.78269576245836
"22","BOL",2.78010309250288,3.17282268371586,2.78010309250288
"23","BRA",6.85898163484307,7.71069953710253,6.85898163484307
"24","BRB",4.45001232543417,6.33249186107385,4.45001232543417
"25","BRN",5.72226594060237,6.8092986737606,5.72226594060237
"26","BTN",4.33921498938434,4.70635336356085,4.33921498938434
"27","BWA",2.3097263516095,2.98649995983435,2.3097263516095
"28","CAF",2.62132230500884,3.18656073401701,2.62132230500884
"29","CAN",11.8809768784452,13.0163325981112,11.8809768784452
"30","CHE",6.80725642234884,8.52051455242545,6.80725642234884
"31","CHL",10.42609747153,11.0688208504752,10.42609747153
"32","CIV",6.66170408711373,7.47245349732179,6.66170408711373
"33","CMR",6.76886306341561,8.00023087082787,6.76886306341561
"34","COD",5.84744785472125,6.74948488763453,5.84744785472125
"35","COG",12.3843009279531,13.747215833329,12.3843009279531
"36","COL",3.96672004528323,4.73328000481451,3.96672004528323
"37","COM",3.64289236759369,4.23667489791058,3.64289236759369
"38","CPV",3.40119940429075,3.8105856279698,3.40119940429075
"39","CRI",6.15723053564871,7.0456844627035,6.15723053564871
"40","CYP",7.18066300911347,9.08796271951794,7.18066300911347
"41","CZE",8.50931319157849,10.1192576606643,8.50931319157849
"42","DEU",12.7062573220901,13.6561996929633,12.7062573220901
"43","DJI",3.84759728447757,4.6641782270693,3.84759728447757
"44","DNK",9.16727394191962,9.9706164451352,9.16727394191962
"45","DOM",2.98580274929863,3.66251605219461,2.98580274929863
"46","DZA",2.36093225469058,2.91965204317168,2.36093225469058
"47","ECU",3.70463759066386,4.51585568610026,3.70463759066386
"48","EGY",3.83188095535835,4.43160015264962,3.83188095535835
"49","ESP",12.5392933958983,13.9369351430483,12.5392933958983
"50","EST",10.8681464512041,12.3570119805311,10.8681464512041
"51","ETH",11.7362723628356,13.7638558776056,11.7362723628356
"52","FIN",10.3162445212873,11.1275412218059,10.3162445212873
"53","FJI",5.6532751104289,6.4542722723944,5.6532751104289
"54","FRA",12.6298749409471,14.8711033827641,12.6298749409471
"55","FSM",NA,NA,NA
"56","GAB",6.540458106487,7.54467467043266,6.540458106487
"57","GBR",9.12383493595425,12.0665294422718,9.12383493595425
"58","GEO",9.80814063239559,10.5690970949402,9.80814063239559
"59","GHA",6.13431648878775,6.77727878405553,6.13431648878775
"60","GIN",4.97006075903437,5.73590441115883,4.97006075903437
"61","GMB",3.47911799403518,3.88127985190313,3.47911799403518
"62","GNB",21.4837933722512,25.4975167121613,21.4837933722512
"63","GNQ",5.07114695842553,8.61671652941697,5.07114695842553
"64","GRC",13.6571438344371,14.8420143352759,13.6571438344371
"65","GRD",0.821247223824995,1.14903624606756,0.821247223824995
"66","GTM",6.99573959990513,7.90717929335295,6.99573959990513
"67","GUY",7.48611941142505,8.37922523859809,7.48611941142505
"68","HND",2.22177804483085,2.80325145396922,2.22177804483085
"69","HRV",11.1199055045994,12.9756365240115,11.1199055045994
"70","HTI",1.53489177974676,1.9000658360627,1.53489177974676
"71","HUN",7.85172451277267,9.22838802090281,7.85172451277267
"72","IDN",3.65443411065787,4.42329402795012,3.65443411065787
"73","IND",5.04770586529033,5.63772868518564,5.04770586529033
"74","IRL",10.666635230809,11.3072834892586,10.666635230809
"75","IRN",2.2646996706055,2.59790627754632,2.2646996706055
"76","IRQ",2.5808102960868,3.25781312760692,2.5808102960868
"77","ISL",11.1590802369135,17.0546371810972,11.1590802369135
"78","ISR",7.94513936844764,8.81063520954312,7.94513936844764
"79","ITA",11.2194490640092,12.3794050513953,11.2194490640092
"80","JAM",3.71421752404117,4.49389631205939,3.71421752404117
"81","JOR",6.32580983318179,7.06911882032305,6.32580983318179
"82","JPN",3.244418942633,4.03492975242879,3.244418942633
"83","KAZ",5.79712855891586,6.36944080434528,5.79712855891586
"84","KEN",4.524053186694,5.16257494352395,4.524053186694
"85","KGZ",2.40611393092565,3.13880769439389,2.40611393092565
"86","KHM",3.31600082988351,3.51837363366545,3.31600082988351
"87","KOR",11.2784189454226,12.8603095424974,11.2784189454226
"88","KWT",4.20120351512363,4.70573023218741,4.20120351512363
"89","LAO",4.52459178586067,4.7833256302008,4.52459178586067
"90","LBN",7.5968672026628,8.8907968533105,7.5968672026628
"91","LBR",1.63899598570072,1.88532466721412,1.63899598570072
"92","LBY",10.6619419027955,12.0884006639483,10.6619419027955
"93","LCA",7.23149600091514,8.00663958640273,7.23149600091514
"94","LKA",5.03018630376482,5.38711701889562,5.03018630376482
"95","LSO",1.53337611913064,1.79779340356644,1.53337611913064
"96","LTU",11.7956785215863,12.980679046071,11.7956785215863
"97","LUX",9.61044565017874,11.1908811350382,9.61044565017874
"98","LVA",9.47443183955238,11.0364164707809,9.47443183955238
"99","MAR",3.48436919180516,3.92423769654129,3.48436919180516
"100","MDA",7.16500505027031,8.14766204440525,7.16500505027031
"101","MDG",4.84300674579612,5.88233891435618,4.84300674579612
"102","MDV",6.29465143565299,6.89999700403284,6.29465143565299
"103","MEX",4.42139207168119,5.19797888875527,4.42139207168119
"104","MKD",7.16023617849233,8.47365130376304,7.16023617849233
"105","MLI",5.67134484722979,7.3888708158731,5.67134484722979
"106","MLT",10.6271379407742,12.0473926960916,10.6271379407742
"107","MMR",3.07380322433972,3.70647735566662,3.07380322433972
"108","MNE",6.90268975171024,8.12225148868147,6.90268975171024
"109","MNG",3.71513183149649,4.00456303243926,3.71513183149649
"110","MOZ",1.70846988055527,2.18009306199187,1.70846988055527
"111","MRT",3.99097249681952,5.17732123457282,3.99097249681952
"112","MUS",5.49116858759199,6.19872839855049,5.49116858759199
