"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"123","NPL",292335841.827267,331424989.902142,435189952.986013
"124","NZL",15825498006.5145,23004605577.2378,29209779032.4659
"125","OMN",814787218.142475,1081601744.9914,1988605464.24219
"126","PAK",2100027556.10438,2417046851.39713,2924352907.15428
"127","PAN",1797582578.63621,2253100519.35556,2795595306.17804
"128","PER",2500283860.12892,3494026958.14154,4696536924.82378
"129","PHL",5385080773.50053,6462937552.10338,7988785537.17146
"130","PNG",15623985.7820363,20055401.4755552,25155515.6525729
"131","POL",31715606141.2753,35001688628.8566,37594689876.3018
"132","PRK",0,0,0
"133","PRT",35021290035.3755,37443356778.4667,50268276594.0517
"134","PRY",234802435.325453,290566971.204032,322931062.324166
"135","QAT",5750049737.09623,7790433656.22788,10009287181.4864
"136","ROU",8529214217.96031,10061365902.7898,11319522365.3583
"137","RUS",78136562988.5822,84002938358.9045,90069356794.8971
"138","RWA",47602702.5098783,54759482.6134866,62721642.5404937
"139","SAU",29848537098.2646,33217571044.6044,37438740431.6907
"140","SDN",21556515.1032821,29208599.862609,37286926.7306785
"141","SEN",68707864.6416819,78946662.354865,88390102.2400512
"142","SGP",89307837001.0045,107430319389.141,112189929824.086
"143","SLB",222362.342277422,2933812.23691297,12920234.3298788
"144","SLE",2968682.645448,4394482.66344547,5354336.29108537
"145","SLV",563572487.863496,660321412.869938,700941840.033366
"146","SOM",5627371.56021133,6406078.42094125,7205471.75226767
"147","SRB",3060132428.83469,3609970744.09424,4202106408.80823
"148","SSD",0,0,0
"149","STP",4717970.90185547,5697550.74636588,7997009.31061132
"150","SUR",83801647.6463253,96338265.1153107,102166369.54137
"151","SVK",5205495152.36068,6143501548.47167,6625152187.95366
"152","SVN",3500160808.92045,3901520048.77252,4368071393.88988
"153","SWE",27877158657.6051,31524145655.6958,36208527813.0227
"154","SWZ",20207416.9492603,24395730.2144739,28507402.7493845
"155","SYC",50823316.6793392,65183821.888901,85988988.4242056
"156","SYR",3938203.30388029,5045931.87416272,6335243.9950385
"157","TCD",1401972.18713944,1923515.32987254,2355427.24755492
"158","TGO",18448699.2832496,19976320.9470675,21743346.2464307
"159","THA",23467026117.5425,28996666719.7668,33857485662.1934
"160","TJK",34072222.5882892,48670236.6756682,61234387.3840116
"161","TKM",661992677.892624,975164441.929217,1185801048.75503
"162","TLS",48326945.7098214,53182882.875449,55939836.3983617
"163","TTO",820377331.555926,974923527.960404,1188896882.85784
"164","TUN",611832244.741899,706118347.468265,790748730.27718
"165","TUR",30611182556.4556,35694881553.7792,39359256784.5673
"166","TZA",30281369.643158,41125738.6890908,48858151.1652647
"167","UGA",61718769.5527407,71346143.9635855,76776914.3655605
"168","UKR",2753496562.1968,3261093936.60816,3719111842.77128
"169","URY",6324248798.22725,8561827310.84694,10546984653.0227
"170","USA",1412278446352.22,1546382986933.74,1682378484788.55
"171","UZB",391758850.411723,545724087.558551,676615258.993757
"172","VCT",8235724.39296657,11393326.6572982,20879140.4156067
"173","VEN",0,0,0
"174","VNM",9850691601.95992,12010622678.3288,14722637032.1628
"175","VUT",8881.43924700372,56884.3114911613,2948155.25209764
"176","YEM",10308245.0893284,12041941.7631183,13552140.2231618
"177","ZAF",5107891667.01148,6297359914.24193,7620009858.34741
"178","ZMB",29989551.0865826,35306606.9199281,39273228.2768103
"179","ZWE",114442628.032196,130988598.942905,148864959.814381
