"","iso3c","hospitalisations_total_low","hospitalisations_total_med","hospitalisations_total_high"
"107","MLI",939541.537085512,939541.537085512,939541.537085512
"108","MLT",1131948.25064278,1131948.25064278,1131948.25064278
"109","MMR",17850138.2240448,17850138.2240448,17850138.2240448
"110","MNE",641263.467783166,641263.467783166,641263.467783166
"111","MNG",2765887.96125553,2765887.96125553,2765887.96125553
"112","MOZ",3365304.00955915,3365304.00955915,3365304.00955915
"113","MRT",1191335.27277969,1191335.27277969,1191335.27277969
"114","MUS",1505462.77700352,1505462.77700352,1505462.77700352
"115","MWI",2332300.45472067,2332300.45472067,2332300.45472067
"116","MYS",36682027.9842355,36682027.9842355,36682027.9842355
"117","NAM",508952.013862625,508952.013862625,508952.013862625
"118","NER",1663014.69365119,1663014.69365119,1663014.69365119
"119","NGA",19059358.1549898,19059358.1549898,19059358.1549898
"120","NIC",1020692.18342916,1020692.18342916,1020692.18342916
"121","NLD",32792073.0895185,32792073.0895185,32792073.0895185
"122","NOR",11151636.7532609,11151636.7532609,11151636.7532609
"123","NPL",12240368.0324887,12240368.0324887,12240368.0324887
"124","NZL",4853700.20357808,4853700.20357808,4853700.20357808
"125","OMN",2372311.65647099,2372311.65647099,2372311.65647099
"126","PAK",69204036.6808683,69204036.6808683,69204036.6808683
"127","PAN",4381399.37063563,4381399.37063563,4381399.37063563
"128","PER",17185620.6684364,17185620.6684364,17185620.6684364
"129","PHL",54303684.4919138,54303684.4919138,54303684.4919138
"130","PNG",438985.626727428,438985.626727428,438985.626727428
"131","POL",54615378.2467231,54615378.2467231,54615378.2467231
"132","PRK",0,0,0
"133","PRT",33321445.2934564,33321445.2934564,33321445.2934564
"134","PRY",1410459.58015411,1410459.58015411,1410459.58015411
"135","QAT",2447480.62856647,2447480.62856647,2447480.62856647
"136","ROU",23502265.7105422,23502265.7105422,23502265.7105422
"137","RUS",206353084.886204,206353084.886204,206353084.886204
"138","RWA",4156312.89628933,4156312.89628933,4156312.89628933
"139","SAU",31269413.3196213,31269413.3196213,31269413.3196213
"140","SDN",3566921.00816346,3566921.00816346,3566921.00816346
"141","SEN",2814465.43255669,2814465.43255669,2814465.43255669
"142","SGP",11859836.6927549,11859836.6927549,11859836.6927549
"143","SLB",91771.1201801996,91771.1201801996,91771.1201801996
"144","SLE",652557.081112022,652557.081112022,652557.081112022
"145","SLV",5461683.05948134,5461683.05948134,5461683.05948134
"146","SOM",921937.315799394,921937.315799394,921937.315799394
"147","SRB",12381157.561342,12381157.561342,12381157.561342
"148","SSD",284096.603682112,284096.603682112,284096.603682112
"149","STP",97500.2854342769,97500.2854342769,97500.2854342769
"150","SUR",519712.652082167,519712.652082167,519712.652082167
"151","SVK",7523968.44277331,7523968.44277331,7523968.44277331
"152","SVN",3055824.75946098,3055824.75946098,3055824.75946098
"153","SWE",12621064.2228007,12621064.2228007,12621064.2228007
"154","SWZ",327085.029818922,327085.029818922,327085.029818922
"155","SYC",125726.252372545,125726.252372545,125726.252372545
"156","SYR",936956.666069134,936956.666069134,936956.666069134
"157","TCD",264650.327762729,264650.327762729,264650.327762729
"158","TGO",1330270.27735896,1330270.27735896,1330270.27735896
"159","THA",120951727.66789,120951727.66789,120951727.66789
"160","TJK",3146559.3952808,3146559.3952808,3146559.3952808
"161","TKM",3363248.11661781,3363248.11661781,3363248.11661781
"162","TLS",766393.46901666,766393.46901666,766393.46901666
"163","TTO",1373901.02265585,1373901.02265585,1373901.02265585
"164","TUN",7989603.37312096,7989603.37312096,7989603.37312096
"165","TUR",90426130.3429458,90426130.3429458,90426130.3429458
"166","TZA",1863027.76454226,1863027.76454226,1863027.76454226
"167","UGA",5340582.1773024,5340582.1773024,5340582.1773024
"168","UKR",35205235.5838498,35205235.5838498,35205235.5838498
"169","URY",3177435.29268641,3177435.29268641,3177435.29268641
"170","USA",605055460.510256,605055460.510256,605055460.510256
"171","UZB",11909644.2713924,11909644.2713924,11909644.2713924
"172","VCT",38770.5738302542,38770.5738302542,38770.5738302542
"173","VEN",11203320.218258,11203320.218258,11203320.218258
"174","VNM",111609417.752464,111609417.752464,111609417.752464
"175","VUT",10529.9625132027,10529.9625132027,10529.9625132027
"176","YEM",1683534.97519349,1683534.97519349,1683534.97519349
"177","ZAF",27251031.855379,27251031.855379,27251031.855379
"178","ZMB",1616545.4474814,1616545.4474814,1616545.4474814
"179","ZWE",3577547.25995843,3577547.25995843,3577547.25995843
