"","income_group","lg_total_low","lg_total_med","lg_total_high"
"1","H",3851718.00000043,3851718.00000043,3851718.00000043
"2","L",1499107.99999995,1499107.99999995,1499107.99999995
"3","LM",3156096.00000005,3156096.00000005,3156096.00000005
"4","UM",3005720.49999979,3005720.49999979,3005720.49999979
"5","Unknown",67753.5000000015,67753.5000000015,67753.5000000015
