"","income_group","qalys_averted_sum_low","qalys_averted_sum_med","qalys_averted_sum_high"
"1","H",143922445.962685,149340323.806253,157381095.313858
"2","UM",82176589.6586202,84783687.9373395,87691682.6580634
"3","LM",108763700.097924,117251035.477158,121343436.737342
"4","L",2477408.59087477,2605475.90086791,2718604.12422645
