"","income_group","vsly_pp_gdppc_low","vsly_pp_gdppc_med","vsly_pp_gdppc_high"
"1","HIC",14.3561674060071,14.8986580977431,15.7102811750608
"2","UMIC",60.980366213769,63.3151135501619,65.1791586981865
"3","LMIC",188.593509093251,201.16723610679,208.314732826071
"4","LIC",676.6088376478,710.29610042458,739.83936282196
