"","iso3c","discmonqalys_averted_sum_low","discmonqalys_averted_sum_med","discmonqalys_averted_sum_high"
"131","POL",26027016181.9187,28678547060.9834,30796526333.6545
"132","PRK",0,0,0
"133","PRT",27779572674.644,29679466493.2185,39584136607.0083
"134","PRY",184628637.907437,227029108.507195,252406849.195413
"135","QAT",5193197237.19877,7067229683.87844,9005230185.14019
"136","ROU",6620610969.45497,7810656058.76257,8789715366.79334
"137","RUS",60264341881.7135,64680460451.4939,69410705263.986
"138","RWA",38619305.1155306,44524084.8386802,50936815.8897523
"139","SAU",28496364655.3111,31854409943.5182,36057258067.2852
"140","SDN",15542977.0524591,20979950.331212,26741514.7479921
"141","SEN",52760780.9436765,60339961.0036528,67234658.23146
"142","SGP",72497470794.7518,86789156516.133,90563199497.1391
"143","SLB",187274.321269889,2466847.08217121,10067360.3958368
"144","SLE",4275822.90250169,6268004.30458072,7601834.56720224
"145","SLV",426723850.263395,499334128.264445,530247733.419552
"146","SOM",4311692.70951412,4938573.23774009,5569241.81040851
"147","SRB",2496793930.17163,2946994767.0634,3429391472.73665
"148","SSD",0,0,0
"149","STP",3786070.94957318,4501029.84926832,6266060.51048256
"150","SUR",65560312.9547237,75053530.743729,79610553.9266522
"151","SVK",4178994063.44679,4928729471.51278,5312645164.89526
"152","SVN",2764769220.98093,3082140562.36699,3449449579.68882
"153","SWE",22286629802.8626,25123015867.963,28820182636.8992
"154","SWZ",14963097.450376,17975253.5733772,20984290.7165277
"155","SYC",48354539.3371532,61850718.5554853,81441506.5041453
"156","SYR",4903736.67628088,6271412.02237073,7843149.55650049
"157","TCD",1085693.10734965,1488529.62419489,1824790.43931402
"158","TGO",14257240.7561726,15381831.4713399,16818872.9981993
"159","THA",18661201758.8934,22941034028.5193,26730511559.062
"160","TJK",27271958.7659028,38780828.5141387,49109555.3339415
"161","TKM",496247918.966285,716312539.157085,864864961.922406
"162","TLS",36266851.2206153,39580812.1297836,41580751.7378364
"163","TTO",733212387.479245,867809510.558377,1054119133.205
"164","TUN",471279114.325431,544459081.433616,611882485.469383
"165","TUR",24122795196.7581,28073370473.1706,30934603073.531
"166","TZA",23717322.4016352,32101023.4103735,38423368.6803908
"167","UGA",49855402.5913259,56601644.335649,61443160.0882912
"168","UKR",2019393801.89492,2392060712.54238,2728134299.85465
"169","URY",5009320771.95344,6754039279.3463,8293011360.72956
"170","USA",1150159023195.16,1258069654446.94,1370179041756.13
"171","UZB",343008212.668768,474278622.830983,587408936.253637
"172","VCT",6641593.04064686,9132006.801733,16453408.5117448
"173","VEN",0,0,0
"174","VNM",7416014844.31954,8994386184.58192,10965482367.1034
"175","VUT",7078.96760028373,65452.1189668616,2911911.68395217
"176","YEM",7896347.56178236,9182182.8232474,10315319.131648
"177","ZAF",3956721840.62894,4869123868.1333,5823719253.41992
"178","ZMB",22844539.9822141,26604948.860667,29476703.3394393
"179","ZWE",87232796.7441158,99988771.6251067,112943800.18609
