"","iso3c","vsly_undisc_averted_low","vsly_undisc_averted_med","vsly_undisc_averted_high","vsly_disc_averted_low","vsly_disc_averted_med","vsly_disc_averted_high"
"116","MYS",95941153316.5866,109906154260.084,133597534004.342,134025923687.552,152042223003.071,182718090252.88
"117","NAM",236527541.551799,317019232.040259,374873332.985932,357424562.511274,478457031.768625,565580394.349397
"118","NER",186801252.991014,246695618.271267,378356219.732907,283227838.704406,362219394.087876,532634009.383847
"119","NGA",7063796297.99135,7695696169.52158,8117034097.60676,10369512519.3446,11317705726.0935,11954108378.5884
"120","NIC",307243958.132992,370406533.044314,434473865.905449,450151993.2997,544655279.968467,635893458.719081
"121","NLD",365641642656.886,409875595630.915,468039557883.022,507900461496.416,568076272167.043,649532205706.259
"122","NOR",179109662422.993,198229689405.015,213406856683.178,247644363874.487,275035494627.471,296414717951.603
"123","NPL",2549625296.7695,2886754559.69647,3819402102.46734,3694746685.44039,4188961046.78044,5501430970.57717
"124","NZL",77544427630.9292,111749605705.659,141645695978.145,103548875070.425,150553826642.659,191196332391.413
"125","OMN",3620570664.20894,4879601135.70756,9296064707.33694,5076615712.66032,6736975818.73627,12384031887.7722
"126","PAK",17706353211.377,20572031012.908,24939345922.7349,25740445424.4919,29631076595.1292,35849924567.4397
"127","PAN",9190821631.63464,11530564049.7794,14385511536.2415,13082927389.8753,16400921537.316,20353195327.8555
"128","PER",12874874697.6146,17952558357.4546,24435491167.1242,18767084823.5952,26226686938.3095,35260480738.7037
"129","PHL",48794491251.2783,59396592261.446,74780336804.6322,70340746708.7541,84455502133.0544,104450347621.005
"130","PNG",128320797.619309,165341038.029379,207949672.769471,184173118.354334,236481997.270416,296641897.855
"131","POL",166886204642.718,183493230505.679,197105305013.116,228232192836.102,251865359076.079,270530652671.825
"132","PRK",0,0,0,0,0,0
"133","PRT",190119719780.559,203284626352.537,274527037901.655,262917156716.244,281107443353.672,377497473080.822
"134","PRY",1113441501.84657,1369156245.67821,1521735944.2337,1744938990.46769,2159044422.61065,2399916838.57437
"135","QAT",28861924353.4171,39356706908.3331,51190244934.6776,36323044681.4087,49213035176.0393,63255736851.5261
"136","ROU",52357098625.1256,61710322941.7082,69749097964.4514,74642671094.4832,88045380792.9035,99076140028.0428
"137","RUS",464222586720.766,497573089390.155,534226578492.016,666839331035.667,716856681835.676,768660409647.728
"138","RWA",612808708.848759,709340761.42045,816513721.076669,887665733.71972,1021242217.09204,1169936560.99386
"139","SAU",152966418955.708,170355322768.209,192347249762.876,202848059378.164,225701064359.733,254380273423.122
"140","SDN",197516953.88529,267654027.496619,339552772.973704,336011444.68653,455225700.081705,581139538.205262
"141","SEN",521168945.735149,599878476.110459,673043130.218818,786910648.751669,904309676.602186,1012615734.34685
"142","SGP",391311423466.49,475879114854.068,497873251089.023,517423976835.246,622595880992.987,650192795295.212
"143","SLB",1983610.02189653,27379684.3060848,124011886.509176,2893336.36200465,38338165.9642035,169000396.747259
"144","SLE",38137612.7751428,57229857.5021352,69846327.3087339,55597594.5452797,82347073.5101872,100348298.306805
"145","SLV",4653308650.23671,5442888584.70162,5778400070.87672,6620977325.53268,7757752746.86911,8234794132.33553
"146","SOM",72678533.1485192,82627464.315903,93147026.7087157,106889550.146681,121679491.724326,136863769.461943
"147","SRB",17946516397.5052,21180529740.9676,24603669368.9543,25682802220.8289,30296882778.306,35265530006.2392
"148","SSD",0,0,0,0,0,0
"149","STP",37966578.8832804,45435913.803066,65524627.7841265,53393510.9761744,64507032.1006017,90594851.0871054
"150","SUR",431876066.047416,495043799.623795,525164948.444101,620285454.700202,713099915.573413,756252549.141108
"151","SVK",26621243027.4292,31393238947.3818,33839514065.117,37480345017.0467,44234936170.4845,47704511570.5854
"152","SVN",18962784357.3101,21111004493.2751,23558458519.1314,25767811718.1579,28723619984.6452,32155291356.0264
"153","SWE",147869189308.971,166874069795.343,191128938038.438,203570265450.354,230208615914.144,264429027779.747
"154","SWZ",173778165.720591,209369371.385105,245226579.781089,247876143.559166,299210459.819732,349707889.367332
"155","SYC",273516850.554141,351521273.290698,464033749.974306,375757223.251527,482002905.558593,635908374.344059
"156","SYR",65058997.9180654,83946740.7806673,104389644.243242,97249579.6925714,124658458.688829,156466537.058922
"157","TCD",16375627.7228754,22276950.7870485,27257053.6695839,24552288.6452933,33678475.2387295,41233155.063846
"158","TGO",229788199.84548,247880559.785473,271854181.640233,331995631.842152,359498607.689617,391330148.663573
"159","THA",147177279473.086,181534736802.679,212098661383.896,198538788540.071,245347324817.773,286499977707.978
"160","TJK",384221118.26559,550751155.461365,694502300.811951,535059714.578597,764596921.053107,961886371.038132
"161","TKM",0,0,0,0,0,0
"162","TLS",358485898.6861,391787333.809638,411776682.435608,515367916.060613,567231415.416245,596634258.364199
"163","TTO",3938019537.80492,4674727640.36164,5659355169.45385,5425296321.92623,6447958503.63176,7862918250.56028
"164","TUN",4997590390.31413,5763315425.74632,6501387601.30577,7305898966.99125,8431305739.38098,9442747560.33636
"165","TUR",176413500073.003,205224989050.298,225503423832.956,250790844039.738,292439324912.385,322452341998.805
"166","TZA",234016723.921231,320464999.926354,378358450.086759,354610685.500004,481726252.986699,572154825.538521
"167","UGA",730322531.153993,825842041.187359,901408762.401519,1060968491.2754,1226319624.05781,1319887739.58811
"168","UKR",24747283212.3511,29234413936.1133,33332534561.5042,34437967141.0211,40784165557.0068,46514357410.5473
"169","URY",30799234312.0428,41662261115.5404,51025720551.928,41992356463.94,56856464144.8357,70037259758.594
"170","USA",7500331179941.26,8204176070483.55,8932620267616.65,10569725983946.1,11572980038249.3,12591339883754.1
"171","UZB",3527220625.75663,4908144859.24956,6099471457.62913,4915181318.08749,6848270944.90034,8492038037.15586
"172","VCT",50044870.4238018,68525264.3606615,125324124.968989,69829272.4271598,96610238.7513218,177070526.868962
"173","VEN",0,0,0,0,0,0
"174","VNM",89391368194.9963,109854789282.968,135631962312.842,123545696508.624,150671417088.164,184737533353.674
"175","VUT",78316.4904622482,543679.364414088,30836407.6604685,126991.223716084,795729.179815986,42155896.3332738
"176","YEM",0,0,0,0,0,0
"177","ZAF",27244423048.031,34247799209.0127,41980655113.3668,39143775000.005,48283462507.4972,58463356335.121
"178","ZMB",253169444.323805,294862850.679363,326608455.337614,370917404.194281,436676311.065931,485771390.405012
"179","ZWE",897661730.156047,1028530905.39123,1172162626.72828,1263523384.06649,1446027147.54073,1643991025.55665
