"","iso3c","averted_infections_qalys_low","averted_infections_qalys_med","averted_infections_qalys_high"
"162","TLS",-4181216353.37891,-2041083960.88937,-308732634.744043
"163","TTO",-66942050260.8886,-32730762102.5041,-7365778752.89076
"164","TUN",-334929585128.066,-218444567998.286,-82102313355.5594
"165","TUR",-113692404209646,-69011197045216.5,-9837182375923.7
"166","TZA",-232602101087.272,-80068002951.2772,-32163874313.029
"167","UGA",-286549052181.604,-107083649766.654,-21392579866.6301
"168","UKR",-4183472829980.26,-1830390065583.58,-295734469993.924
"169","URY",-700454370647.451,-529532731080.501,-207886210909.604
"170","USA",-21244964061293656,-15666088794949348,-3883114091922391
"171","UZB",-1187830075342.06,-716064973074.336,-113475410014.419
"172","VCT",-46394899.2281921,-29256653.9639281,-11160043.1751544
"173","VEN",NA,NA,NA
"174","VNM",-55645718653021.1,-29574317051064.1,-7845867636180.62
"175","VUT",-257573569.560783,-1908183.52066999,-102772.033026039
"176","YEM",NA,NA,NA
"177","ZAF",-19945025951847.2,-10496752868581.1,-3460674870456.04
"178","ZMB",-41406937302.0046,-17142232852.5374,-5191060052.28996
"179","ZWE",-194603697109.567,-114072528192.131,-17072488399.0728
