"","income_group","replicate.x","averted_total_costs","replicate.y","mean_hccosts_percentGDP"
"116","H",2,452254237462.954,16,1.15851776739393
"117","H",2,452254237462.954,17,1.1491312504824
"118","H",2,452254237462.954,18,1.13466541550123
"119","H",2,452254237462.954,19,1.13367867077898
"120","H",2,452254237462.954,20,1.14743395775288
"121","H",2,452254237462.954,21,1.15000525529999
"122","H",2,452254237462.954,22,1.14314287158948
"123","H",2,452254237462.954,23,1.1382246158211
"124","H",2,452254237462.954,24,1.1266040770487
"125","H",2,452254237462.954,25,1.15801093870192
"126","H",2,452254237462.954,26,1.13201165656173
"127","H",2,452254237462.954,27,1.13652845289033
"128","H",2,452254237462.954,28,1.1357080724342
"129","H",2,452254237462.954,29,1.16418628358109
"130","H",2,452254237462.954,30,1.15813261156572
"131","H",2,452254237462.954,31,1.16694553384085
"132","H",2,452254237462.954,32,1.1538939239543
"133","H",2,452254237462.954,33,1.16195199644542
"134","H",2,452254237462.954,34,1.16579244268113
"135","H",2,452254237462.954,35,1.14190138647595
"136","H",2,452254237462.954,36,1.13247235925236
"137","H",2,452254237462.954,37,1.16212074371921
"138","H",2,452254237462.954,38,1.14420250927516
"139","H",2,452254237462.954,39,1.13150732367716
"140","H",2,452254237462.954,40,1.14514287776295
"141","H",2,452254237462.954,41,1.16763287497046
"142","H",2,452254237462.954,42,1.13622289649748
"143","H",2,452254237462.954,43,1.15792206232068
"144","H",2,452254237462.954,44,1.16421971565512
"145","H",2,452254237462.954,45,1.16782671088664
"146","H",2,452254237462.954,46,1.1691413231907
"147","H",2,452254237462.954,47,1.16077493197462
"148","H",2,452254237462.954,48,1.12828269156696
"149","H",2,452254237462.954,49,1.17013254143185
"150","H",2,452254237462.954,50,1.1388607465342
"151","H",2,452254237462.954,51,1.14572007308314
"152","H",2,452254237462.954,52,1.15076927329966
"153","H",2,452254237462.954,53,1.15983876004235
"154","H",2,452254237462.954,54,1.15996278816857
"155","H",2,452254237462.954,55,1.15543757705245
"156","H",2,452254237462.954,56,1.148549294669
"157","H",2,452254237462.954,57,1.15358337964988
"158","H",2,452254237462.954,58,1.14798210296291
"159","H",2,452254237462.954,59,1.16617311818995
"160","H",2,452254237462.954,60,1.13455420498083
"161","H",2,452254237462.954,61,1.15357868378602
"162","H",2,452254237462.954,62,1.16165221543794
"163","H",2,452254237462.954,63,1.12982884626231
"164","H",2,452254237462.954,64,1.14303107575358
"165","H",2,452254237462.954,65,1.12332572326828
"166","H",2,452254237462.954,66,1.15879834138843
"167","H",2,452254237462.954,67,1.13846208105066
"168","H",2,452254237462.954,68,1.14803487933859
"169","H",2,452254237462.954,69,1.17012565766203
"170","H",2,452254237462.954,70,1.14062786987063
"171","H",2,452254237462.954,71,1.1654116773847
"172","H",2,452254237462.954,72,1.11123424522998
"173","H",2,452254237462.954,73,1.15408260855634
"174","H",2,452254237462.954,74,1.13668957981723
"175","H",2,452254237462.954,75,1.13324560062333
"176","H",2,452254237462.954,76,1.15387825013953
"177","H",2,452254237462.954,77,1.14067431787039
"178","H",2,452254237462.954,78,1.13320394528326
"179","H",2,452254237462.954,79,1.14214266337089
"180","H",2,452254237462.954,80,1.13707975504062
"181","H",2,452254237462.954,81,1.15605609682354
"182","H",2,452254237462.954,82,1.15504845093552
"183","H",2,452254237462.954,83,1.1337212627795
"184","H",2,452254237462.954,84,1.15347163729888
"185","H",2,452254237462.954,85,1.13689120683241
"186","H",2,452254237462.954,86,1.12830874836909
"187","H",2,452254237462.954,87,1.14193894349519
"188","H",2,452254237462.954,88,1.14300561870956
"189","H",2,452254237462.954,89,1.13598565155836
"190","H",2,452254237462.954,90,1.1505553816768
"191","H",2,452254237462.954,91,1.1426292047334
"192","H",2,452254237462.954,92,1.12495074180155
"193","H",2,452254237462.954,93,1.12970487060053
"194","H",2,452254237462.954,94,1.12377529879881
"195","H",2,452254237462.954,95,1.13754841764727
"196","H",2,452254237462.954,96,1.14198572077717
"197","H",2,452254237462.954,97,1.12477535985516
"198","H",2,452254237462.954,98,1.12568322686667
"199","H",2,452254237462.954,99,1.12651481782698
"200","H",2,452254237462.954,100,1.14317539234407
"201","H",3,465197735518.259,1,1.11307613602926
"202","H",3,465197735518.259,2,1.14599970838249
"203","H",3,465197735518.259,3,1.15234820545143
"204","H",3,465197735518.259,4,1.14287755504822
"205","H",3,465197735518.259,5,1.15361144492403
"206","H",3,465197735518.259,6,1.1384788487853
"207","H",3,465197735518.259,7,1.14982969910239
"208","H",3,465197735518.259,8,1.15018281344778
"209","H",3,465197735518.259,9,1.15275508149117
"210","H",3,465197735518.259,10,1.14070365928238
"211","H",3,465197735518.259,11,1.14460621159538
"212","H",3,465197735518.259,12,1.15281072225661
"213","H",3,465197735518.259,13,1.1438680716944
"214","H",3,465197735518.259,14,1.13781495742811
"215","H",3,465197735518.259,15,1.13900198819439
"216","H",3,465197735518.259,16,1.15851776739393
"217","H",3,465197735518.259,17,1.1491312504824
"218","H",3,465197735518.259,18,1.13466541550123
"219","H",3,465197735518.259,19,1.13367867077898
"220","H",3,465197735518.259,20,1.14743395775288
"221","H",3,465197735518.259,21,1.15000525529999
"222","H",3,465197735518.259,22,1.14314287158948
"223","H",3,465197735518.259,23,1.1382246158211
"224","H",3,465197735518.259,24,1.1266040770487
"225","H",3,465197735518.259,25,1.15801093870192
"226","H",3,465197735518.259,26,1.13201165656173
"227","H",3,465197735518.259,27,1.13652845289033
"228","H",3,465197735518.259,28,1.1357080724342
"229","H",3,465197735518.259,29,1.16418628358109
"230","H",3,465197735518.259,30,1.15813261156572
"231","H",3,465197735518.259,31,1.16694553384085
"232","H",3,465197735518.259,32,1.1538939239543
"233","H",3,465197735518.259,33,1.16195199644542
"234","H",3,465197735518.259,34,1.16579244268113
"235","H",3,465197735518.259,35,1.14190138647595
"236","H",3,465197735518.259,36,1.13247235925236
"237","H",3,465197735518.259,37,1.16212074371921
"238","H",3,465197735518.259,38,1.14420250927516
"239","H",3,465197735518.259,39,1.13150732367716
"240","H",3,465197735518.259,40,1.14514287776295
"241","H",3,465197735518.259,41,1.16763287497046
"242","H",3,465197735518.259,42,1.13622289649748
"243","H",3,465197735518.259,43,1.15792206232068
"244","H",3,465197735518.259,44,1.16421971565512
"245","H",3,465197735518.259,45,1.16782671088664
"246","H",3,465197735518.259,46,1.1691413231907
"247","H",3,465197735518.259,47,1.16077493197462
"248","H",3,465197735518.259,48,1.12828269156696
"249","H",3,465197735518.259,49,1.17013254143185
"250","H",3,465197735518.259,50,1.1388607465342
"251","H",3,465197735518.259,51,1.14572007308314
"252","H",3,465197735518.259,52,1.15076927329966
"253","H",3,465197735518.259,53,1.15983876004235
"254","H",3,465197735518.259,54,1.15996278816857
"255","H",3,465197735518.259,55,1.15543757705245
"256","H",3,465197735518.259,56,1.148549294669
"257","H",3,465197735518.259,57,1.15358337964988
"258","H",3,465197735518.259,58,1.14798210296291
"259","H",3,465197735518.259,59,1.16617311818995
"260","H",3,465197735518.259,60,1.13455420498083
"261","H",3,465197735518.259,61,1.15357868378602
"262","H",3,465197735518.259,62,1.16165221543794
"263","H",3,465197735518.259,63,1.12982884626231
"264","H",3,465197735518.259,64,1.14303107575358
"265","H",3,465197735518.259,65,1.12332572326828
"266","H",3,465197735518.259,66,1.15879834138843
"267","H",3,465197735518.259,67,1.13846208105066
"268","H",3,465197735518.259,68,1.14803487933859
"269","H",3,465197735518.259,69,1.17012565766203
"270","H",3,465197735518.259,70,1.14062786987063
"271","H",3,465197735518.259,71,1.1654116773847
"272","H",3,465197735518.259,72,1.11123424522998
"273","H",3,465197735518.259,73,1.15408260855634
"274","H",3,465197735518.259,74,1.13668957981723
"275","H",3,465197735518.259,75,1.13324560062333
"276","H",3,465197735518.259,76,1.15387825013953
"277","H",3,465197735518.259,77,1.14067431787039
"278","H",3,465197735518.259,78,1.13320394528326
"279","H",3,465197735518.259,79,1.14214266337089
"280","H",3,465197735518.259,80,1.13707975504062
"281","H",3,465197735518.259,81,1.15605609682354
"282","H",3,465197735518.259,82,1.15504845093552
"283","H",3,465197735518.259,83,1.1337212627795
"284","H",3,465197735518.259,84,1.15347163729888
"285","H",3,465197735518.259,85,1.13689120683241
"286","H",3,465197735518.259,86,1.12830874836909
"287","H",3,465197735518.259,87,1.14193894349519
"288","H",3,465197735518.259,88,1.14300561870956
"289","H",3,465197735518.259,89,1.13598565155836
"290","H",3,465197735518.259,90,1.1505553816768
"291","H",3,465197735518.259,91,1.1426292047334
"292","H",3,465197735518.259,92,1.12495074180155
"293","H",3,465197735518.259,93,1.12970487060053
"294","H",3,465197735518.259,94,1.12377529879881
"295","H",3,465197735518.259,95,1.13754841764727
"296","H",3,465197735518.259,96,1.14198572077717
"297","H",3,465197735518.259,97,1.12477535985516
"298","H",3,465197735518.259,98,1.12568322686667
"299","H",3,465197735518.259,99,1.12651481782698
"300","H",3,465197735518.259,100,1.14317539234407
"301","H",4,456511194431.79,1,1.11307613602926
"302","H",4,456511194431.79,2,1.14599970838249
"303","H",4,456511194431.79,3,1.15234820545143
"304","H",4,456511194431.79,4,1.14287755504822
"305","H",4,456511194431.79,5,1.15361144492403
"306","H",4,456511194431.79,6,1.1384788487853
"307","H",4,456511194431.79,7,1.14982969910239
"308","H",4,456511194431.79,8,1.15018281344778
"309","H",4,456511194431.79,9,1.15275508149117
"310","H",4,456511194431.79,10,1.14070365928238
"311","H",4,456511194431.79,11,1.14460621159538
"312","H",4,456511194431.79,12,1.15281072225661
"313","H",4,456511194431.79,13,1.1438680716944
"314","H",4,456511194431.79,14,1.13781495742811
"315","H",4,456511194431.79,15,1.13900198819439
"316","H",4,456511194431.79,16,1.15851776739393
"317","H",4,456511194431.79,17,1.1491312504824
"318","H",4,456511194431.79,18,1.13466541550123
"319","H",4,456511194431.79,19,1.13367867077898
"320","H",4,456511194431.79,20,1.14743395775288
"321","H",4,456511194431.79,21,1.15000525529999
"322","H",4,456511194431.79,22,1.14314287158948
"323","H",4,456511194431.79,23,1.1382246158211
"324","H",4,456511194431.79,24,1.1266040770487
"325","H",4,456511194431.79,25,1.15801093870192
"326","H",4,456511194431.79,26,1.13201165656173
"327","H",4,456511194431.79,27,1.13652845289033
"328","H",4,456511194431.79,28,1.1357080724342
"329","H",4,456511194431.79,29,1.16418628358109
"330","H",4,456511194431.79,30,1.15813261156572
"331","H",4,456511194431.79,31,1.16694553384085
"332","H",4,456511194431.79,32,1.1538939239543
"333","H",4,456511194431.79,33,1.16195199644542
"334","H",4,456511194431.79,34,1.16579244268113
"335","H",4,456511194431.79,35,1.14190138647595
"336","H",4,456511194431.79,36,1.13247235925236
"337","H",4,456511194431.79,37,1.16212074371921
"338","H",4,456511194431.79,38,1.14420250927516
"339","H",4,456511194431.79,39,1.13150732367716
"340","H",4,456511194431.79,40,1.14514287776295
"341","H",4,456511194431.79,41,1.16763287497046
"342","H",4,456511194431.79,42,1.13622289649748
"343","H",4,456511194431.79,43,1.15792206232068
"344","H",4,456511194431.79,44,1.16421971565512
"345","H",4,456511194431.79,45,1.16782671088664
"346","H",4,456511194431.79,46,1.1691413231907
"347","H",4,456511194431.79,47,1.16077493197462
"348","H",4,456511194431.79,48,1.12828269156696
"349","H",4,456511194431.79,49,1.17013254143185
"350","H",4,456511194431.79,50,1.1388607465342
"351","H",4,456511194431.79,51,1.14572007308314
"352","H",4,456511194431.79,52,1.15076927329966
"353","H",4,456511194431.79,53,1.15983876004235
"354","H",4,456511194431.79,54,1.15996278816857
"355","H",4,456511194431.79,55,1.15543757705245
"356","H",4,456511194431.79,56,1.148549294669
"357","H",4,456511194431.79,57,1.15358337964988
"358","H",4,456511194431.79,58,1.14798210296291
"359","H",4,456511194431.79,59,1.16617311818995
"360","H",4,456511194431.79,60,1.13455420498083
"361","H",4,456511194431.79,61,1.15357868378602
"362","H",4,456511194431.79,62,1.16165221543794
"363","H",4,456511194431.79,63,1.12982884626231
"364","H",4,456511194431.79,64,1.14303107575358
"365","H",4,456511194431.79,65,1.12332572326828
"366","H",4,456511194431.79,66,1.15879834138843
"367","H",4,456511194431.79,67,1.13846208105066
"368","H",4,456511194431.79,68,1.14803487933859
"369","H",4,456511194431.79,69,1.17012565766203
"370","H",4,456511194431.79,70,1.14062786987063
"371","H",4,456511194431.79,71,1.1654116773847
"372","H",4,456511194431.79,72,1.11123424522998
"373","H",4,456511194431.79,73,1.15408260855634
"374","H",4,456511194431.79,74,1.13668957981723
"375","H",4,456511194431.79,75,1.13324560062333
"376","H",4,456511194431.79,76,1.15387825013953
"377","H",4,456511194431.79,77,1.14067431787039
"378","H",4,456511194431.79,78,1.13320394528326
"379","H",4,456511194431.79,79,1.14214266337089
"380","H",4,456511194431.79,80,1.13707975504062
"381","H",4,456511194431.79,81,1.15605609682354
"382","H",4,456511194431.79,82,1.15504845093552
"383","H",4,456511194431.79,83,1.1337212627795
"384","H",4,456511194431.79,84,1.15347163729888
"385","H",4,456511194431.79,85,1.13689120683241
"386","H",4,456511194431.79,86,1.12830874836909
"387","H",4,456511194431.79,87,1.14193894349519
"388","H",4,456511194431.79,88,1.14300561870956
"389","H",4,456511194431.79,89,1.13598565155836
"390","H",4,456511194431.79,90,1.1505553816768
"391","H",4,456511194431.79,91,1.1426292047334
"392","H",4,456511194431.79,92,1.12495074180155
"393","H",4,456511194431.79,93,1.12970487060053
"394","H",4,456511194431.79,94,1.12377529879881
"395","H",4,456511194431.79,95,1.13754841764727
"396","H",4,456511194431.79,96,1.14198572077717
"397","H",4,456511194431.79,97,1.12477535985516
"398","H",4,456511194431.79,98,1.12568322686667
"399","H",4,456511194431.79,99,1.12651481782698
"400","H",4,456511194431.79,100,1.14317539234407
"401","H",5,448788860883.049,1,1.11307613602926
"402","H",5,448788860883.049,2,1.14599970838249
"403","H",5,448788860883.049,3,1.15234820545143
"404","H",5,448788860883.049,4,1.14287755504822
"405","H",5,448788860883.049,5,1.15361144492403
"406","H",5,448788860883.049,6,1.1384788487853
"407","H",5,448788860883.049,7,1.14982969910239
"408","H",5,448788860883.049,8,1.15018281344778
"409","H",5,448788860883.049,9,1.15275508149117
"410","H",5,448788860883.049,10,1.14070365928238
"411","H",5,448788860883.049,11,1.14460621159538
"412","H",5,448788860883.049,12,1.15281072225661
"413","H",5,448788860883.049,13,1.1438680716944
"414","H",5,448788860883.049,14,1.13781495742811
"415","H",5,448788860883.049,15,1.13900198819439
"416","H",5,448788860883.049,16,1.15851776739393
