"","iso3c","hc_costs_total_low","hc_costs_total_med","hc_costs_total_high"
"158","TGO",395912.892053563,428166.670563914,461418.53462583
"159","THA",237873568.80694,280930962.655109,321506872.672824
"160","TJK",740292.444948808,946842.150967738,1141070.86431152
"161","TKM",6815353.88889868,8807288.57286469,9944656.87755819
"162","TLS",630494.259155951,695479.699375703,722039.8609417
"163","TTO",6285915.4151307,7235931.75979998,8824504.63541544
"164","TUN",8784930.17663825,10044008.4568365,11160654.3116174
"165","TUR",252682288.38067,290352921.49877,322449886.489944
"166","TZA",571578.754520393,709208.892057356,837289.479726573
"167","UGA",1322393.76759178,1570465.98836749,1670266.92612276
"168","UKR",46424300.5679356,55996950.8982162,65016037.754057
"169","URY",16604011.7365618,18565883.986484,21713592.6339332
"170","USA",12551283635.6271,13813557671.7697,15464736525.0255
"171","UZB",6051995.13641598,7853197.83999003,9424735.18935003
"172","VCT",73848.310117103,104926.650515277,140575.825188359
"173","VEN",0,0,0
"174","VNM",124274503.192712,138543647.611276,146558184.576386
"175","VUT",300.954926476277,2612.6852014836,66957.3542423416
"176","YEM",254268.811218074,300873.130396295,340210.764563199
"177","ZAF",54750365.7098217,63360705.3534095,71312460.8413794
"178","ZMB",526609.951431435,608290.336618179,668558.196224926
"179","ZWE",1803176.27487587,2079444.78895181,2351778.35829985
