"","iso3c","discmonqalys_pgdp_low","discmonqalys_pgdp_med","discmonqalys_pgdp_high"
"1","AFG",0.12311732754041,0.132513577685507,0.139732418538202
"2","AGO",0.273917730143924,0.294452895546878,0.321322537369387
"3","ALB",1.77847804302234,2.16384618980188,2.40220001347379
"4","ARE",2.06449798183841,2.27899047689107,2.65045656360148
"5","ARG",1.98763692860798,2.3171996803181,2.71710977410265
"6","ARM",0.932264194664163,1.05760704050396,1.14447485717955
"7","ATG",3.51484754458805,4.07410710616363,6.30708533769024
"8","AUS",4.07007140496034,5.06716881553571,7.98186216724238
"9","AUT",4.29024707686257,4.54835740369238,4.94691589017759
"10","AZE",2.65584781772136,2.95028816837315,3.09917432686437
"11","BDI",1.10291943146605e-06,3.57827168632358e-06,6.32976053198231e-06
"12","BEL",8.86155292360089,13.6225446721513,18.1914541296641
"13","BEN",0.056887139308072,0.0674506400251856,0.0794185586850543
"14","BFA",0.0218412122526147,0.0247372024301011,0.0310050009500934
"15","BGD",0.439758373029177,0.513068043059101,0.635388451133518
"16","BGR",2.48453799690674,2.96144165561653,3.2303628399011
"17","BHR",1.93389195243449,2.16873555205997,2.62468919351968
"18","BHS",2.41852091730524,2.84391618663737,3.12577215805546
"19","BIH",1.59027300730191,1.89806402522889,2.16276856227811
"20","BLR",1.66185476666613,1.92587214653437,2.33058427255515
"21","BLZ",1.32213876930451,1.6422561765185,1.80248749111108
"22","BOL",0.659634861130707,0.756746072652579,0.826704514865352
"23","BRA",3.52048412891564,3.9959807076216,4.26762354274972
"24","BRB",1.67343237143593,2.45310746872882,3.30653439386906
"25","BRN",3.66037086945942,4.25784696079666,5.46367004662648
"26","BTN",2.02171000995196,2.17114888404421,2.32766331318676
"27","BWA",0.526732471110786,0.684149032133464,0.799407994217391
"28","CAF",0.0644340572044703,0.0781759429238081,0.0901230494977263
"29","CAN",7.62164320322108,8.35106227197107,12.0812434043851
"30","CHE",3.80358761558705,4.80811660061118,7.13584272584633
"31","CHL",7.02673545610414,7.48567895412219,8.45175933891175
"32","CIV",0.193884607461732,0.218709914032381,0.237294177391051
"33","CMR",0.0917865471511093,0.110318941265925,0.127021779061109
"34","COD",0.00143108196387744,0.0016435237201879,0.00188254081035346
"35","COG",0.169793371057188,0.190209174831274,0.213694625672538
"36","COL",1.53902470346214,1.84468544704136,2.27474643747826
"37","COM",0.627039641115776,0.732380387694793,0.823671429787114
"38","CPV",1.10598642980282,1.2619375111734,1.36931286881655
"39","CRI",3.28320405873303,3.79091675177166,4.17534590203588
"40","CUB",NA,NA,NA
"41","CYP",5.2189351100714,6.6880546249397,8.1099241583561
"42","CZE",4.36867391841438,5.23835359179481,5.95272761022676
"43","DEU",7.53773175692129,8.11536684400563,8.85366866576097
"44","DJI",0.182295317771292,0.220505003488584,0.249669936549455
"45","DNK",5.85335176092862,6.40066968276814,7.07046924346197
"46","DOM",1.0563782962167,1.31897796549797,1.64015800465424
"47","DZA",0.156504300816661,0.195871520165558,0.257485130412158
"48","ECU",1.75206322005172,2.1213873476365,2.71183619621393
"49","EGY",0.39691220117562,0.46281242979802,0.523916571201282
"50","ERI",NA,NA,NA
"51","ESP",8.4152347221998,9.34675185701377,10.7535174284485
"52","EST",5.59005389890651,6.37868899052858,7.0062291337654
"53","ETH",0.0629440594971916,0.0760843914164338,0.085070417554851
"54","FIN",6.5465499419129,7.03265923312889,7.58076316246769
"55","FJI",2.92584359429226,3.36239175068987,3.92103607117188
"56","FRA",7.33202410845975,8.74283677027881,11.4229323840873
"57","FSM",3.94608679513588e-06,0.00058351850953859,0.120310765781071
"58","GAB",0.312572984204534,0.365497503100132,0.40614826780341
"59","GBR",5.42276650937721,7.28244683325628,11.3959949755062
"60","GEO",2.22236644688345,2.39327112354988,2.76372914195227
"61","GHA",0.156230567405507,0.17400644785494,0.19279907623137
"62","GIN",0.130166360796477,0.149445480561102,0.173308863537987
"63","GMB",0.133989971471238,0.14929416804441,0.165262078107444
"64","GNB",0.0921013340512667,0.108512790162484,0.129996242903182
"65","GNQ",0.320729748176227,0.617164929392344,0.744462950633381
"66","GRC",7.26921706856794,7.90878107443865,8.46080950242761
"67","GRD",0.199420480651058,0.276430515169454,1.2297725638418
"68","GTM",1.37026452776328,1.55202545232925,1.83530347558094
"69","GUY",2.12421094472165,2.38634983008424,2.56056402165101
"70","HND",0.566747092831492,0.72673035972836,0.80517461235486
"71","HRV",4.76869867932393,5.56173782531638,6.10602649731845
"72","HTI",0.00563035129298464,0.00689800312351329,0.00833170298018632
"73","HUN",3.78905330837175,4.5273979146577,6.03192397617646
"74","IDN",0.918543314871239,1.10351514243073,1.26504720830562
"75","IND",1.19010963517458,1.34373145821611,1.40439700713937
"76","IRL",6.79531153859019,7.22061679667526,7.5114144629454
"77","IRN",0.942414593307357,1.07749513832267,1.30089965661075
"78","IRQ",0.217827594839313,0.277333095469672,0.341577527884323
"79","ISL",6.60886734979208,10.3226890571868,12.9833573978002
"80","ISR",3.7708756978627,4.17773888238871,4.58923884962327
"81","ITA",7.12564763861642,7.82483853299574,8.54880172457564
"82","JAM",0.533530875775534,0.656499375157383,0.765537341909012
"83","JOR",1.7086004434871,1.90494203678606,2.05303494759718
"84","JPN",2.05974021209749,2.5842409099267,3.14897872547294
"85","KAZ",1.94842194426021,2.14486298506975,2.38718231825555
"86","KEN",0.173945565719256,0.198922305181741,0.21863590136661
"87","KGZ",0.182511953938261,0.251620893607005,0.342995111631487
"88","KHM",1.65624666581523,1.74709660918833,1.85320792099869
