"","iso3c","friction_pp_gdppc_low","friction_pp_gdppc_med","friction_pp_gdppc_high"
"1","AFG",0.985252348541761,1.04065881964169,1.11145859698673
"2","AGO",1.41210640347352,1.61246643791668,1.8520528100352
"3","ALB",0.754829612425648,0.897073839779485,0.976093496121023
"4","ARE",0.880145459437582,0.965494601091519,1.05966708114736
"5","ARG",0.713537690804203,0.819616718603194,0.965461799407666
"6","ARM",0.702896412165407,0.805868409958849,0.918242760149159
"7","ATG",0.863692347233984,0.979077405282116,1.17302621978527
"8","AUS",1.12310460822738,1.28857727657375,1.43146367073215
"9","AUT",0.916254338805595,0.971880582877862,1.04566821693567
"10","AZE",0.973835332127824,1.04459882515299,1.11871239984785
"11","BDI",0.0258024066883376,0.0535591234823886,0.12222050832565
"12","BEL",1.41384535042567,1.65498795905606,1.9139474692306
"13","BEN",0.368376091811171,0.458756213505673,0.559788730807496
"14","BFA",1.0684315506365,1.21078435396298,1.57017684637009
"15","BGD",0.620348737894068,0.760719720421928,0.967971719949358
"16","BGR",1.07603151590037,1.25609306548475,1.36254516662757
"17","BHR",0.745071387268152,0.822986779459517,0.945875371029784
"18","BHS",0.862950936657449,0.98250608736688,1.11211679393582
"19","BIH",0.929024566977324,1.05802236176643,1.16521631498329
"20","BLR",0.762831787954168,0.850339053538603,0.985735156660263
"21","BLZ",0.849430895678691,0.982049065241248,1.07009774563071
"22","BOL",0.712633638561093,0.800579177043081,0.851075884237787
"23","BRA",1.14006217270102,1.22420993168191,1.31425009250129
"24","BRB",0.675589275863156,0.870084700825982,1.1308623243104
"25","BRN",0.685274813469029,0.863903551839595,1.17605339000763
"26","BTN",1.27051985825173,1.39609485934796,1.50003961575322
"27","BWA",0.350569971527901,0.446808329545092,0.537391343451287
"28","CAF",0.883350383599315,1.076461403924,1.38938878197863
"29","CAN",1.34377738371984,1.42618545434352,1.61584778120165
"30","CHE",0.754538328916824,0.89724666394703,1.23345268485279
"31","CHL",1.37769345647244,1.42653767931192,1.47385584457448
"32","CIV",1.96418355443179,2.16942460440493,2.47157016697734
"33","CMR",1.96646706558124,2.22346139191311,2.50683028609196
"34","COD",1.81006022450198,2.08857053108052,2.46655172074663
"35","COG",3.64591080109804,3.94575559256288,4.45516823722549
"36","COL",0.616366717647637,0.726254044241013,0.945511418949464
"37","COM",1.27931130753355,1.48011475072346,1.68092927906684
"38","CPV",1.01461361650376,1.08611539204774,1.1538718210223
"39","CRI",0.884468518849076,0.965095732128238,1.01352863587743
"40","CUB",NA,NA,NA
"41","CYP",1.23307289429807,1.46848597352905,1.67056194887138
"42","CZE",0.947882891729964,1.08016724538905,1.2065406833638
"43","DEU",1.30065454196121,1.38654888573375,1.47199156121558
"44","DJI",0.619913944470635,0.758760362687432,0.940382285265698
"45","DNK",1.09179187944881,1.15268709980609,1.22185956142677
"46","DOM",0.686063009512276,0.805162024108784,0.930733283768881
"47","DZA",0.696928519500649,0.864904712476042,1.18319151637442
"48","ECU",0.829107214246712,1.04526609664831,1.33875347052387
"49","EGY",0.909295065288275,1.0235311685446,1.17117372897587
"50","ERI",NA,NA,NA
"51","ESP",1.28188704661014,1.3895709819986,1.48840706094294
"52","EST",1.07409962223461,1.19059574473247,1.29245967173599
"53","ETH",3.18816894408258,3.57317016444753,3.90045980411248
"54","FIN",1.04836266235875,1.12067453489186,1.1881074910412
"55","FJI",0.78940516664318,0.858148272004773,0.906748642902982
"56","FRA",1.23587794467198,1.36135561360893,1.55426655290781
"57","FSM",NA,NA,NA
"58","GAB",1.10374910712706,1.21121867071862,1.33802327685355
"59","GBR",0.969009287373399,1.15816320133422,1.53457038078653
"60","GEO",1.15374538321278,1.23972953829789,1.38947349907723
"61","GHA",1.6508344034174,1.81075145405237,2.02091393513366
"62","GIN",2.02424998778874,2.35368498736508,2.84006886474082
"63","GMB",1.03524173369165,1.16047050978879,1.30034758766145
"64","GNB",8.44918567948922,10.0619203717909,13.6572160299106
"65","GNQ",1.32193288340871,1.87460777871413,2.08716509980214
"66","GRC",1.19980637870739,1.28512102709931,1.37148778915347
"67","GRD",0.0904913312832582,0.135403747002055,0.370152025781265
"68","GTM",0.938943072263304,1.01371530228095,1.11015964033819
"69","GUY",1.08194708014871,1.18300483382909,1.26456870255532
"70","HND",0.499426519931827,0.605182996856188,0.670274431698904
"71","HRV",0.922244656379783,1.08507744906205,1.21073388116032
"72","HTI",0.351924202117929,0.452591343306389,0.575102035095463
"73","HUN",0.998491453091073,1.11091163731014,1.35297597886606
"74","IDN",0.865933949781944,1.08083327211524,1.23679895206414
"75","IND",1.08804918630139,1.16337552812438,1.23307858292273
"76","IRL",1.41264956933653,1.47737794451705,1.53541505019464
"77","IRN",0.533872576185526,0.619111493057631,0.752241186364678
"78","IRQ",0.39697849378742,0.502646812661341,0.591061288086178
"79","ISL",1.3128275242446,1.76453437975029,1.92657822267881
"80","ISR",1.08366128016105,1.21263791135269,1.37539490680294
"81","ITA",1.15128714367129,1.29005804490236,1.3901632180945
"82","JAM",0.587017476168672,0.667343773090721,0.759664608808774
"83","JOR",0.86230031339362,0.979384463621079,1.09543136255075
"84","JPN",0.421141487070401,0.503045195133887,0.586262481458901
"85","KAZ",0.660190559881892,0.715474631080908,0.7771722486663
"86","KEN",0.983412153247635,1.10318287671476,1.26971075801111
"87","KGZ",0.628029681738587,0.764369051566099,0.941514732334151
"88","KHM",1.32201822349842,1.41760945212105,1.53732675587394
"89","KOR",1.34978210890494,1.49247212462043,1.61559240601329
"90","KWT",0.595015608722155,0.664709923403785,0.88872495361441
"91","LAO",1.25201838178695,1.32431260021264,1.41725635559535
"92","LBN",1.42841103982723,1.65506261177777,1.93211438800625
"93","LBR",0.495231444800458,0.574681776076389,0.74425754238455
"94","LBY",1.4089761534677,1.5239998257374,1.6432201982956
"95","LCA",0.881951493260601,0.959838068981777,1.1149003326665
"96","LKA",1.06433561428377,1.15054850203641,1.29860089468008
"97","LSO",0.433045532605587,0.519012758717296,0.611600534452051
"98","LTU",1.06092245542898,1.16985791261878,1.21490724260202
"99","LUX",1.22577432375661,1.33973075940123,1.51867039122712
"100","LVA",0.860797895717615,0.981956345356871,1.04348279341657
"101","MAR",0.835166085846241,0.882301255082122,0.945461023286359
"102","MDA",1.45392692216014,1.60271267521789,1.72714723935687
"103","MDG",1.17723777204277,1.40844070174902,1.60894045774759
"104","MDV",1.36491945800823,1.45725876685508,1.62649569188871
"105","MEX",0.607243719804259,0.675352296536565,0.721199849304324
"106","MKD",0.919240461934766,1.05424862794654,1.21385619356723
"107","MLI",1.8435175488759,2.33579825401148,2.79772140259012
"108","MLT",1.12938827744068,1.23116850308281,1.39077580152174
"109","MMR",0.652585202846036,0.834943093749992,1.05721799749934
"110","MNE",0.775792599119496,0.897125201914935,1.09917682240896
"111","MNG",0.971834237763364,1.0629395096063,1.18209692523893
