"","iso3c","lg_total_low","lg_total_med","lg_total_high"
"168","UKR",1540017.94967142,1819251.10014778,2074276.23841714
"169","URY",574093.316437572,776578.580226475,951112.123064017
"170","USA",31531579.7709048,34490561.285192,37552958.8993111
"171","UZB",583691.546856306,812209.659971485,1009352.77598229
"172","VCT",1786.65361014989,2446.42277859156,4474.20082055456
"173","VEN",537890.454002536,695774.516295193,986873.330416882
"174","VNM",7686355.30294455,9445911.38058295,11662372.7080446
"175","VUT",7.18571213151712,49.8837905205805,2829.30896558813
"176","YEM",80518.2680089992,93122.5790235374,104264.168180206
"177","ZAF",1235467.54312074,1553053.41836223,1903719.40488785
"178","ZMB",73471.755492764,85571.5085478685,94784.3316421034
"179","ZWE",181030.031225431,207422.212247956,236388.195897597
