"","iso3c","inf_pp_low","inf_pp_med","inf_pp_high"
"1","AFG",0.592915052643222,0.640121776376445,0.68556242708027
"2","AGO",0.935018321247613,1.07516724610332,1.25048495539567
"3","ALB",0.354203167064606,0.4089300533991,0.44638667098641
"4","ARE",0.587648214321273,0.642831712501841,0.70764452888018
"5","ARG",0.429271228589214,0.486601571763767,0.577965803943386
"6","ARM",0.315953070932956,0.371335412620547,0.444529352115164
"7","ATG",0.477196662919629,0.546686380087485,0.651738029547765
"8","AUS",0.727703974989492,0.827535448341973,0.904079184067395
"9","AUT",0.514481954816457,0.545580348905375,0.590059507116094
"10","AZE",0.503860194675485,0.541760772109959,0.587624551295652
"11","BDI",0.0192487979803323,0.0400731266502068,0.0932259134288867
"12","BEL",0.798519605867268,0.90398583377261,1.02681679159311
"13","BEN",0.243637851606236,0.305615971465786,0.380475535526105
"14","BFA",0.681657827356134,0.771771942564399,1.00616203444969
"15","BGD",0.363716607213724,0.451912044607382,0.579053651557174
"16","BGR",0.357603217084354,0.421282844736835,0.456040898343499
"17","BHR",0.418307007905284,0.460419241134314,0.527627797852291
"18","BHS",0.504976842087905,0.574806366348962,0.658982933429752
"19","BIH",0.424663608266791,0.467119354078357,0.505474210199603
"20","BLR",0.345430533065263,0.380006040865643,0.437909139873708
"21","BLZ",0.492336180489199,0.564010889091443,0.614480360437336
"22","BOL",0.430135911417137,0.481153688499906,0.513181209410259
"23","BRA",0.638598621604406,0.683106975267338,0.733414879805686
"24","BRB",0.3614289330674,0.459799031943668,0.608595464571457
"25","BRN",0.424863748053744,0.554983109645488,0.775980943453168
"26","BTN",0.786001334873174,0.869112053525645,0.938099730483183
"27","BWA",0.184408680741873,0.23989040555589,0.298801726447431
"28","CAF",0.597676576194747,0.727483610752943,0.964938492651467
"29","CAN",0.806163318201062,0.85237924739587,0.945661444449749
"30","CHE",0.437712782184344,0.526347748493363,0.714591477675897
"31","CHL",0.865624259738164,0.893513625040429,0.919611435837939
"32","CIV",1.37579549854276,1.51483519171494,1.74335631794822
"33","CMR",1.22754007337727,1.3637918507657,1.51657462876
"34","COD",1.26856556070691,1.46123155961233,1.74379988745591
"35","COG",2.40779811879301,2.62953654539583,2.92615923650861
"36","COL",0.356187726345974,0.422661728026241,0.565213472159424
"37","COM",0.782788176042675,0.903290561991704,1.03396896258084
"38","CPV",0.543554355597841,0.585431777266406,0.629562990927742
"39","CRI",0.503518529523144,0.542439130617963,0.571383925278669
"40","CUB",0.650272118741837,0.796173196499276,0.858489619313981
"41","CYP",0.541822390248516,0.635941334832918,0.715515513506524
"42","CZE",0.501540802521481,0.56585115448181,0.634600167180402
"43","DEU",0.705073357196685,0.761152237166162,0.803891620167329
"44","DJI",0.28116735162922,0.350789702536809,0.502045134807008
"45","DNK",0.638214762275259,0.670809501894032,0.705277542571479
"46","DOM",0.447886093405548,0.522590776134987,0.598649306649857
"47","DZA",0.360627052487434,0.466257605731123,0.668540336937251
"48","ECU",0.519165450533421,0.662083692009404,0.853866070206545
"49","EGY",0.564855545781436,0.641980050858185,0.750838517541062
"50","ERI",NA,NA,NA
"51","ESP",0.735653024534544,0.794947812245844,0.840058439573309
"52","EST",0.585107855524237,0.641554354132754,0.692069739020539
"53","ETH",1.91875946109883,2.15248748899564,2.40662435582226
"54","FIN",0.607305498178655,0.647463246780466,0.685908866630631
"55","FJI",0.429442859241668,0.48402907367204,0.521138754847575
"56","FRA",0.716187531729609,0.78052407171483,0.885628568419527
"57","FSM",NA,NA,NA
"58","GAB",0.696824190672809,0.767009032018845,0.867192758298678
"59","GBR",0.540243389755102,0.64828130667476,0.850910433186773
"60","GEO",0.448473346800245,0.480556204764184,0.529726319868999
"61","GHA",1.03320092394148,1.14259560135948,1.28762108058525
"62","GIN",1.28025971611888,1.49962176628228,1.82422432780313
"63","GMB",0.68236939788487,0.777758281663445,0.875169462439417
"64","GNB",4.89432829321373,5.8357306733743,8.17131600994267
"65","GNQ",1.09970929294536,1.53676933361532,1.70282916671263
"66","GRC",0.625152013047868,0.675719348977089,0.722889715257572
"67","GRD",0.0370107923515937,0.0596156241794223,0.203321986211062
"68","GTM",0.465980208810234,0.520965674482004,0.588112321919787
"69","GUY",0.605978858890137,0.657875513614939,0.707499611720515
"70","HND",0.297587595956404,0.354701796343699,0.407600089450881
"71","HRV",0.417870114229031,0.490730848670508,0.560068775348148
"72","HTI",0.168939856247154,0.225333742605258,0.296392990394465
"73","HUN",0.570730445854077,0.638310897010039,0.762928902046966
"74","IDN",0.497029333754711,0.631812756581257,0.732449979617796
"75","IND",0.604242539381065,0.659580019779894,0.705937704104328
"76","IRL",0.843746238160364,0.879515316014544,0.912853198022803
"77","IRN",0.300274292187591,0.352251975783577,0.432048683790675
"78","IRQ",0.240392125980614,0.305370023664573,0.357332129593273
"79","ISL",0.871315556548471,1.12646816020681,1.21279360622231
"80","ISR",0.725754468306986,0.820754073837167,0.941010607931543
"81","ITA",0.624713471153231,0.697955582490776,0.747319345688345
"82","JAM",0.298235044292308,0.338223514437803,0.391643818685225
"83","JOR",0.542455483404369,0.625145537291269,0.707656921751712
"84","JPN",0.249507524181081,0.296690186252594,0.343463750213775
"85","KAZ",0.345514274599881,0.377049348630031,0.409904817483948
"86","KEN",0.516433662513831,0.591892480571884,0.702441195725085
"87","KGZ",0.395643886640873,0.481473254285324,0.585007334943566
"88","KHM",0.616931691825441,0.66202124202162,0.720367137264092
"89","KOR",0.821173903640905,0.902136806389578,0.970470658913209
"90","KWT",0.356969554655253,0.400185778878298,0.54753901691611
