"","income_group","mean_monqalys_pgdp_low","mean_monqalys_pgdp_med","mean_monqalys_pgdp_high"
"1","H",35536.4064105393,36874.1540262354,38859.5297071255
"2","UM",19985.2702782789,20654.5473163963,21401.040142914
"3","LM",14354.1836479161,15474.3070954017,16014.4053009313
"4","L",507.733200956444,534.221695705206,558.62351547525
