"","iso3c","discqalys_averted_sum_low","discqalys_averted_sum_med","discqalys_averted_sum_high"
"145","SLV",262613.416894037,307299.068271881,326323.848520946
"146","SOM",32716.998591465,37473.7497657149,42259.2445107704
"147","SRB",444688.257648204,524870.696146603,610787.338264651
"148","SSD",7773.77614003125,11350.4448134124,13777.5292309091
"149","STP",4578.59953780769,5443.21896287808,7577.71899663022
"150","SUR",22472.8488184302,25726.9462831584,27289.0085802472
"151","SVK",277600.748869582,327403.909049594,352906.52579604
"152","SVN",139301.251741579,155291.817893172,173798.464126287
"153","SWE",535749.451993666,603933.484010244,692809.868098264
"154","SWZ",10888.0300311617,13079.8520409128,15269.4044974251
"155","SYC",4746.04807839924,6070.71203597068,7993.56814777784
"156","SYR",30789.3272086373,39376.6161529294,49245.16016723
"157","TCD",6846.37230590868,9386.65625361708,11507.114343117
"158","TGO",63222.993066966,68209.9321391291,74582.4180950978
"159","THA",4558539.10069821,5604012.10922094,6529701.76830002
"160","TJK",86891.6100713708,123560.198166195,156468.714604776
"161","TKM",121340.992190813,175150.506224988,211474.08095804
"162","TLS",38594.506542837,42121.1619233543,44249.4603471336
"163","TTO",60195.5545971863,71245.7613439503,86541.4809110496
"164","TUN",346567.346029343,400382.136908629,449963.689510183
"165","TUR",4268717.83968619,4967803.1248654,5474120.67824295
"166","TZA",58424.2743614921,79076.337845078,94650.542572257
"167","UGA",235311.274463248,267152.693049446,290004.042810412
"168","UKR",1208074.13175304,1431016.90502047,1632068.23379865
"169","URY",411815.803381519,555248.95260594,681767.706929878
"170","USA",23716355.4610218,25941479.8457185,28253182.859234
"171","UZB",433922.932073323,599986.714712434,743102.347206447
"172","VCT",1350.14858903416,1856.4169805275,3344.76173878477
"173","VEN",400502.17385457,512938.59730794,721973.738815958
"174","VNM",5720169.18215071,6937608.91064241,8457967.73880075
"175","VUT",6.50926922875674,60.1846890683384,2677.56800023317
"176","YEM",63008.6501400077,73268.9310475326,82310.7555946824
"177","ZAF",996863.370131593,1226735.52104032,1467237.9397642
"178","ZMB",57906.6584385628,67438.5952901452,74717.958580067
"179","ZWE",144536.265043772,165671.675521311,187136.898598275
