"","iso3c","averted_inf_qalys_low","averted_inf_qalys_med","averted_inf_qalys_high"
"1","AFG",2.50461895729844,9.61473948127049,25.5764811101463
"2","AGO",2.30385480256233,17.5472109357477,41.4739931728759
"3","ALB",0.0892760684219868,2.03194097325761,5.25549055760769
"4","ARE",0.573655449195661,16.4210363260323,110.963827987988
"5","ARG",28.479308369393,93.1763580419961,127.956755805442
"6","ARM",0.439412972119238,1.18989368895691,1.8062830222286
"7","ATG",0.0427428949193149,0.189059632590062,0.327536397612614
"8","AUS",22.5521931801652,95.3060444044621,138.714521913811
"9","AUT",1.33255634831611,20.4148534186346,30.348680722249
"10","AZE",1.74532760645373,14.7500309622229,29.9298447191525
"11","BDI",9.03957737566591e-06,0.000218305920054218,0.000896696087720845
"12","BEL",18.5324613128232,47.4628630932188,60.3847900156177
"13","BEN",0.409022178683063,1.11886951600796,3.44447048653064
"14","BFA",0.409961895136679,1.06319136722942,3.22225058164286
"15","BGD",33.1280590500456,111.538414796541,162.60463154951
"16","BGR",0.313762227677615,2.26013893492634,15.3545080068619
"17","BHR",0.255033587876453,1.97310584019411,9.08136698461039
"18","BHS",0.108048573291217,0.477375729724937,0.930436010749353
"19","BIH",0.417555549474622,2.14112882128315,3.95490315781159
"20","BLR",1.31083050527474,6.62056494820026,12.994466010953
"21","BLZ",0.112020442641426,0.540952886778743,1.30700695115639
"22","BOL",3.84054918891488,11.7620219505781,17.2343732979864
"23","BRA",180.377445300645,551.05677847755,783.91911154413
"24","BRB",0.149452046501226,0.362752684149052,0.622440626775967
"25","BRN",0.196407650742707,1.0926816236242,2.3964137951718
"26","BTN",0.547920778814936,3.04270214634249,4.80315837053103
"27","BWA",0.30002643394197,0.965573705148584,1.72781114660952
"28","CAF",0.172483251245899,1.06088967656575,3.79147739387488
"29","CAN",50.8559809071318,149.384177813398,195.805629444447
"30","CHE",1.65966826698617,18.3180517319847,33.223826250281
"31","CHL",27.9466334759187,83.5462246703476,119.161195654822
"32","CIV",1.42667519753845,10.1450576056913,26.9591960752733
"33","CMR",0.9509852931298,3.59550321119343,10.3143772804073
"34","COD",0.0519354746888669,0.417721807346719,1.27056677666647
"35","COG",0.272742813746793,1.81525852849331,4.08292398019527
"36","COL",20.881265685393,64.6480847733505,103.917344599247
"37","COM",0.102559294199303,1.21322574747281,2.59956565413283
"38","CPV",0.15082177388974,0.837986875654245,1.54591079949452
"39","CRI",3.40316830935125,10.2802892491031,16.1824277791875
"40","CUB",19.5400604525844,41.1139009238622,72.8974641397787
"41","CYP",0.813258637638213,2.74306563506838,5.45378868385767
"42","CZE",1.94339699751417,21.4629152094497,39.0960547723679
"43","DEU",102.995527751966,265.89994332185,384.587773779409
"44","DJI",0.0431251034421032,0.12373848325741,0.263912219442721
"45","DNK",2.96447390720098,20.7973117955838,25.4160075842861
"46","DOM",2.6789336189458,16.476963838928,34.2595161768181
"47","DZA",4.41251082414834,14.9596727682078,28.0950106084356
"48","ECU",8.05706045681754,44.2482924794526,86.4698354546861
"49","EGY",17.1750620013303,64.5476853646496,100.105728601163
"50","ERI",0,0,0
"51","ESP",78.5844673284331,158.343948280892,275.710464110437
"52","EST",0.495844416041632,3.20606818705388,4.83960505800722
"53","ETH",6.24688011673257,13.4787494601843,35.8507002886995
"54","FIN",1.81855110865566,17.4138502021484,22.5935864522931
"55","FJI",0.126565082618599,1.62031236139756,2.90057218479358
"56","FRA",83.9067354450124,222.344516359536,292.376367320556
"57","FSM",1.41751605123502e-07,0.000115466629568376,0.0423187902803642
"58","GAB",0.215608321994724,0.645612757238475,1.15931182762341
"59","GBR",38.4251028564573,195.882418365979,289.336959719113
"60","GEO",0.460291897846453,2.68093748985774,5.58631616661267
"61","GHA",1.50706138066166,7.43462487545275,17.2333729502331
"62","GIN",0.667587202975994,5.1553328958964,16.5733405436395
"63","GMB",0.124353269790898,0.769152198629942,2.07161132541131
"64","GNB",0.084536875489035,0.585146417134848,1.57618015276975
"65","GNQ",0.108137629696019,1.51937437635475,3.37999845914454
"66","GRC",2.94530458594508,26.6621267945048,45.3899129851521
"67","GRD",0.00463336137505522,0.0111666230538189,0.045999693953539
"68","GTM",4.87804727278963,11.9183137350958,20.2705782454222
"69","GUY",0.259944457959135,1.20614584080614,1.77915386295597
"70","HND",2.36215486688376,7.85430484549516,12.8807639035928
"71","HRV",0.168245232195891,4.85636308291846,12.2657620489271
"72","HTI",0.0115315782501721,0.0779778876598595,0.197855397557646
"73","HUN",2.77968035207844,25.0818433379997,39.2595867345365
"74","IDN",93.6546610954368,344.505148463361,579.414992913749
"75","IND",520.853908037892,1814.11936586752,2824.42945016427
"76","IRL",6.59113873140394,19.5977001073978,29.6585944849831
"77","IRN",27.9821077599156,87.1802517070416,194.134195533539
"78","IRQ",2.48205573040543,8.22535648523284,18.5308663536156
"79","ISL",0.620040203028557,1.80527444818889,2.20981910843728
"80","ISR",6.22036780357407,25.7456961966355,40.7472222242078
"81","ITA",31.8866215522114,182.514569555776,286.452480320928
"82","JAM",0.535764624350608,1.03531840483568,1.50233665891354
"83","JOR",2.57382207944143,12.6945359955957,25.3542236281128
"84","JPN",62.8086458495219,157.939159189042,284.626362657209
"85","KAZ",4.29283374243806,19.4523596239853,36.5179244934828
"86","KEN",3.18849571637096,10.8406161427284,18.7900563546876
"87","KGZ",0.467842639132339,2.67873947317811,4.39300738683976
"88","KHM",6.16931583796611,47.4491448810558,97.9761913654263
"89","KOR",75.1833273796584,233.344251735225,328.446969460077
"90","KWT",0.447720568546441,5.50344621283921,19.4329038036076
