"","iso3c","vsl_total_low","vsl_total_med","vsl_total_high"
"107","MLI",280354134.315454,391851458.620416,479563885.188975
"108","MLT",16993665413.9683,19450227770.7874,22589611425.3638
"109","MMR",10884306493.0466,12482164698.667,14560724698.6772
"110","MNE",3032232425.81199,3596019616.36426,4418827898.52991
"111","MNG",5869705046.69481,6288159560.88588,6801161221.60682
"112","MOZ",734859564.345524,913450170.819832,1137684979.42284
"113","MRT",929849435.85194,1191734581.17093,1408777718.2773
"114","MUS",7592226401.18201,8505823822.63706,9349465009.1478
"115","MWI",758904985.898346,821019788.473248,869852227.691371
"116","MYS",230471094865.174,255696572907.851,301519290727.789
"117","NAM",829376951.319187,1098856101.82736,1297410005.43451
"118","NER",627909889.28755,785153262.087371,1062543334.7052
"119","NGA",20878102950.4976,23044647639.7239,24516219379.9975
"120","NIC",953096004.366802,1154086639.41779,1310956072.77682
"121","NLD",834590643753.039,931544041470.651,1061143602308.73
"122","NOR",404324132084.468,452155847115.752,486474450279.235
"123","NPL",7654038573.91327,8751553873.46615,11523633896.6924
"124","NZL",151623309054.248,225072473154.712,286880833804.637
"125","OMN",10148983962.5356,12966142206.1362,21503699635.4565
"126","PAK",50113888541.5374,56785275743.8705,69545568688.2345
"127","PAN",22721362014.6002,28291395120.7051,34457541030.6477
"128","PER",35197619549.1457,48252950987.2019,63591156872.2201
"129","PHL",144200605549.204,168868196777.463,199703459265.577
"130","PNG",397647026.797492,504438305.185631,621941161.707256
"131","POL",412691845266.78,458436306933.568,493209957228.984
"132","PRK",0,0,0
"133","PRT",446091677489.175,478381191370.418,631376692253.392
"134","PRY",3767205850.80139,4767588657.38294,5270893234.62185
"135","QAT",56629669965.7491,75093422921.4505,93375515582.089
"136","ROU",154555390379.94,183731050000.224,206092785236.826
"137","RUS",1292218228410.27,1399123845519.79,1495617168928.74
"138","RWA",1688229339.92567,1912161891.22835,2167461300.00684
"139","SAU",364690142595.638,406838523089.988,456438725922.968
"140","SDN",928467003.166228,1261702439.26826,1637233773.54119
"141","SEN",1660196075.28381,1908416865.25568,2140399413.2603
"142","SGP",796068446929.164,937437307779.346,975694859460.019
"143","SLB",5810426.0611491,65979963.9857768,273366912.185834
"144","SLE",205129887.372991,296070335.815074,358159832.72855
"145","SLV",11904086129.487,13998244564.359,14869357548.7587
"146","SOM",242210164.618426,275349466.395995,310472099.049238
"147","SRB",50844060008.7805,59487382136.907,70090808926.0071
"148","SSD",0,0,0
"149","STP",99420812.2044204,121617798.008225,162603026.266473
"150","SUR",1207018211.9898,1400249256.51827,1482140184.72275
"151","SVK",66264585372.617,77938483962.0341,84094502536.6139
"152","SVN",41227574501.6881,46137811700.2198,51907128583.513
"153","SWE",328163761041.315,371072839040.76,428007686563.324
"154","SWZ",545879037.028387,645268614.975124,753722340.730341
"155","SYC",749428745.51698,957882174.07531,1255952453.38859
"156","SYR",284426679.013759,360001793.673355,455156249.574078
"157","TCD",62779810.859774,87447236.9712648,111180663.114266
"158","TGO",641559683.191679,690973061.123753,743658726.17655
"159","THA",326345667074.567,399116215410.93,466396266978.89
"160","TJK",975736102.608187,1361961424.29864,1697533726.89542
"161","TKM",7947170773.0418,11731452768.4492,14395293716.9265
"162","TLS",843785587.897027,939577678.976108,991093254.063314
"163","TTO",9921698061.58754,11785738413.0431,14593129981.1661
"164","TUN",14029281999.2805,16206545122.6823,17800585546.6595
"165","TUR",444801355449.089,520654235111.441,578508888136.743
"166","TZA",822380145.967858,1098282745.08001,1314339017.71319
"167","UGA",2191087259.885,2662802145.3518,2823289078.71579
"168","UKR",67668531241.3942,80715392755.9873,92474889531.9516
"169","URY",72692049560.6104,98246932335.0044,122343912625.443
"170","USA",18274187835555.1,20005544639322.4,21761682135249.9
"171","UZB",10030170599.543,13875700820.3993,17009628782.6959
"172","VCT",131054941.462823,187706869.226344,346319469.898207
"173","VEN",0,0,0
"174","VNM",218316435435.211,263482011502.59,318488559470.17
"175","VUT",390257.090336774,1913276.92564731,73569173.1259477
"176","YEM",0,0,0
"177","ZAF",77053638312.4876,91118848018.6734,105421715255.786
"178","ZMB",825715839.193757,991439541.075849,1100781288.01434
"179","ZWE",2942595211.42374,3381615236.44957,3925584323.16085
