"","iso3c","undiscqaly_pp_low","undiscqaly_pp_med","undiscqaly_pp_high"
"101","MAR",0.0981076110656916,0.113977410956788,0.132068289517792
"102","MDA",0.138616085274623,0.157581031799398,0.169445517327501
"103","MDG",0.100367967527054,0.128409215669418,0.147567841332056
"104","MDV",0.123914584955297,0.136930057274519,0.162408193003839
"105","MEX",0.0877724080687482,0.103857607684652,0.116571268740604
"106","MKD",0.131179431495483,0.156394348487535,0.181355476058426
"107","MLI",0.130201408892262,0.183923566856219,0.222575896503569
"108","MLT",0.184667970978097,0.209475737043715,0.246572785010666
"109","MMR",0.0756673182743703,0.0912515222184691,0.109106344291757
"110","MNE",0.13010625518244,0.153141845044066,0.185585685256768
"111","MNG",0.100668630111084,0.107854136423559,0.116972852357859
"112","MOZ",0.0366941330759136,0.046220121715842,0.0586167118060049
"113","MRT",0.101748241244401,0.133379552119824,0.159410992498429
"114","MUS",0.103466847134576,0.116259564643352,0.128613532459475
"115","MWI",0.222681558447452,0.238285192839364,0.250472542900674
"116","MYS",0.117862582987089,0.134505403567598,0.162815789031649
"117","NAM",0.0546667103379131,0.0730803726068271,0.0860958094771006
"118","NER",0.210144916920711,0.2738376922975,0.414177684256044
"119","NGA",0.321723500681458,0.350277349332626,0.370352247380829
"120","NIC",0.022634364998447,0.0273062681435945,0.0321290697602883
"121","NLD",0.158246189723507,0.176918315528678,0.201739604778898
"122","NOR",0.183764087877756,0.203116694029623,0.218630800294048
"123","NPL",0.0813590364644669,0.0921399549724997,0.121483844456557
"124","NZL",0.162191257823924,0.231463182624039,0.291662956610759
"125","OMN",0.0254961538874261,0.0349254846963526,0.0682809429766533
"126","PAK",0.077188807980769,0.0898505335981264,0.108829184592282
"127","PAN",0.0974032444920765,0.121887949630788,0.151732201269249
"128","PER",0.0381862598715195,0.053178968661022,0.072399002768443
"129","PHL",0.117293308392607,0.141803085402729,0.177407624432249
"130","PNG",0.0860286378571273,0.110518868140298,0.139025829049679
"131","POL",0.136926300215251,0.150375974387283,0.161529010971416
"132","PRK",NA,NA,NA
"133","PRT",0.250438475137236,0.26769791188522,0.359483488451509
"134","PRY",0.0256971868201093,0.0315382406275027,0.0350211980091744
"135","QAT",0.0738150710419407,0.100845227228825,0.130411907033866
"136","ROU",0.140264433873663,0.165345540350563,0.186875814544073
"137","RUS",0.178958001866489,0.191732311162464,0.20592699590908
"138","RWA",0.0654867039243003,0.0759525129254569,0.0873471073871636
"139","SAU",0.0963388669675392,0.10757377489694,0.121875644330081
"140","SDN",0.0919241003244421,0.124359904891367,0.157365050241627
"141","SEN",0.139017677645205,0.159040424985328,0.178147921386379
"142","SGP",0.394070402030611,0.477523782860956,0.499260569195062
"143","SLB",NA,NA,NA
"144","SLE",0.07421256944387,0.110458777028391,0.134262234798501
"145","SLV",0.0903812767443018,0.105602582332724,0.112166771107595
"146","SOM",0.0657563295514817,0.0753557062620186,0.0846177077963333
"147","SRB",0.14358946289951,0.169535572248064,0.196904440564872
"148","SSD",0.0596886367265598,0.0878173001774816,0.106105100668921
"149","STP",0.138281457053319,0.163950587133228,0.234591493421225
"150","SUR",0.137354660736075,0.156904277316111,0.166538595928214
"151","SVK",0.143777336215815,0.169464039654868,0.182605033321771
"152","SVN",0.168084644812515,0.18702186876234,0.208755034345875
"153","SWE",0.107175810527411,0.120690701495835,0.138128302057899
"154","SWZ",0.0494462388383963,0.0593424797152004,0.0694994046900007
"155","SYC",0.0846206071449385,0.10841627165516,0.142912889499274
"156","SYR",0.0569700655100595,0.0733362719972092,0.0910184222457545
"157","TCD",0.118798250420718,0.161219569082062,0.197998850510538
"158","TGO",0.114826983615351,0.123694694788569,0.135798939456762
"159","THA",0.149633054422611,0.18394088497393,0.214522342760706
"160","TJK",0.047349818322299,0.0675986455707468,0.0855907939514295
"161","TKM",NA,NA,NA
"162","TLS",0.112172921567377,0.121907441861237,0.128081838873218
"163","TTO",0.130289763716543,0.154212838472882,0.186211108155331
"164","TUN",0.090546159565911,0.104462050726892,0.117991116674077
"165","TUR",0.12062147249664,0.140196029996329,0.153889546898789
"166","TZA",0.072830633983313,0.0994115318093185,0.11809654210226
"167","UGA",0.262994660202964,0.295601658322899,0.322998776997776
"168","UKR",0.128419199693593,0.151784903414426,0.173091582295053
"169","URY",0.221445262280521,0.298646397416794,0.365020627421252
"170","USA",0.161458860732856,0.176721296814058,0.192285722614003
"171","UZB",0.0578631281255999,0.0800872705269889,0.0995643919841818
"172","VCT",0.0773193561408658,0.105381225184104,0.19050451055896
"173","VEN",0.0531055526971641,0.0683234543227961,0.0967602894483079
"174","VNM",0.144056740306471,0.176321373242068,0.216774058600024
"175","VUT",0.000171995537134678,0.00160177412944075,0.0777633589763048
"176","YEM",0.338978584522099,0.391402490877984,0.436677689897703
"177","ZAF",0.0859657822924339,0.10796851671914,0.13107271384168
"178","ZMB",0.100386089268662,0.115978068492989,0.128406932939748
"179","ZWE",0.0668130029462048,0.0767161515400819,0.0870090742814328
