"","iso3c","averted_deaths_undiscqalys_low","averted_deaths_undiscqalys_med","averted_deaths_undiscqalys_high"
"148","SSD",9648.42531957635,14323.3360980823,17340.616937005
"149","STP",6128.44485578565,7334.67067826377,10575.4577053888
"150","SUR",29719.144324816,34067.202142891,36139.5221391237
"151","SVK",364797.596308234,430191.686979371,463709.210050095
"152","SVN",190972.008078879,212606.081306906,237259.734917831
"153","SWE",744834.731722051,840577.296987697,962758.827047507
"154","SWZ",13227.5712703308,15937.5795246998,18664.5028064273
"155","SYC",6250.14092563281,8032.43772555238,10603.209104817
"156","SYR",39548.3501075753,51023.2933304354,63456.8993258145
"157","TCD",8460.93999784602,11511.9396126925,14084.2230010219
"158","TGO",81084.3735049939,87470.7091332197,95924.3209757452
"159","THA",6236235.68498168,7692067.19499555,8987059.37953437
"160","TJK",111920.660295433,160421.69383296,202284.003905799
"161","TKM",159839.042429485,234503.85104332,282857.020196332
"162","TLS",52194.0810099981,57045.5236294095,59955.2810927442
"163","TTO",82179.8256261549,97553.839209283,118107.865362316
"164","TUN",460336.132904395,530861.89665402,598829.146210421
"165","TUR",5917693.939444,6884236.11688239,7564830.16635645
"166","TZA",74129.1227666869,101504.531855291,119847.37237607
"167","UGA",307184.229672653,347410.110942181,379166.259429816
"168","UKR",1545486.24052397,1825714.44168623,2081581.35836123
"169","URY",575557.28648892,778558.451361067,953576.048969684
"170","USA",31615039.9831331,34582133.84324,37652258.3197058
"171","UZB",585145.954320205,814228.98760424,1011821.29541555
"172","VCT",1791.64419264385,2453.58357527821,4487.07547670541
"173","VEN",539220.223455051,697465.415440786,989202.86812327
"174","VNM",7706513.90050943,9470194.69713216,11691725.5980685
"175","VUT",7.2222434780086,50.0520721614855,2836.16681782652
"176","YEM",80774.4586009612,93427.4600186702,104616.647246608
"177","ZAF",1239458.05093338,1557736.54834208,1909144.27646538
"178","ZMB",73729.8406006576,85889.9752558293,95124.4195987922
"179","ZWE",181585.370197217,208040.596502564,237098.10488868
