"","income_group","vsl_pp_gdppc_low","vsl_pp_gdppc_med","vsl_pp_gdppc_high"
"1","HIC",131.212463205557,136.161218404344,143.495773715315
"2","UMIC",108.394016624232,112.470519134566,115.621841948024
"3","LMIC",103.52594411842,110.035040097203,114.211625450558
"4","LIC",111.55204732509,118.54164601326,123.821233476959
