"","iso3c","undiscmonqalys_pp_gdppc_low","undiscmonqalys_pp_gdppc_med","undiscmonqalys_pp_gdppc_high"
"1","AFG",1.86443997664602,2.00351864563391,2.11120089205546
"2","AGO",4.0701888187493,4.39394629276983,4.79414626821206
"3","ALB",6.89414304712913,8.39151573958733,9.30122104565602
"4","ARE",3.40045416081989,3.74923461360664,4.3840492805984
"5","ARG",4.04378116532889,4.70165964271286,5.51959857293633
"6","ARM",6.72203765899624,7.63139594384636,8.28415731202862
"7","ATG",7.94914341570655,9.22376690130051,14.5463250684124
"8","AUS",8.15763586512057,10.1710816142309,16.1336941759936
"9","AUT",9.30236656364768,9.9002525576068,10.7820426857712
"10","AZE",8.00295480047487,8.8766258641713,9.34692812118577
"11","BDI",0.01560338361125,0.0544608043129324,0.0955746064864931
"12","BEL",16.2751093507739,25.4415193512706,33.9431344265226
"13","BEN",1.22466083514922,1.45493197330325,1.70836059751578
"14","BFA",1.99936107669787,2.25347173670111,2.8097610075183
"15","BGD",2.59394585318773,3.03684081679429,3.77139550992456
"16","BGR",11.531019459325,13.6874183431907,14.8963714906956
"17","BHR",3.76877543302344,4.23706678790097,5.11407090936484
"18","BHS",9.28418279160144,10.9346982525076,12.0370924564441
"19","BIH",8.71376540342407,10.3502281965237,11.7188085274728
"20","BLR",6.84751341843821,7.93029860381456,9.5801888190913
"21","BLZ",3.89420900903633,4.8344956146555,5.34225530715232
"22","BOL",2.52615311537437,2.89352695775139,3.14582969375858
"23","BRA",7.55543461568118,8.55896368883048,9.14080382971743
"24","BRB",4.45587228164001,6.59557779737087,9.01748565140588
"25","BRN",6.53004826818159,7.69470364777705,9.93350984723451
"26","BTN",3.97542706575962,4.27799050210445,4.61452896688727
"27","BWA",2.2586075767018,2.94284272829028,3.45758429300889
"28","CAF",1.23814640609292,1.49858139241147,1.72639643305217
"29","CAN",14.324936172599,15.7060042298723,23.02650577079
"30","CHE",8.3898076687591,10.6381799848374,15.8509049508899
"31","CHL",12.0524463884655,12.838911566803,14.6152733717782
"32","CIV",5.57051670701278,6.24340034609697,6.7681418310109
"33","CMR",5.55914350146941,6.62942207430122,7.59362041512115
"34","COD",3.09317578665638,3.54690535850092,4.05671364962895
"35","COG",10.3998460091698,11.5908812971925,13.0325722516864
"36","COL",4.35486647911303,5.23523672101738,6.4432739285215
"37","COM",3.04732461734555,3.56191090750922,4.01591077076482
"38","CPV",3.24229868259131,3.69652335645034,4.02434354642499
"39","CRI",7.3677433661991,8.50137466354069,9.39761855076888
"40","CUB",NA,NA,NA
"41","CYP",8.65099852470936,11.0521015378401,13.3868501744254
"42","CZE",9.80313353023982,11.7248998068423,13.2893122106714
"43","DEU",15.1800271274543,16.3138174172707,17.7474193376905
"44","DJI",3.91464671734303,4.7728947560444,5.47326697255572
"45","DNK",10.8123033227786,11.8174881480595,13.0337942407508
"46","DOM",2.93752628748736,3.67969147775948,4.59179945394686
"47","DZA",1.78054280621401,2.24054728664571,2.96262551198779
"48","ECU",3.90434861960087,4.73628498315422,6.08413257907552
"49","EGY",3.5475713722074,4.13113144670127,4.67084736487176
"50","ERI",NA,NA,NA
"51","ESP",14.90092282601,16.5591346455286,19.0252233195366
"52","EST",12.5185261297624,14.242497317247,15.622062425185
"53","ETH",7.25426057635871,8.73777838182431,9.85106010927264
"54","FIN",12.6624207937415,13.5614081572241,14.8045051797935
"55","FJI",6.19879331144715,7.21301217604368,8.49311281004263
"56","FRA",14.9340971116491,17.8268542188693,23.5851417612969
"57","FSM",NA,NA,NA
"58","GAB",6.59519774124946,7.70903471513418,8.55525196862284
"59","GBR",11.0460743662298,15.0366950651207,23.5703750999514
"60","GEO",10.2288361718602,10.9754843969516,12.6562741085474
"61","GHA",5.25851967932802,5.88102178787623,6.53689945043851
"62","GIN",3.09537848563213,3.54200443256023,4.11148529470765
"63","GMB",2.13476577946181,2.38023194900979,2.64133711597695
"64","GNB",12.6152831654281,14.8004508910085,17.775249269201
"65","GNQ",4.04456099521588,7.99522892220367,9.72727197045815
"66","GRC",15.5691208784037,16.8987077269095,18.0676265731027
"67","GRD",0.851347683206754,1.17805080794137,5.42620133579546
"68","GTM",7.90195456404788,8.98881895048202,10.7560426891496
"69","GUY",8.09811068236117,9.07669982535245,9.7340638211268
"70","HND",2.07375790743568,2.65948393190602,2.95003620739377
"71","HRV",12.5353019844866,14.6162780216634,16.0213082764962
"72","HTI",1.2082099307934,1.48215546086483,1.78260116294933
"73","HUN",8.0156679024023,9.685590571498,12.9999874010597
"74","IDN",3.48946305593299,4.2190481009496,4.8311161693064
"75","IND",4.72985864446139,5.33050841784832,5.58546487384017
"76","IRL",12.7879743838992,13.5541816835804,14.0960929065374
"77","IRN",2.45827673253557,2.81223296532016,3.4142455974798
"78","IRQ",2.56470845361844,3.32050493152982,4.06971039192534
"79","ISL",13.4847223702063,20.9249461590792,26.2306302369957
"80","ISR",9.51654307128614,10.5304947477582,11.5889957285509
"81","ITA",13.2830756422306,14.5347364697168,15.8371144597283
"82","JAM",3.79313105256194,4.70071619982719,5.51337139560486
"83","JOR",7.37948866876022,8.22846943894206,8.83888939605298
"84","JPN",3.72935695140261,4.69472494814878,5.72707189265022
"85","KAZ",6.4706029973809,7.08031967201211,7.89257292972616
"86","KEN",4.10447072073552,4.68670470937471,5.17319374738879
"87","KGZ",1.87103469166788,2.61721654305009,3.59582083794946
"88","KHM",2.95329739445931,3.11989873437322,3.29919533278881
"89","KOR",13.5494536067202,15.5138844188924,17.5906379394029
