Country Name,iso3c,lifeexpectancy_2021
New Zealand,NZL,82.20731707
OECD members,OED,78.71548692
Oman,OMN,72.541
Other small states,OSS,66.98962292
Pakistan,PAK,66.098
Panama,PAN,76.223
Peru,PER,72.377
Philippines,PHL,69.266
Palau,PLW,
Papua New Guinea,PNG,65.351
Poland,POL,75.60243902
Pre-demographic dividend,PRE,59.87258063
Puerto Rico,PRI,80.162
"Korea, Dem. People's Rep.",PRK,73.284
Portugal,PRT,81.07317073
Paraguay,PRY,70.262
West Bank and Gaza,PSE,73.473
Pacific island small states,PSS,69.16359418
Post-demographic dividend,PST,79.79771401
French Polynesia,PYF,79.486
Qatar,QAT,79.272
Romania,ROU,72.96097561
Russian Federation,RUS,69.36121951
Rwanda,RWA,66.072
South Asia,SAS,67.57912905
Saudi Arabia,SAU,76.936
Sudan,SDN,65.267
Senegal,SEN,67.093
Singapore,SGP,83.44146341
Solomon Islands,SLB,70.348
Sierra Leone,SLE,60.062
El Salvador,SLV,70.748
San Marino,SMR,
Somalia,SOM,55.28
Serbia,SRB,72.73073171
Sub-Saharan Africa (excluding high income),SSA,60.24063783
South Sudan,SSD,54.975
Sub-Saharan Africa,SSF,60.24174346
Small states,SST,67.82243894
Sao Tome and Principe,STP,67.591
Suriname,SUR,70.274
Slovak Republic,SVK,74.71463415
Slovenia,SVN,80.87560976
Sweden,SWE,83.15609756
Eswatini,SWZ,57.066
Sint Maarten (Dutch part),SXM,73.972
Seychelles,SYC,73.39756098
Syrian Arab Republic,SYR,72.063
Turks and Caicos Islands,TCA,74.587
Chad,TCD,52.525
East Asia & Pacific (IDA & IBRD countries),TEA,75.57119341
Europe & Central Asia (IDA & IBRD countries),TEC,71.86924485
Togo,TGO,61.619
Thailand,THA,78.715
Tajikistan,TJK,71.594
Turkmenistan,TKM,69.264
Latin America & the Caribbean (IDA & IBRD countries),TLA,72.07490252
Timor-Leste,TLS,67.737
Middle East & North Africa (IDA & IBRD countries),TMN,71.88113054
Tonga,TON,70.986
South Asia (IDA & IBRD),TSA,67.57912905
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.24174346
Trinidad and Tobago,TTO,72.971
Tunisia,TUN,73.772
Turkiye,TUR,76.032
Tuvalu,TUV,64.547
Tanzania,TZA,66.201
